MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
STF,STF,Shriram Finance,1099.0,1099.0,1050.6,1059.1,1109.9,-50.80,-4.58,5673585
MU01,MS24,Maruti Suzuki,13540.0,13540.0,12851.0,12950.0,13547.0,-597.00,-4.41,915975
NI,NI,Nestle,1514.8,1514.8,1436.0,1438.2,1496.5,-58.30,-3.90,2555542
MHI,MHI,Max Healthcare,1022.0,1022.0,1000.2,1003.0,1042.1,-39.10,-3.75,2829311
IA05,IA04,Interglobe Avi,5065.0,5106.5,5010.0,5052.0,5234.0,-182.00,-3.48,788457
UTI10,AB16,Axis Bank,1274.9,1275.1,1255.0,1258.0,1300.0,-42.00,-3.23,5588158
API,AP31,Asian Paints,2645.3,2645.3,2545.2,2575.5,2653.6,-78.10,-2.94,1046523
SPI,SPI,Sun Pharma,1963.1,1963.1,1921.1,1929.0,1984.8,-55.80,-2.81,3595272
BF04,BF04,Bajaj Finserv,1998.7,2004.1,1960.1,1972.0,2021.0,-49.00,-2.42,788344
SBI,SBI,SBI,1051.3,1051.3,1027.1,1034.5,1060.0,-25.50,-2.41,7605132
JFS,JFS,Jio Financial,240.0,240.01,235.01,235.85,241.35,-5.50,-2.28,10397855
GI01,GI01,Grasim,3337.0,3337.0,3287.1,3305.0,3371.0,-66.00,-1.96,818556
AHE,AHE,Apollo Hospital,8854.5,8867.5,8704.5,8755.0,8898.5,-143.50,-1.61,153262
LT,LT,Larsen,4038.0,4038.0,3980.1,3980.1,4044.9,-64.80,-1.60,944703
W,W,Wipro,181.0,182.1,178.5,181.7,184.5,-2.80,-1.52,6813425
TCS,TCS,TCS,2355.0,2372.0,2325.0,2369.0,2399.3,-30.30,-1.26,2678034
ICI02,ICI02,ICICI Bank,1442.9,1446.7,1422.8,1438.0,1454.0,-16.00,-1.10,10627608
TI01,TI01,Titan Company,5104.0,5126.5,5010.5,5050.0,5102.4,-52.40,-1.03,466855
L,T04,Trent,2880.0,2911.9,2855.0,2855.0,2879.9,-24.90,-0.86,652244
BE03,BE03,Bharat Elec,414.45,414.45,409.35,411.2,414.45,-3.25,-0.78,5628444
MM,MM,M&M,3367.0,3368.0,3223.0,3259.0,3282.0,-23.00,-0.70,1887247
TT,TT,TATA Cons. Prod,1037.5,1041.8,1025.1,1030.5,1037.5,-7.00,-0.67,1005860
HSL01,HSL01,HDFC Life,540.0,544.25,537.4,540.3,543.35,-3.05,-0.56,3064468
UTC,UTC01,UltraTechCement,11450.0,11550.0,11390.0,11400.0,11450.0,-50.00,-0.44,168152
BAF,BAF,Bajaj Finance,1065.0,1067.0,1047.0,1053.9,1057.0,-3.10,-0.29,4813301
TIS,TIS,Tata Steel,183.7,188.68,182.12,184.07,184.35,-0.28,-0.15,46663321
Z01,Z,Eternal,325.0,329.4,323.0,327.75,328.1,-0.35,-0.11,21501682
H,HI,Hindalco,1023.0,1033.9,1010.0,1014.4,1015.45,-1.05,-0.10,2765114
SLI03,SLI03,SBI Life Insura,1740.5,1753.4,1728.6,1739.3,1740.5,-1.20,-0.07,624181
CI29,CI11,Coal India,401.75,407.2,399.4,401.6,401.75,-0.15,-0.04,6128444
