Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekLow,AHL03,AHL03,ABH Healthcare,/hospital-healthcare-services/abhhealthcare/AHL03,84.9,"03 Sep, 2026|15:53"
52WeekLow,PFR,PFR,Aditya Birla F,/retail/adityabirlafashionretail/PFR,50.86,"03 Sep, 2026|15:58"
52WeekLow,AIL04,AIL04,Advik Capital ,/finance-investments/advikcapital/AIL04,1.17,"03 Sep, 2026|15:56"
52WeekLow,AHI,AHI,Alfred Herbert,/engineering/alfredherbertindia/AHI,2900.0,"03 Sep, 2026|15:52"
52WeekLow,SAB,SAB,Aqylon Nexus,/media-entertainment/aqylonnexus/SAB,19.8,"03 Sep, 2026|15:59"
52WeekLow,AIL11,AIL11,Ardee Industrie,/metals-non-ferrous/ardeeindustries/AIL11,56.79,"03 Sep, 2026|15:58"
52WeekLow,IID,AI60,Arshiya,/transport-logistics/arshiya/AI60,0.68,"03 Sep, 2026|15:57"
52WeekLow,AOL,AOL,Arunaya Organic,/dyes-pigments/arunayaorganics/AOL,13.9,"03 Sep, 2026|15:31"
52WeekLow,BR01,BR01,Bharat Rasayan,/pesticides-agro-chemicals/bharatrasayan/BR01,1217.0,"03 Sep, 2026|15:57"
52WeekLow,BFI01,BFI01,Bikaji Foods,/consumer-food/bikajifoodsinternational/BFI01,595.0,"03 Sep, 2026|15:58"
52WeekLow,BCL12,BCL12,Biopol Chemical,/speciality-chemicals/biopolchemicals/BCL12,39.5,"03 Sep, 2026|15:58"
52WeekLow,AT09,AT09,BN AGROCHEM,/vegetable-oils-products/bnagrochem/AT09,225.0,"03 Sep, 2026|15:50"
52WeekLow,BI30,BI18,Bohra Industrie,/miscellaneous/bohraindustries/BI18,13.05,"03 Sep, 2026|15:31"
52WeekLow,AI45,AI28,Ceinsys Tech,/computers-software/ceinsystech/AI28,701.35,"03 Sep, 2026|15:57"
52WeekLow,CS18,CS23,CHEMPLAST SANMA,/speciality-chemicals/chemplastsanmar/CS23,170.0,"03 Sep, 2026|15:58"
52WeekLow,MAS,MF19,CIEINDIA,/auto-ancillaries-castings-forgings/cieautomotiveindia/MF19,386.95,"03 Sep, 2026|15:58"
52WeekLow,CSSL,CSSL,Clear Secured,/misc-commercial-services/clearsecuredservices/CSSL,91.1,"03 Sep, 2026|15:31"
52WeekLow,DI,DI,Dabur India,/personal-care/daburindia/DI,379.9,"03 Sep, 2026|15:59"
52WeekLow,WF02,WF02,DELPHI WORLD,/finance-investments/delphiworldmoney/WF02,6.09,"03 Sep, 2026|15:54"
52WeekLow,EWI,EWI,Enkei Wheels,/auto-ancillaries/enkeiwheelsindia/EWI,390.0,"03 Sep, 2026|15:52"
52WeekLow,FTL04,FTL04,Fascinate Texti,/textiles-apparel/fascinatetextiles/FTL04,76.35,"03 Sep, 2026|15:50"
52WeekLow,GCP,GCP,Godrej Consumer,/personal-care/godrejconsumerproducts/GCP,893.0,"03 Sep, 2026|15:59"
52WeekLow,GVK,GVK,GVK Power,/power-generation-distribution/gvkpowerinfrastructure/GVK,2.06,"03 Sep, 2026|15:59"
52WeekLow,HL,HU,HUL,/personal-care/hindustanunilever/HU,1978.9,"03 Sep, 2026|15:59"
52WeekLow,ILG,ILG,ICICI Lombard ,/multiline-insurance-brokers/icicilombardgeneralinsurancecompany/ILG,1541.4,"03 Sep, 2026|15:59"
52WeekLow,IMB,IMB,Indbank Merchan,/finance-general/indbankmerchantbankingservices/IMB,30.8,"03 Sep, 2026|15:59"
52WeekLow,ITS,ITS,Indo Thai Secu,/finance-general/indothaisecurities/ITS,37.63,"03 Sep, 2026|15:58"
52WeekLow,IML02,IML02,Interiors Mor,/miscellaneous/interiorsmore/IML02,147.05,"03 Sep, 2026|15:31"
52WeekLow,JKC,JKL01,JK Lakshmi Cem,/cement-major/jklakshmicement/JKL01,516.9,"03 Sep, 2026|15:57"
52WeekLow,KEL03,KEL04,K.P. Energy ,/miscellaneous/kpenergy/KEL04,243.9,"03 Sep, 2026|15:59"
52WeekLow,KEC03,KEC04,KEC Intl,/power-transmission-equipment/kecinternational/KEC04,410.0,"03 Sep, 2026|15:58"
52WeekLow,LMC,LMC,Lakshmi Mills,/textiles-composite-mills/lakshmimillscompany/LMC,7980.0,"03 Sep, 2026|15:50"
52WeekLow,EI16,EI07,Landsmill Green,/computers-software-medium-small/landsmillgreen/EI07,0.68,"03 Sep, 2026|15:58"
52WeekLow,MKCL,MKCL,Madhur Knit Cra,/textiles-apparel/madhurknitcrafts/MKCL,85.75,"03 Sep, 2026|15:56"
52WeekLow,UO01,UO01,Manbro Ind,/leather-products/manbroindustries/UO01,52.51,"03 Sep, 2026|15:31"
52WeekLow,MHS01,MHS01,Medplus Health,/food-drug-retailing/medplushealthservices/MHS01,667.8,"03 Sep, 2026|15:57"
52WeekLow,ML14,ML12,Midwest,/specialty-mining-metals/midwest/ML12,1038.1,"03 Sep, 2026|15:57"
52WeekLow,MBF,MBF,Mukesh Babu Fin,/finance-investments/mukeshbabufinancialservices/MBF,133.76,"03 Sep, 2026|15:51"
52WeekLow,NCJ,NCJ,Nimbus Projects,/computers-software-medium-small/nimbusprojects/NCJ,163.07,"03 Sep, 2026|15:57"
