MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,14.96,14.93,0.03,0.2,685576040,15.08,15.25,14.92
,OLAELEC,OLAELEC,OLAELEC,45.0,43.32,1.68,3.88,232651366,43.4,45.1,42.78
,ZEEL,ZEEL,ZEEL,112.39,104.42,7.97,7.63,230280587,107.0,113.7,106.12
,GTLINFRA,GTLINFRA,GTLINFRA,1.62,1.57,0.05,3.18,177371100,1.6,1.67,1.57
,YESBANK,YESBANK,YESBANK,23.39,22.77,0.62,2.72,148106091,22.82,23.4,22.72
,NETWORK18,NETWORK18,NETWORK18,33.61,29.99,3.62,12.07,120462933,30.25,33.9,30.2
,JPPOWER,JPPOWER,JPPOWER,19.04,19.04,0.0,0.0,90972171,19.1,19.34,18.91
,GROWW,GROWW,GROWW,196.25,190.16,6.09,3.2,75384049,191.8,198.04,189.28
,SUZLON,SUZLON,SUZLON,55.23,55.62,-0.39,-0.7,72836939,55.8,56.12,55.1
,IFCI,IFCI,IFCI,79.61,81.98,-2.37,-2.89,69288318,82.0,82.69,78.47
,RPOWER,RPOWER,RPOWER,28.71,27.39,1.32,4.82,66252903,27.44,28.94,27.38
,SEPC,SEPC,SEPC,6.73,6.94,-0.21,-3.03,59393933,6.97,7.14,6.68
,NHPC,NHPC,NHPC,74.9,76.12,-1.22,-1.6,54245677,76.11,76.68,73.93
,BHARATCOAL,BHARATCOAL,BHARATCOAL,41.69,41.43,0.26,0.63,54100442,41.78,42.2,40.6
,BCG,BCG,BCG,12.18,11.59,0.59,5.09,53090261,12.1,13.1,11.91
,FILATFASH,FILATFASH,FILATFASH,0.2,0.21,-0.01,-4.76,0,0.21,0.21,0.2
,CANBK,CANBK,CANBK,136.4,133.12,3.28,2.46,47139920,133.2,136.4,133.04
,WIPRO,WIPRO,WIPRO,198.05,204.32,-6.27,-3.07,43539069,191.52,199.0,188.15
,HFCL,HFCL,HFCL,187.23,197.08,-9.85,-5.0,43262952,196.0,197.0,187.23
,TATSILV,TATSILV,TATSILV,24.7,25.0,-0.3,-1.2,43243982,25.48,25.48,24.44
