Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekLow,ALC,AO04,Aban Offshore,/oil-drilling-exploration/abanoffshore/AO04,15.49,"06 May, 2026|15:47"
52WeekLow,ASE,ASE,Ambalal Sarabha,/pharmaceuticals/ambalalsarabhaienterprise/ASE,31.51,"06 May, 2026|15:49"
52WeekLow,AFH,AFH,Arihant Found,/construction-contracting-housing/arihantfoundationshousing/AFH,911.3,"06 May, 2026|15:50"
52WeekLow,BCI02,BCI02,Blue Chip,/finance-investments/bluechipindia/BCI02,1.84,"06 May, 2026|15:48"
52WeekLow,CTI03,CTI03,Citius TransNet,/transport-infrastructure/citiustransnetinvestmenttrust/CTI03,104.51,"06 May, 2026|15:49"
52WeekLow,DL04,DL04,Dhariwalcorp,/trading/dhariwalcorp/DL04,36.8,"06 May, 2026|15:46"
52WeekLow,HALDE53985,HALDE53985,Halder Venture,/other-agriculture-products/halderventure/HALDE53985,230.0,"06 May, 2026|15:31"
52WeekLow,PI30,PI32,Perfect Infra,/construction-contracting-civil/perfectinfraengineers/PI32,2.1,"30 Apr, 2026|15:40"
52WeekLow,UBB,UB02,United Brewerie,/breweries-distilleries/unitedbreweries/UB02,1428.3,"06 May, 2026|15:56"
52WeekLow,WIL01,WIL01,Wakefit Inno,/household-personal-products/wakefitinnovations/WIL01,141.0,"06 May, 2026|15:56"
52WeekLow,WL02,WL02,Womancart,/retailing/womancart/WL02,123.0,"06 May, 2026|15:41"
52WeekHigh,ABC07,ABC9,AB Capital,/finance-investments/adityabirlacapital/ABC9,365.0,"06 May, 2026|15:57"
52WeekHigh,AML06,AML06,Accent Micro,/pharmaceuticals-drugs/accentmicrocell/AML06,454.0,"06 May, 2026|15:52"
52WeekHigh,APL07,APL07,Accretion Pharm,/pharmaceuticals-drugs/accretionpharmaceuticals/APL07,111.4,"06 May, 2026|15:31"
52WeekHigh,AO05,AO05,Acutaas Chem,/speciality-chemicals/acutaaschemicals/AO05,2665.0,"06 May, 2026|15:58"
52WeekHigh,ADANI54145,ADANI54145,Adani Green Ene,/power-generation-distribution/adanigreenenergylimited/ADANI54145,1340.0,"06 May, 2026|15:58"
52WeekHigh,MPS,MPS,Adani Ports,/infrastructure-general/adaniportsspecialeconomiczone/MPS,1750.0,"06 May, 2026|15:59"
52WeekHigh,ATL05,ATL04,Adisoft Tech,/miscellaneous/adisofttechnologies/ATL04,225.25,"06 May, 2026|15:41"
52WeekHigh,AIL10,AIL10,Aditya Infotech,/diversified/adityainfotech/AIL10,2490.0,"06 May, 2026|15:59"
52WeekHigh,AI77,AI87,Aeroflex Ind.,/engineering-industrial-equipments/aeroflexindustries/AI87,320.0,"06 May, 2026|15:57"
52WeekHigh,AMLL,AMLL,Amagi Media Lab,/software/amagimedialabs/AMLL,444.9,"06 May, 2026|15:57"
52WeekHigh,AEI01,AEI01,Amber Enterpris,/miscellaneous/amberenterprisesindialimited/AEI01,8292.0,"06 May, 2026|15:59"
52WeekHigh,AS18,AS18,ANDHRSUGAR,/commodity-chemicals/theandhrasugar/AS18,101.7,"06 May, 2026|15:59"
52WeekHigh,AI40,AI40,Apar Ind,/electric-equipment/aparindustries/AI40,12900.0,"06 May, 2026|15:58"
52WeekHigh,AHW,AHW,Asian Hotel (W),/hotels/asianhotelswest/AHW,418.65,"06 May, 2026|15:43"
52WeekHigh,AP,AP,Aurobindo Pharm,/pharmaceuticals/aurobindopharma/AP,1431.0,"06 May, 2026|15:59"
52WeekHigh,AI57,AI77,AVATAR Ind,/auto-ancillaries-sheet-metals/avatarindustries/AI77,126.95,"06 May, 2026|15:31"
52WeekHigh,ITT01,AXI,Axiscades Tech,/aerospace-defence/axiscadestechnologies/AXI,2139.0,"06 May, 2026|15:58"
52WeekHigh,BC14,BC02,Bajaj Consumer ,/personal-care/bajajconsumercare/BC02,495.0,"06 May, 2026|15:59"
52WeekHigh,BM05,BM05,Bank of Mah,/banks-public-sector/bankmaharashtra/BM05,82.25,"06 May, 2026|15:59"
52WeekHigh,BM01,BI23,Bhagyanagar Ind,/cables-telephone/bhagyanagarindia/BI23,281.5,"06 May, 2026|15:58"
52WeekHigh,TT03,AGC,BLACK BOX,/computers-software/blackbox/AGC,714.0,"06 May, 2026|15:59"
52WeekHigh,BWL02,BWL02,Blue Water Logi,/logistics/bluewaterlogistics/BWL02,270.0,"06 May, 2026|15:55"
52WeekHigh,B03,B08,BSE Limited,/miscellaneous/bselimited/B08,3780.0,"06 May, 2026|15:59"
52WeekHigh,CC04,CC04,Cheviot Company,/miscellaneous/cheviotcompany/CC04,1230.0,"06 May, 2026|15:57"
52WeekHigh,CCC03,CCC03,Committed Cargo,/logistics/committedcargocare/CCC03,279.5,"06 May, 2026|15:40"
52WeekHigh,CRL02,CRL02,Corona Remedies,//coronaremedies/CRL02,1775.0,"06 May, 2026|15:57"
52WeekHigh,CI02,CI02,Cummins,/engines/cumminsindia/CI02,5331.5,"06 May, 2026|15:59"
52WeekHigh,CR02,CR02,Cupid,/miscellaneous/cupid/CR02,132.01,"06 May, 2026|15:59"
52WeekHigh,DPI01,DPI01,Data Patterns,/aerospace-defence/datapatternsindia/DPI01,4279.9,"06 May, 2026|15:59"
52WeekHigh,DB01,DB01,Dhanlaxmi Bank,/banks-private-sector/dhanlaxmibank/DB01,30.99,"06 May, 2026|15:58"
52WeekHigh,DSS01,DSS01,Dynacons Sys,/computers-software-medium-small/dynaconssystemssolutions/DSS01,1284.0,"06 May, 2026|15:57"
52WeekHigh,EI14,EI14,Engineers India,/engineering/engineersindia/EI14,262.5,"06 May, 2026|15:59"
52WeekHigh,FAL02,FAL02,Fractal Analyti,/it-services-consulting/fractalanalytics/FAL02,983.0,"06 May, 2026|15:58"
52WeekHigh,FMF,FMF,Fusion Finance,/finance-nbfc/fusionfinance/FMF,203.0,"06 May, 2026|15:57"
52WeekHigh,GE07,GE02,Global Educatio,/it-education/globaleducation/GE02,101.1,"06 May, 2026|15:55"
52WeekHigh,GEL01,GEL01,GNG Electronics,/electronic-goods/gngelectronics/GEL01,474.95,"06 May, 2026|15:59"
52WeekHigh,GLS,GLS,Good Luck,/steel-tubes-pipes/goodluckindia/GLS,1392.4,"06 May, 2026|15:55"
52WeekHigh,GI22,GI25,Granules India,/pharmaceuticals/granulesindia/GI25,714.5,"06 May, 2026|15:59"
52WeekHigh,GAC01,GAC01,Guj Alkali,/chemicals/gujaratalkalieschemicals/GAC01,808.65,"06 May, 2026|15:59"
52WeekHigh,SMS,SMS01,HALEOSLABS,/miscellaneous/haleoslabs/SMS01,1497.8,"06 May, 2026|15:58"
52WeekHigh,HFC,HFC,HFCL,/telecommunications-equipment/hfcl/HFC,128.9,"06 May, 2026|15:59"
52WeekHigh,HCI01,HCI01,Himadri Special,/chemicals/himadrispecialitychemical/HCI01,609.4,"06 May, 2026|15:59"
52WeekHigh,APP03,APP03,Hitachi Energy,/electric-equipment/hitachienergyindia/APP03,34385.0,"06 May, 2026|15:59"
52WeekHigh,HFI02,HFI02,HOAC Foods,/food-processing/hoacfoodsindia/HFI02,431.0,"06 May, 2026|15:31"
52WeekHigh,IT07,IT07,Ideaforge Tech,/engineering-industrial-equipments/ideaforgetechnology/IT07,814.7,"06 May, 2026|15:59"
52WeekHigh,IID02,IID,Integrity Infra,/construction-infrastructure/integrityinfrabuilddevelopers/IID,152.25,"06 May, 2026|15:31"
52WeekHigh,ISS01,ISS,Iware Supply,/logistics/iwaresupplychainservices/ISS,370.05,"06 May, 2026|15:40"
52WeekHigh,JKB,JKB,JK Bank,/banks-private-sector/jammukashmirbank/JKB,137.92,"06 May, 2026|15:59"
52WeekHigh,WI06,WI06,Kennametal,/machine-tools/kennametalindia/WI06,2848.9,"06 May, 2026|15:58"
52WeekHigh,KFI01,KFI01,Kirloskar Ferro,/steel-pig-iron/kirloskarferrousindustries/KFI01,440.0,"06 May, 2026|15:58"
52WeekHigh,KMS,KMS,KM Sugar Mills,/sugar/kmsugarmills/KMS,33.73,"06 May, 2026|15:57"
52WeekHigh,LL06,LL05,Laurus Labs,/pharmaceuticals/lauruslabs/LL05,1174.0,"06 May, 2026|15:59"
52WeekHigh,LC03,L,Lupin,/pharmaceuticals/lupin/L,2362.3,"06 May, 2026|15:58"
52WeekHigh,MBA,MBA,Madhya Bharat A,/fertilizers/madhyabharatagroproducts/MBA,566.8,"06 May, 2026|15:54"
52WeekHigh,MII02,MII02,Manilam Industr,/laminates-decoratives/manilamindustriesindia/MII02,59.05,"06 May, 2026|15:31"
52WeekHigh,MI25,M13,Marico,/personal-care/marico/M13,826.2,"06 May, 2026|15:58"
52WeekHigh,SIE,MS25,Mawana Sugars,/sugar/mawanasugars/MS25,120.5,"06 May, 2026|15:59"
52WeekHigh,MM06,MM06,Media Matrix,/media-entertainment/mediamatrixworldwide/MM06,14.38,"06 May, 2026|15:56"
52WeekHigh,MML07,MML06,Muthoot Micro,/finance-others/muthootmicrofin/MML06,210.0,"06 May, 2026|15:57"
52WeekHigh,NEML,NEML,Namo Ewaste,/misc-commercial-services/namoewastemanagement/NEML,226.05,"06 May, 2026|15:54"
52WeekHigh,NA04,NA,Narmada Agrobas,/food-processing/narmadaagrobase/NA,35.61,"06 May, 2026|15:59"
52WeekHigh,NP01,NP07,Natco Pharma,/pharmaceuticals/natcopharma/NP07,1137.0,"06 May, 2026|15:59"
52WeekHigh,NI,NI,Nestle,/food-processing/nestleindia/NI,1485.0,"06 May, 2026|15:59"
52WeekHigh,NGL,NGL,NGL Fine Chem,/pharmaceuticals/nglfinechem/NGL,2498.0,"06 May, 2026|15:59"
52WeekHigh,RNL,RNL,Nippon,/miscellaneous/nipponlifeindiaassetmanagement/RNL,1065.0,"06 May, 2026|15:59"
52WeekHigh,NS12,NS12,Nitin Spinners,/textiles-spinning-cotton-blended/nitinspinners/NS12,512.0,"06 May, 2026|15:55"
52WeekHigh,NRA,NRA,NR Agarwal,/paper/nragarwalindustries/NRA,506.95,"06 May, 2026|15:59"
52WeekHigh,OA,OA,Omax Autos,/auto-ancillaries/omaxautos/OA,190.99,"06 May, 2026|15:59"
52WeekHigh,OEL,OEL,Omnitech Engine,/engineering-industrial-equipments/omnitechengineering/OEL,450.4,"06 May, 2026|15:57"
52WeekHigh,OLL02,OLL02,OneClick,/logistics/oneclicklogisticsindia/OLL02,421.0,"06 May, 2026|15:41"
52WeekHigh,GJL,GJL,P N Gadgil,/diamond--jewellery/pngadgiljewellers/GJL,692.95,"06 May, 2026|15:57"
52WeekHigh,RSL11,RSL11,P S Raj Steels,/iron-steel/psrajsteels/RSL11,312.0,"06 May, 2026|15:40"
52WeekHigh,PMWL,PMWL,Park Medi World,/hospital-healthcare-services/parkmediworld/PMWL,241.99,"06 May, 2026|15:54"
52WeekHigh,PEE01,PEE01,Parth Elec,/electric-equipment/parthelectricalsengineering/PEE01,359.05,"06 May, 2026|15:59"
52WeekHigh,PCCL,PCCL,Petro Carbon,/speciality-chemicals/petrocarbonchemicals/PCCL,307.5,"06 May, 2026|15:31"
52WeekHigh,PTC01,PTC02,PTC India,/trading/ptcindia/PTC02,216.8,"06 May, 2026|15:57"
52WeekHigh,RPL04,RPL04,Rashi Periphera,/miscellaneous/rashiperipherals/RPL04,510.2,"06 May, 2026|15:55"
52WeekHigh,RPE,RPE,Ratnaveer,/iron-steel/ratnaveerprecisionengineering/RPE,181.0,"06 May, 2026|15:58"
52WeekHigh,RRL04,RRL04,Rubicon Res,/pharmaceuticals-drugs/rubiconresearch/RRL04,973.2,"06 May, 2026|15:58"
52WeekHigh,SLS02,SLS03,Sai Life Sci,/pharmaceuticals-drugs/sailifesciences/SLS03,1086.0,"06 May, 2026|15:59"
52WeekHigh,SAI,SAI,SAIL,/steel-large/steelauthorityindia/SAI,189.0,"06 May, 2026|15:59"
52WeekHigh,SCN,SCN,Satin Credit,/finance-term-lending/satincreditcarenetwork/SCN,189.85,"06 May, 2026|15:58"
52WeekHigh,SEI04,SEI04,Schneider Infra,/power-generation-distribution/schneiderelectricinfrastructure/SEI04,1360.0,"06 May, 2026|15:57"
52WeekHigh,MS26,MS29,SG FINSERVE,/finance-investment/sgfinserve/MS29,565.65,"06 May, 2026|15:59"
52WeekHigh,GA07,GA01,SHAH METACORP,/steel-sponge-iron/shahmetacorp/GA01,5.75,"06 May, 2026|15:53"
52WeekHigh,SCP02,SCP,Sheetal Cool Pr,/food-processing/sheetalcoolproducts/SCP,426.9,"06 May, 2026|15:43"
52WeekHigh,SE31,SE28,Shera Energy,/metals-non-ferrous/sheraenergy/SE28,171.95,"06 May, 2026|15:31"
52WeekHigh,E09,E11,SJS Enterprises,/auto-ancillaries-others/sjsenterprises/E11,1900.1,"06 May, 2026|15:58"
52WeekHigh,SG14,SG08,Sky Gold,/diamond--jewellery/skygolddiamonds/SG08,460.0,"06 May, 2026|15:59"
52WeekHigh,SI91,SI97,Sportking India,/textiles-spinning-synthetic-blended/sportkingindia/SI97,151.0,"06 May, 2026|15:58"
52WeekHigh,SO03,ST20,Sterlite Techno,/cables-telephone/sterlitetechnologies/ST20,334.0,"06 May, 2026|15:59"
