Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,NI,Nestle,Stock,Very Bullish,"1,477.80",21.76,"08 Apr, 2026","1,213.70",May 05 | 15:59
NIFTY 50,MPS,Adani Ports,Stock,Very Bullish,"1,725.00",18.70,"08 Apr, 2026","1,453.30",May 05 | 15:59
NIFTY 50,AE01,Adani Enterpris,Stock,Very Bullish,"2,462.00",17.98,"10 Apr, 2026","2,086.80",May 05 | 15:58
NIFTY 50,H,Hindalco,Stock,Very Bullish,"1,054.70",13.72,"06 Apr, 2026",927.45,May 05 | 15:57
NIFTY 50,L,Trent,Stock,Bullish,"4,135.40",8.17,"07 Apr, 2026","3,823.00",May 05 | 15:59
NIFTY 50,TIS,Tata Steel,Stock,Very Bullish,211.32,7.76,"06 Apr, 2026",196.10,May 05 | 15:59
NIFTY 50,BA06,Bajaj Auto,Stock,Very Bullish,"10,046.00",7.26,"08 Apr, 2026","9,366.00",May 05 | 15:59
NIFTY 50,PGC,Power Grid Corp,Stock,Very Bullish,319.45,7.16,"09 Apr, 2026",298.10,May 05 | 15:59
NIFTY 50,NTP,NTPC,Stock,Very Bullish,398.65,5.28,"09 Apr, 2026",378.65,May 05 | 15:59
NIFTY 50,CI29,Coal India,Stock,Very Bullish,472.60,4.87,"23 Apr, 2026",450.65,May 05 | 15:59
NIFTY 50,JVS,JSW Steel,Stock,Very Bullish,"1,252.40",4.86,"08 Apr, 2026","1,194.30",May 05 | 15:59
NIFTY 50,SPI,Sun Pharma,Stock,Very Bullish,"1,820.80",4.21,"28 Apr, 2026","1,747.30",May 05 | 15:56
NIFTY 50,GI01,Grasim,Stock,Very Bullish,"2,871.50",4.04,"20 Apr, 2026","2,760.10",May 05 | 15:51
NIFTY 50,AHE,Apollo Hospital,Stock,Very Bullish,"7,772.00",3.88,"09 Apr, 2026","7,481.50",May 05 | 15:58
NIFTY 50,HL,HUL,Stock,Very Bullish,"2,327.40",3.86,"17 Apr, 2026","2,240.80",May 05 | 15:58
NIFTY 50,TT,TATA Cons. Prod,Stock,Very Bullish,"1,153.50",3.62,"17 Apr, 2026","1,113.20",May 05 | 15:56
NIFTY 50,TI01,Titan Company,Stock,Bullish,"4,373.60",3.00,"06 Apr, 2026","4,246.10",May 05 | 15:57
NIFTY 50,ONG,ONGC,Stock,Bullish,289.95,2.84,"27 Mar, 2026",281.95,May 05 | 15:59
NIFTY 50,RI,Reliance,Stock,Bullish,"1,463.60",2.68,"29 Apr, 2026","1,425.40",May 05 | 15:59
NIFTY 50,C,Cipla,Stock,Bullish,"1,333.70",2.13,"23 Apr, 2026","1,305.90",May 05 | 15:58
NIFTY 50,BAF,Bajaj Finance,Stock,Very Bullish,958.60,2.10,"21 Apr, 2026",938.85,May 05 | 15:59
NIFTY 50,LT,Larsen,Stock,Very Bullish,"4,054.50",1.21,"08 Apr, 2026","4,005.90",May 05 | 15:59
NIFTY 50,ITC,ITC,Stock,Bullish,311.45,0.58,"21 Apr, 2026",309.65,May 05 | 15:59
NIFTY 50,UTC,UltraTechCement,Stock,Very Bullish,"11,963.00",0.00,"05 May, 2026","11,963.00",May 05 | 15:59
NIFTY 50,JFS,Jio Financial,Stock,Bullish,248.45,-0.08,"23 Apr, 2026",248.66,May 05 | 15:59
NIFTY 50,EM,Eicher Motors,Stock,Very Bullish,"7,301.50",-1.65,"10 Apr, 2026","7,424.00",May 05 | 15:54
NIFTY BANK,IIB,IndusInd Bank,Stock,Very Bullish,910.70,8.40,"15 Apr, 2026",840.10,May 05 | 15:58
NIFTY BANK,FB,Federal Bank,Stock,Very Bullish,292.60,6.34,"07 Apr, 2026",275.15,May 05 | 15:58
NIFTY BANK,ASF03,AU Small Financ,Stock,Very Bullish,"1,007.10",4.06,"08 Apr, 2026",967.80,May 05 | 15:57
NIFTY BANK,YB,Yes Bank,Stock,Very Bullish,20.48,2.66,"16 Apr, 2026",19.95,May 05 | 15:59
NIFTY MIDCAP100,APP03,Hitachi Energy,Stock,Very Bullish,"34,255.00",81.61,"30 Jan, 2026","18,862.00",May 05 | 15:57
NIFTY MIDCAP100,BHE,BHEL,Stock,Very Bullish,374.95,41.12,"08 Apr, 2026",265.70,May 05 | 15:59
NIFTY MIDCAP100,S11,Oracle Fin Serv,Stock,Very Bullish,"9,707.00",38.34,"06 Apr, 2026","7,017.00",May 05 | 15:59
NIFTY MIDCAP100,BGV,Billionbrains G,Stock,Very Bullish,221.56,34.43,"02 Apr, 2026",164.82,May 05 | 15:59
NIFTY MIDCAP100,PEL07,Premier Energie,Stock,Very Bullish,"1,042.90",32.12,"12 Mar, 2026",789.35,May 05 | 15:54
NIFTY MIDCAP100,B03,BSE Limited,Stock,Very Bullish,"3,726.20",29.94,"01 Apr, 2026","2,867.60",May 05 | 15:59
NIFTY MIDCAP100,SE17,Suzlon Energy,Stock,Very Bullish,54.85,24.01,"08 Apr, 2026",44.23,May 05 | 15:59
NIFTY MIDCAP100,GEC,GE Vernova T&D,Stock,Very Bullish,"4,578.90",20.25,"18 Mar, 2026","3,807.70",May 05 | 15:59
NIFTY MIDCAP100,SAI,SAIL,Stock,Very Bullish,187.31,20.21,"01 Apr, 2026",155.82,May 05 | 15:58
NIFTY MIDCAP100,GP08,Glenmark,Stock,Very Bullish,"2,417.90",19.98,"11 Feb, 2026","2,015.20",May 05 | 15:59
NIFTY MIDCAP100,HUD,HUDCO,Stock,Very Bullish,219.98,19.58,"10 Apr, 2026",183.96,May 05 | 15:59
