pattern_id,userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,p_status,is_closed,is_deleted,end_date,updated_at,created_at,meta_data,analyst_name,analyst_image,updated_at_epoch,created_at_epoch,chartType,displayLock,scanproflg
1368,21,equity,Bharat Heavy Electricals,nse,Symmetrical Triangle,Bullish Reversal,1 week,BHE,Closed,Y,0,1970-01-01,2026-05-04 09:38:41,2026-04-17 10:13:31,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Bharat Heavy Electricals"",""sc_symbol"":""BHEL"",""sc_scripcode"":""500103"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""313.50"",""pattern_type"":""buy"",""cmp"":""362.30"",""price_key"":""stk_BHE_N"",""target_price"":null,""target_return_prcnt"":""24.08"",""stoploss_price"":null,""stoploss_prcnt"":""11.96"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177640101038.png""},""rationale"":""The symmetrical triangle shows a phase of consolidation where price was making lower highs and higher lows, building pressure. Now with a bullish breakout, it signals that buyers have taken control."",""action_type"":""add"",""created_at"":""2026-04-17 10:13:31"",""updated_at"":""2026-04-17 10:13:31""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177786771921.png""},""rationale"":""17.61% up."",""action_type"":""close"",""created_at"":""2026-05-04 09:38:40"",""updated_at"":""2026-05-04 09:38:40""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1777867721,1776401011,mc_pro_plus,N,3
1351,21,equity,Multi Commodity Exchange of India,nse,Ascending Triangle,Bullish Breakout,4 hours,MCE,Closed,Y,0,1970-01-01,2026-05-04 09:33:36,2026-04-13 11:38:38,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Multi Commodity Exchange of India"",""sc_symbol"":""MCX"",""sc_scripcode"":""534091"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""2721.70"",""pattern_type"":""buy"",""cmp"":""3034.50"",""price_key"":""stk_MCE_N"",""target_price"":null,""target_return_prcnt"":""17.02"",""stoploss_price"":null,""stoploss_prcnt"":""5.68"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177606051735.png""},""rationale"":""Price formed an Ascending Triangle while breaking it shows a bullish momentum. Buyers have gained control over selling and can see an upward move."",""action_type"":""add"",""created_at"":""2026-04-13 11:38:38"",""updated_at"":""2026-04-13 11:38:38""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177786741590.png""},""rationale"":""11.85% up."",""action_type"":""close"",""created_at"":""2026-05-04 09:33:36"",""updated_at"":""2026-05-04 09:33:36""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1777867416,1776060518,mc_pro_plus,N,3
1390,21,equity,Sai Life Sciences,nse,Symmetrical Triangle,Bullish Reversal,2 hours,SLS02,Closed,Y,0,1970-01-01,2026-04-30 10:07:48,2026-04-22 14:17:38,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Sai Life Sciences"",""sc_symbol"":""SAILIFE"",""sc_scripcode"":""544306"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1000.90"",""pattern_type"":""buy"",""cmp"":""1064.80"",""price_key"":""stk_SLS02_N"",""target_price"":null,""target_return_prcnt"":""7.40"",""stoploss_price"":null,""stoploss_prcnt"":""4.29"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177684765724.png""},""rationale"":""The stock was consolidating in a symmetrical triangle with lower highs and higher lows. Now it has broken above resistance, signaling a bullish breakout and potential for upward momentum."",""action_type"":""add"",""created_at"":""2026-04-22 14:17:38"",""updated_at"":""2026-04-22 14:17:38""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177752386773.png""},""rationale"":""6.67% up"",""action_type"":""close"",""created_at"":""2026-04-30 10:07:48"",""updated_at"":""2026-04-30 10:07:48""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1777523868,1776847658,mc_pro_plus,N,3
1340,21,equity,Bajaj Finance,nse,Double Bottom,Reversal From Support,1 hour,BAF,Closed,Y,0,1970-01-01,2026-04-30 09:38:14,2026-04-10 09:43:10,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Bajaj Finance"",""sc_symbol"":""BAJFINANCE"",""sc_scripcode"":""500034"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""913.50"",""pattern_type"":""buy"",""cmp"":""962.80"",""price_key"":""stk_BAF_N"",""target_price"":null,""target_return_prcnt"":""7.28"",""stoploss_price"":null,""stoploss_prcnt"":""3.67"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177579438923.png""},""rationale"":""Previous resistance has turned into strong support, where a double bottom formed showing demand. This reversal confirms strength, leading to a bullish reversal and potential upward continuation."",""action_type"":""add"",""created_at"":""2026-04-10 09:43:10"",""updated_at"":""2026-04-10 09:43:10""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177752209385.png""},""rationale"":""5.43% up"",""action_type"":""close"",""created_at"":""2026-04-30 09:38:14"",""updated_at"":""2026-04-30 09:38:14""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1777522094,1775794390,mc_pro_plus,N,3
1361,21,equity,CG Power and Industrial Solutions,nse,Descending Triangle,Bullish Reversal,1 week,CG,Closed,Y,0,1970-01-01,2026-04-29 11:45:56,2026-04-16 09:20:26,"{""chart_type"":""mc_pro_plus"",""sc_name"":""CG Power and Industrial Solutions"",""sc_symbol"":""CGPOWER"",""sc_scripcode"":""500093"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""750.00"",""pattern_type"":""buy"",""cmp"":""832.15"",""price_key"":""stk_CG_N"",""target_price"":null,""target_return_prcnt"":""16.13"",""stoploss_price"":null,""stoploss_prcnt"":""6.40"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177631142431.png""},""rationale"":""Descending triangle is bearish, but a breakout above resistance signals reversal. Buyers gain control, leading to potential bullish momentum."",""action_type"":""add"",""created_at"":""2026-04-16 09:20:26"",""updated_at"":""2026-04-16 09:20:26""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177744335570.png""},""rationale"":""13% up"",""action_type"":""close"",""created_at"":""2026-04-29 11:45:56"",""updated_at"":""2026-04-29 11:45:56""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1777443356,1776311426,mc_pro_plus,N,3
1315,21,equity,Godrej Properties,nse,Falling Trendline,Bullish Reversal,2 hours,GP11,Closed,Y,0,1970-01-01,2026-04-29 10:17:45,2026-04-06 10:23:45,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Godrej Properties"",""sc_symbol"":""GODREJPROP"",""sc_scripcode"":""533150"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1550.00"",""pattern_type"":""buy"",""cmp"":""1868.70"",""price_key"":""stk_GP11_N"",""target_price"":null,""target_return_prcnt"":""12.97"",""stoploss_price"":null,""stoploss_prcnt"":""6.32"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177545122323.png""},""rationale"":""The stock was moving in a downward direction while the price tried to break the trendline, but sellers pushed it down and now price has managed to break the trendline if sustains, we may see reversal."",""action_type"":""add"",""created_at"":""2026-04-06 10:23:45"",""updated_at"":""2026-04-06 10:23:45""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177743806477.png""},""rationale"":""20% up"",""action_type"":""close"",""created_at"":""2026-04-29 10:17:45"",""updated_at"":""2026-04-29 10:17:45""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1777438065,1775451225,mc_pro_plus,N,3
1326,21,equity,Hindustan Zinc,nse,Falling Trendline,Bullish Reversal,4 hours,HZ,Closed,Y,0,1970-01-01,2026-04-28 10:54:37,2026-04-07 13:41:25,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Hindustan Zinc"",""sc_symbol"":""HINDZINC"",""sc_scripcode"":""500188"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""531.65"",""pattern_type"":""buy"",""cmp"":""626.35"",""price_key"":""stk_HZ_N"",""target_price"":null,""target_return_prcnt"":""28.47"",""stoploss_price"":null,""stoploss_prcnt"":""6.71"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177554948458.png""},""rationale"":""Price was in a downtrend, but selling pressure is fading. Buyers have stepped in and broken the falling trendline, signalling a shift in momentum and potential start of an upside move."",""action_type"":""add"",""created_at"":""2026-04-07 13:41:25"",""updated_at"":""2026-04-07 13:41:25""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177735387574.png""},""rationale"":""18.68% up."",""action_type"":""close"",""created_at"":""2026-04-28 10:54:37"",""updated_at"":""2026-04-28 10:54:37""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1777353877,1775549485,mc_pro_plus,N,3
1385,21,equity,Infosys,nse,Rising Trendline,Bearish Breakdown,2 hours,IT,Closed,Y,0,1970-01-01,2026-04-24 09:17:53,2026-04-22 10:13:47,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Infosys"",""sc_symbol"":""INFY"",""sc_scripcode"":""500209"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1272.10"",""pattern_type"":""sell"",""cmp"":""1218.60"",""price_key"":""stk_IT_N"",""target_price"":null,""target_return_prcnt"":""4.17"",""stoploss_price"":null,""stoploss_prcnt"":""1.96"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177683302657.png""},""rationale"":""Price was respecting a rising trendline but has now broken below it, signaling weakening momentum. This breakdown may lead to a bearish move if sustained."",""action_type"":""add"",""created_at"":""2026-04-22 10:13:47"",""updated_at"":""2026-04-22 10:13:47""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177700247210.png""},""rationale"":""5% down."",""action_type"":""close"",""created_at"":""2026-04-24 09:17:53"",""updated_at"":""2026-04-24 09:17:53""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1777002473,1776833027,mc_pro_plus,N,3
1324,21,equity,Oracle Financial Services Software,nse,Rising Wedge,Bullish Breakout,2 hours,S11,Closed,Y,0,1970-01-01,2026-04-23 11:18:32,2026-04-07 10:03:54,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Oracle Financial Services Software"",""sc_symbol"":""OFSS"",""sc_scripcode"":""532466"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""7123.50"",""pattern_type"":""buy"",""cmp"":""8771.50"",""price_key"":""stk_S11_N"",""target_price"":null,""target_return_prcnt"":""5.90"",""stoploss_price"":null,""stoploss_prcnt"":""2.48"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177553643381.png""},""rationale"":""Breakout above a rising wedge signals a shift from consolidation to strength. Buyers are overpowering selling pressure, and a sustained move above resistance can lead upside rally."",""action_type"":""add"",""created_at"":""2026-04-07 10:03:54"",""updated_at"":""2026-04-07 10:03:54""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177624069698.png""},""rationale"":""A breakout from the falling trendline."",""action_type"":""update"",""created_at"":""2026-04-15 13:41:37"",""updated_at"":""2026-04-15 13:41:37""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177692331192.png""},""rationale"":""17% up"",""action_type"":""close"",""created_at"":""2026-04-23 11:18:32"",""updated_at"":""2026-04-23 11:18:32""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1776923312,1775536434,mc_pro_plus,N,3
1337,21,equity,Garden Reach Shipbuilders & Engineers,nse,Falling Trendline,Bullish Reversal,4 hours,GRS01,Closed,Y,0,1970-01-01,2026-04-23 11:13:20,2026-04-09 11:23:44,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Garden Reach Shipbuilders & Engineers"",""sc_symbol"":""GRSE"",""sc_scripcode"":""542011"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""2526.50"",""pattern_type"":""buy"",""cmp"":""2832.80"",""price_key"":""stk_GRS01_N"",""target_price"":null,""target_return_prcnt"":""10.83"",""stoploss_price"":null,""stoploss_prcnt"":""6.39"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177571402322.png""},""rationale"":""After a downtrend price started to reverse and broke the falling trendline. This is a strong sign of bullish reversal."",""action_type"":""add"",""created_at"":""2026-04-09 11:23:44"",""updated_at"":""2026-04-09 11:23:44""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177692299999.png""},""rationale"":""12% up"",""action_type"":""close"",""created_at"":""2026-04-23 11:13:20"",""updated_at"":""2026-04-23 11:13:20""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1776923000,1775714024,mc_pro_plus,N,3
