MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
TCS,TCS,TCS,2375.0,2457.7,2375.0,2452.7,2373.0,79.70,3.36,4547979
GI01,GI01,Grasim,3220.0,3349.6,3183.0,3323.0,3220.0,103.00,3.20,1071215
H,HI,Hindalco,1017.0,1059.6,1017.0,1059.6,1027.0,32.60,3.17,9284747
MM,MM,M&M,3405.0,3504.9,3402.1,3502.0,3406.0,96.00,2.82,3299237
HCL02,HCL02,HCL Tech,1329.0,1369.0,1328.0,1356.6,1335.0,21.60,1.62,1725616
SBI,SBI,SBI,1080.1,1124.5,1075.7,1097.2,1085.0,12.20,1.12,29410622
IT,IT,Infosys,1160.0,1183.0,1155.6,1175.1,1165.0,10.10,0.87,7581410
HL,HU,HUL,2083.1,2099.4,2077.2,2096.0,2079.5,16.50,0.79,1054665
W,W,Wipro,185.87,188.37,185.65,187.53,186.12,1.41,0.76,7823102
RI,RI,Reliance,1320.0,1337.0,1316.6,1334.8,1325.0,9.80,0.74,9885638
EM,EM,Eicher Motors,7940.0,8067.5,7920.0,8020.0,7967.5,52.50,0.66,339416
BTV,BA08,Bharti Airtel,1938.3,1961.0,1938.3,1959.9,1948.0,11.90,0.61,3019876
TEL,TM03,TMPV,345.0,349.8,343.65,347.0,345.35,1.65,0.48,4274035
BE03,BE03,Bharat Elec,401.0,403.0,398.35,401.0,399.2,1.80,0.45,10798068
ONG,ONG,ONGC,238.5,241.69,237.05,238.85,237.8,1.05,0.44,10078070
BA06,BA10,Bajaj Auto,11580.0,11730.0,11574.0,11662.0,11620.0,42.00,0.36,208968
NI,NI,Nestle,1523.0,1553.0,1520.0,1540.0,1535.0,5.00,0.33,1520661
PGC,PGC,Power Grid Corp,268.65,272.85,268.35,271.6,270.75,0.85,0.31,7795199
IA05,IA04,Interglobe Avi,5284.0,5367.5,5281.0,5333.0,5318.5,14.50,0.27,432283
UTC,UTC01,UltraTechCement,12051.0,12105.0,11970.0,12105.0,12075.0,30.00,0.25,171352
TM4,TM4,Tech Mahindra,1639.8,1681.5,1634.3,1635.0,1632.2,2.80,0.17,6089110
DRL,DRL,Dr Reddys Labs,1166.0,1172.0,1162.1,1172.0,1171.0,1.00,0.09,1072438
ITC,ITC,ITC,285.0,286.1,284.4,286.1,285.9,0.20,0.07,6128841
