Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,IT,Infosys,Stock,Very Bearish,"1,162.70",-10.04,"10 Apr, 2026","1,292.50",May 07 | 15:59
NIFTY 50,HCL02,HCL Tech,Stock,Very Bearish,"1,183.40",-7.93,"22 Apr, 2026","1,285.30",May 07 | 15:59
NIFTY 50,W,Wipro,Stock,Very Bearish,197.36,-1.69,"04 May, 2026",200.75,May 07 | 15:59
NIFTY 50,ICI02,ICICI Bank,Stock,Very Bearish,"1,279.00",-1.01,"28 Apr, 2026","1,292.00",May 07 | 15:59
NIFTY 50,BTV,Bharti Airtel,Stock,Very Bearish,"1,826.60",-0.03,"04 May, 2026","1,827.10",May 07 | 15:59
NIFTY 50,TCS,TCS,Stock,Very Bearish,"2,401.40",0.19,"24 Apr, 2026","2,396.90",May 07 | 15:59
NIFTY 50,UTI10,Axis Bank,Stock,Bearish,"1,292.70",1.92,"30 Apr, 2026","1,268.30",May 07 | 15:56
NIFTY 50,SLI03,SBI Life Insura,Stock,Bearish,"1,872.20",2.41,"23 Apr, 2026","1,828.10",May 07 | 15:50
NIFTY BANK,PNB05,PNB,Stock,Very Bearish,109.11,-10.10,"04 Mar, 2026",121.37,May 07 | 15:59
NIFTY BANK,UBI01,Union Bank,Stock,Bearish,167.28,-1.88,"28 Apr, 2026",170.48,May 07 | 15:59
NIFTY BANK,BOB,Bank of Baroda,Stock,Bearish,270.35,0.94,"28 Apr, 2026",267.83,May 07 | 15:59
NIFTY BANK,CB06,Canara Bank,Stock,Bearish,135.93,0.95,"30 Apr, 2026",134.65,May 07 | 15:59
NIFTY MIDCAP100,SCP03,SBI Card,Stock,Very Bearish,648.15,-16.41,"26 Feb, 2026",775.40,May 07 | 15:59
NIFTY MIDCAP100,SL23,Swiggy,Stock,Bearish,279.50,-16.30,"18 Feb, 2026",333.95,May 07 | 15:58
NIFTY MIDCAP100,RSI,Patanjali Foods,Stock,Very Bearish,460.35,-11.26,"25 Feb, 2026",518.75,May 07 | 15:59
NIFTY MIDCAP100,SI48,Supreme Ind,Stock,Bearish,"3,664.90",-4.64,"19 Mar, 2026","3,843.40",May 07 | 15:55
NIFTY MIDCAP100,BI26,INDUS TOWERS,Stock,Very Bearish,402.90,-4.13,"15 Apr, 2026",420.25,May 07 | 15:57
NIFTY MIDCAP100,IB04,Indian Bank,Stock,Very Bearish,860.75,-3.94,"28 Apr, 2026",896.10,May 07 | 15:57
NIFTY MIDCAP100,LSL,Lenskart Solu,Stock,Bearish,487.75,-3.74,"05 May, 2026",506.70,May 07 | 15:59
NIFTY MIDCAP100,BS,Blue Star,Stock,Bearish,"1,748.60",-2.98,"05 May, 2026","1,802.30",May 07 | 15:59
NIFTY MIDCAP100,BOI,Bank of India,Stock,Very Bearish,140.37,-2.69,"28 Apr, 2026",144.25,May 07 | 15:59
NIFTY MIDCAP100,PS15,Persistent,Stock,Bearish,"4,984.00",-1.76,"22 Apr, 2026","5,073.30",May 07 | 15:58
NIFTY MIDCAP100,MRF,MRF,Stock,Very Bearish,"129,965.00",-1.65,"24 Apr, 2026","132,145.00",May 07 | 15:57
NIFTY MIDCAP100,CF06,Coromandel Int,Stock,Very Bearish,"1,965.00",-1.52,"24 Apr, 2026","1,995.30",May 07 | 15:56
NIFTY MIDCAP100,V,Voltas,Stock,Bearish,"1,363.90",-0.87,"05 May, 2026","1,375.90",May 07 | 15:59
NIFTY MIDCAP100,NAC,NALCO,Stock,Bearish,403.50,-0.75,"06 May, 2026",406.55,May 07 | 15:59
