MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
AHE,AHE,Apollo Hospital,8682.0,8840.5,8650.0,8760.0,8650.0,110.00,1.27,303793
LT,LT,Larsen,3962.0,4004.9,3960.9,3999.0,3964.1,34.90,0.88,1256683
CI29,CI11,Coal India,416.6,420.3,413.3,418.85,415.35,3.50,0.84,13592701
BTV,BA08,Bharti Airtel,1845.0,1855.5,1830.4,1854.0,1840.0,14.00,0.76,5972458
MHI,MHI,Max Healthcare,983.0,994.9,974.0,992.0,984.8,7.20,0.73,1854549
C,C,Cipla,1380.0,1395.7,1376.8,1395.0,1385.0,10.00,0.72,606497
EM,EM,Eicher Motors,7658.0,7729.0,7615.0,7672.0,7630.5,41.50,0.54,466050
MU01,MS24,Maruti Suzuki,12691.0,12833.0,12618.0,12760.0,12694.0,66.00,0.52,413778
TT,TT,TATA Cons. Prod,1014.0,1019.9,1004.0,1015.0,1010.0,5.00,0.50,1368015
IA05,IA04,Interglobe Avi,4950.0,5008.0,4944.0,5001.0,4977.0,24.00,0.48,354874
AE01,AE13,Adani Enterpris,2940.0,2964.4,2918.5,2950.0,2938.0,12.00,0.41,981218
ICI02,ICI02,ICICI Bank,1428.0,1434.4,1422.6,1427.5,1423.2,4.30,0.30,8035111
PGC,PGC,Power Grid Corp,266.0,268.8,264.25,266.45,266.0,0.45,0.17,7015606
