Category,StockName,lastUpdatedTime
52WeekLow,Aaradhya Dispos,"08 Apr, 2026|15:31"
52WeekLow,Airo Lam,"08 Apr, 2026|15:41"
52WeekLow,Amir Chand,"08 Apr, 2026|15:44"
52WeekLow,Aqylon Nexus,"08 Apr, 2026|15:42"
52WeekLow,Flexituff Ventu,"08 Apr, 2026|15:43"
52WeekLow,P E Analytics,"08 Apr, 2026|15:31"
52WeekLow,Perfect Infra,"06 Apr, 2026|15:31"
52WeekLow,Raj Television,"08 Apr, 2026|15:43"
52WeekLow,RB Denims,"08 Apr, 2026|15:43"
52WeekLow,Teerth Gopicon,"08 Apr, 2026|15:44"
52WeekLow,Vinati Organics,"08 Apr, 2026|15:43"
52WeekHigh,ABB India,"08 Apr, 2026|15:44"
52WeekHigh,Accent Micro,"08 Apr, 2026|15:31"
52WeekHigh,Adani Energy,"08 Apr, 2026|15:44"
52WeekHigh,Aeroflex Ind.,"08 Apr, 2026|15:44"
52WeekHigh,AGI Infra,"08 Apr, 2026|15:43"
52WeekHigh,Anand Rathi,"08 Apr, 2026|15:43"
52WeekHigh,Apsis Aerocom,"08 Apr, 2026|15:40"
52WeekHigh,Arfin India,"08 Apr, 2026|15:41"
52WeekHigh,Artemis Elect,"08 Apr, 2026|15:41"
52WeekHigh,Asian Hotel (W),"08 Apr, 2026|15:43"
52WeekHigh,Aurobindo Pharm,"08 Apr, 2026|15:43"
52WeekHigh,Bliss GVS,"08 Apr, 2026|15:43"
52WeekHigh,CCL Products,"08 Apr, 2026|15:44"
52WeekHigh,Ceinsys Tech,"08 Apr, 2026|15:43"
52WeekHigh,DC Infotech,"08 Apr, 2026|15:43"
52WeekHigh,DEE Development,"08 Apr, 2026|15:43"
52WeekHigh,Divine Hira Jew,"08 Apr, 2026|15:42"
52WeekHigh,Divine Power,"08 Apr, 2026|15:31"
52WeekHigh,Excellent Wire ,"08 Apr, 2026|15:40"
52WeekHigh,Godawari Power,"08 Apr, 2026|15:44"
52WeekHigh,Granules India,"08 Apr, 2026|15:44"
52WeekHigh,Hardwyn,"08 Apr, 2026|15:41"
52WeekHigh,Ind-Swift Labs,"08 Apr, 2026|15:44"
52WeekHigh,Karnataka Bank,"08 Apr, 2026|15:44"
52WeekHigh,KSH Intl,"08 Apr, 2026|15:43"
52WeekHigh,Madhya Bharat A,"08 Apr, 2026|15:31"
52WeekHigh,Mahickra Chemic,"08 Apr, 2026|15:40"
52WeekHigh,Manilam Industr,"08 Apr, 2026|15:31"
52WeekHigh,MTAR Tech,"08 Apr, 2026|15:44"
52WeekHigh,Natco Pharma,"08 Apr, 2026|15:44"
52WeekHigh,Omnitech Engine,"08 Apr, 2026|15:44"
52WeekHigh,Park Medi World,"08 Apr, 2026|15:43"
52WeekHigh,Pashupati Cotsp,"08 Apr, 2026|15:31"
52WeekHigh,Powerica,"08 Apr, 2026|15:43"
52WeekHigh,Rajputana Stain,"08 Apr, 2026|15:44"
52WeekHigh,RMC Switchgears,"08 Apr, 2026|15:43"
52WeekHigh,Sai Parenterals,"08 Apr, 2026|15:44"
52WeekHigh,SAIL,"08 Apr, 2026|15:44"
52WeekHigh,Setco Auto,"08 Apr, 2026|15:44"
52WeekHigh,SG FINSERVE,"08 Apr, 2026|15:42"
52WeekHigh,SG MART,"08 Apr, 2026|15:43"
52WeekHigh,Sportking India,"08 Apr, 2026|15:44"
52WeekHigh,Steelcast,"08 Apr, 2026|15:43"
52WeekHigh,Titan Company,"08 Apr, 2026|15:44"
52WeekHigh,Unihealth Hospi,"08 Apr, 2026|15:44"
52WeekHigh,Vardhman Text,"08 Apr, 2026|15:42"
52WeekHigh,Venus Remedies,"08 Apr, 2026|15:42"
