Index,scId,StockName,type,currTrend,currPrice,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,TI01,Titan Company,Stock,Very Bullish,"4,492.50","06 Apr, 2026","4,246.10",Apr 08 | 16:00
NIFTY 50,TIS,Tata Steel,Stock,Very Bullish,204.18,"06 Apr, 2026",196.10,Apr 08 | 16:00
NIFTY 50,H,Hindalco,Stock,Bullish,951.80,"06 Apr, 2026",927.45,Apr 08 | 16:00
NIFTY 50,L,Trent,Stock,Bullish,"3,905.00","07 Apr, 2026","3,823.00",Apr 08 | 15:59
NIFTY 50,HCL02,HCL Tech,Stock,Bullish,"1,461.00","07 Apr, 2026","1,441.60",Apr 08 | 16:00
NIFTY 50,ONG,ONGC,Stock,Very Bullish,285.50,"27 Mar, 2026",281.95,Apr 08 | 16:00
NIFTY 50,IT,Infosys,Stock,Bullish,"1,346.20","07 Apr, 2026","1,339.40",Apr 08 | 15:59
NIFTY 50,STF,Shriram Finance,Stock,Very Bullish,"1,023.20","08 Apr, 2026","1,023.20",Apr 08 | 16:00
NIFTY 50,JVS,JSW Steel,Stock,Bullish,"1,194.30","08 Apr, 2026","1,194.30",Apr 08 | 15:55
NIFTY 50,LT,Larsen,Stock,Very Bullish,"4,005.90","08 Apr, 2026","4,005.90",Apr 08 | 16:00
NIFTY 50,MPS,Adani Ports,Stock,Bullish,"1,453.30","08 Apr, 2026","1,453.30",Apr 08 | 15:59
NIFTY 50,W,Wipro,Stock,Bullish,203.42,"08 Apr, 2026",203.42,Apr 08 | 16:00
NIFTY 50,TM4,Tech Mahindra,Stock,Bullish,"1,451.40","08 Apr, 2026","1,451.40",Apr 08 | 15:58
NIFTY 50,BA06,Bajaj Auto,Stock,Bullish,"9,366.00","08 Apr, 2026","9,366.00",Apr 08 | 15:55
NIFTY 50,NI,Nestle,Stock,Bullish,"1,213.70","08 Apr, 2026","1,213.70",Apr 08 | 15:58
NIFTY 50,UTI10,Axis Bank,Stock,Very Bullish,"1,333.00","08 Apr, 2026","1,333.00",Apr 08 | 15:59
NIFTY 50,IA05,Interglobe Avi,Stock,Bullish,"4,615.50","08 Apr, 2026","4,615.50",Apr 08 | 15:59
NIFTY BANK,FB,Federal Bank,Stock,Bullish,284.45,"07 Apr, 2026",275.15,Apr 08 | 15:59
NIFTY BANK,UBI01,Union Bank,Stock,Bullish,185.66,"08 Apr, 2026",185.66,Apr 08 | 15:59
