Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,BA06,Bajaj Auto,Stock,Bullish,"11,880.00",18.37,"06 Jul, 2026","10,036.50",Sep 08 | 15:59
NIFTY 50,KMF,Kotak Mahindra,Stock,Very Bullish,419.25,5.51,"20 Aug, 2026",397.35,Sep 08 | 15:59
NIFTY 50,GI01,Grasim,Stock,Bullish,"3,306.80",1.44,"03 Aug, 2026","3,260.00",Sep 08 | 15:56
NIFTY 50,MPS,Adani Ports,Stock,Bullish,"1,710.00",0.93,"07 Sep, 2026","1,694.30",Sep 08 | 15:59
NIFTY 50,CI29,Coal India,Stock,Bullish,420.25,0.05,"03 Sep, 2026",420.05,Sep 08 | 15:59
NIFTY 50,BE03,Bharat Elec,Stock,Bullish,410.55,0.00,"08 Sep, 2026",410.55,Sep 08 | 15:59
NIFTY 50,AHE,Apollo Hospital,Stock,Very Bullish,"8,837.50",0.00,"08 Sep, 2026","8,837.50",Sep 08 | 15:51
NIFTY BANK,IDF01,IDFC First Bank,Stock,Very Bullish,86.50,24.53,"25 May, 2026",69.46,Sep 08 | 15:59
NIFTY BANK,UBI01,Union Bank,Stock,Bullish,183.22,7.53,"13 Jul, 2026",170.39,Sep 08 | 15:57
NIFTY MIDCAP100,LL06,Laurus Labs,Stock,Very Bullish,"1,946.90",87.42,"01 Apr, 2026","1,038.80",Sep 08 | 15:56
NIFTY MIDCAP100,OC10,One 97 Comm,Stock,Very Bullish,"1,670.00",48.47,"25 Jun, 2026","1,124.80",Sep 08 | 15:59
NIFTY MIDCAP100,KJI01,Kalyan Jeweller,Stock,Very Bullish,612.60,38.28,"09 Jul, 2026",443.00,Sep 08 | 15:59
NIFTY MIDCAP100,LSL,Lenskart Solu,Stock,Very Bullish,695.75,34.57,"22 Jun, 2026",517.00,Sep 08 | 15:59
NIFTY MIDCAP100,NII02,COFORGE,Stock,Very Bullish,"1,950.00",27.58,"27 Jul, 2026","1,528.40",Sep 08 | 15:59
NIFTY MIDCAP100,FEV,FSN E-Com (Nyka,Stock,Very Bullish,341.00,24.68,"12 Jun, 2026",273.50,Sep 08 | 15:57
NIFTY MIDCAP100,MOF01,Motilal Oswal,Stock,Very Bullish,"1,051.50",16.35,"14 Aug, 2026",903.70,Sep 08 | 15:57
NIFTY MIDCAP100,MCE,MCX India,Stock,Very Bullish,"3,342.00",15.44,"11 Aug, 2026","2,895.00",Sep 08 | 15:59
NIFTY MIDCAP100,IC8,Vodafone Idea,Stock,Very Bullish,15.42,14.22,"12 Aug, 2026",13.50,Sep 08 | 15:59
NIFTY MIDCAP100,OI13,Oil India,Stock,Very Bullish,495.40,13.31,"15 Jul, 2026",437.20,Sep 08 | 15:59
NIFTY MIDCAP100,AP,Aurobindo Pharm,Stock,Very Bullish,"1,692.00",12.97,"19 Jun, 2026","1,497.80",Sep 08 | 15:59
NIFTY MIDCAP100,BT09,APL Apollo,Stock,Very Bullish,"2,185.00",12.54,"03 Aug, 2026","1,941.50",Sep 08 | 15:51
NIFTY MIDCAP100,PF15,PB Fintech,Stock,Very Bullish,"1,826.00",10.67,"03 Aug, 2026","1,650.00",Sep 08 | 15:57
NIFTY MIDCAP100,GP08,Glenmark,Stock,Very Bullish,"2,474.50",9.54,"05 Aug, 2026","2,259.00",Sep 08 | 15:57
NIFTY MIDCAP100,GEC,GE Vernova T&D,Stock,Very Bullish,"4,750.00",8.77,"07 Sep, 2026","4,367.20",Sep 08 | 15:59
NIFTY MIDCAP100,SAI,SAIL,Stock,Bullish,186.10,7.23,"04 Aug, 2026",173.55,Sep 08 | 15:59
NIFTY MIDCAP100,LEI,LG Electronics ,Stock,Very Bullish,"1,672.20",6.52,"03 Aug, 2026","1,569.80",Sep 08 | 15:59
NIFTY MIDCAP100,LIC,LIC Housing Fin,Stock,Very Bullish,563.00,5.14,"27 Aug, 2026",535.50,Sep 08 | 15:59
NIFTY MIDCAP100,SCP03,SBI Card,Stock,Very Bullish,668.00,1.06,"03 Sep, 2026",661.00,Sep 08 | 15:59
NIFTY MIDCAP100,CS17,Cochin Shipyard,Stock,Very Bullish,"1,528.20",0.00,"08 Sep, 2026","1,528.20",Sep 08 | 15:59
NIFTY MIDCAP100,VSN,Tata Comm,Stock,Bullish,"1,752.80",-0.19,"04 Sep, 2026","1,756.10",Sep 08 | 15:59
NIFTY NEXT 50,DL03,Divis Labs,Stock,Very Bullish,"9,575.00",41.70,"03 Jul, 2026","6,757.00",Sep 08 | 15:59
NIFTY NEXT 50,MIC,Bosch,Stock,Very Bullish,"48,785.00",33.20,"29 May, 2026","36,625.00",Sep 08 | 15:57
NIFTY NEXT 50,SE20,Solar Ind,Stock,Very Bullish,"22,455.00",23.14,"10 Jul, 2026","18,236.00",Sep 08 | 15:55
NIFTY NEXT 50,HZ,Hind Zinc,Stock,Bullish,595.50,5.79,"04 Aug, 2026",562.90,Sep 08 | 15:59
NIFTY NEXT 50,TCL06,Tata Capital,Stock,Bullish,368.05,3.69,"28 Jul, 2026",354.95,Sep 08 | 15:58
NIFTY NEXT 50,D04,DLF,Stock,Bullish,675.10,2.29,"10 Aug, 2026",660.00,Sep 08 | 15:58
NIFTY NEXT 50,CG,CG Power ,Stock,Very Bullish,910.70,1.75,"03 Sep, 2026",895.00,Sep 08 | 15:59
NIFTY NEXT 50,HMI01,Hyundai Motor,Stock,Very Bullish,"2,220.00",0.68,"04 Sep, 2026","2,205.00",Sep 08 | 15:57
NIFTY NEXT 50,GAI,GAIL,Stock,Very Bullish,175.09,0.24,"03 Sep, 2026",174.67,Sep 08 | 15:56
