Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekLow,I12,I07,A B Infrabuild,/infrastructure-general/abinfrabuild/I07,10.48,"09 Jun, 2026|15:59"
52WeekLow,HSA01,BC12,Bayer CropScien,/pesticides-agro-chemicals/bayercropscience/BC12,4277.0,"09 Jun, 2026|15:59"
52WeekLow,BI10,BI10,BIL VYAPAR,/diversified/bilvyapar/BI10,4.21,"09 Jun, 2026|15:53"
52WeekLow,OCL,OCL,Dalmia Bharat,/cement-major/dalmiabharat/OCL,1671.8,"09 Jun, 2026|15:54"
52WeekLow,EID,EID,EID Parry,/sugar/eidparryindia/EID,721.9,"09 Jun, 2026|15:58"
52WeekLow,ESL04,ESL04,Envirotech Sys,/it-services-consulting/envirotechsystems/ESL04,77.2,"09 Jun, 2026|15:42"
52WeekLow,FIA,FIA,Fischer Medical,/commodity-chemicals/fischermedicalventures/FIA,32.99,"09 Jun, 2026|15:57"
52WeekLow,GIC11,GIC11,Globe Internati,/diversified/globeinternationalcarriers/GIC11,21.25,"09 Jun, 2026|15:56"
52WeekLow,VRM,VRM,Gradiente Info,/it-services-consulting/gradienteinfotainment/VRM,2.65,"09 Jun, 2026|15:59"
52WeekLow,GL03,GL04,Graphisads,/diversified/graphisads/GL04,29.2,"09 Jun, 2026|15:40"
52WeekLow,GRM01,GRM01,GRM Overseas,/food-processing/grmoverseas/GRM01,123.45,"09 Jun, 2026|15:59"
52WeekLow,HTL02,HTL02,HVAX Tech,/engineering/hvaxtechnologies/HTL02,632.75,"09 Jun, 2026|15:40"
52WeekLow,IUB,IUB,Indo US Bio-Tec,/miscellaneous/indousbio-tech/IUB,99.4,"09 Jun, 2026|15:50"
52WeekLow,IT06,IT06,Innovana,/computers-software/innovanathinklabs/IT06,320.45,"09 Jun, 2026|15:43"
52WeekLow,KCE,KCE,Kay Cee Energy ,/construction-infrastructure/kayceeenergyinfra/KCE,88.25,"09 Jun, 2026|15:31"
52WeekLow,KEL06,KEL07,Ken Enterprises,/textiles/kenenterprises/KEL07,32.15,"09 Jun, 2026|15:31"
52WeekLow,KP11,KP,Kwality Pharmac,/pharmaceuticals/kwalitypharmaceuticals/KP,2271.0,"09 Jun, 2026|15:48"
52WeekLow,LME01,LME01,Le Merite,/textiles/lemeriteexports/LME01,26.6,"09 Jun, 2026|15:57"
52WeekLow,LG,LG,Lexus Granito,/miscellaneous/lexusgranitoindia/LG,17.0,"09 Jun, 2026|15:41"
52WeekLow,MP18,MP18,Menon Pistons,/auto-ancillaries/menonpistons/MP18,53.19,"09 Jun, 2026|15:48"
52WeekLow,NTL02,NTL02,Newjaisa Techno,/trading/newjaisatechnologies/NTL02,14.7,"09 Jun, 2026|15:50"
52WeekLow,NSF,NSF,NFP Sampoorna,/consumer-food/nfpsampoornafoods/NSF,27.6,"09 Jun, 2026|15:55"
52WeekLow,NE10,NE09,Nitiraj Enginee,/engineering/nitirajengineers/NE09,176.5,"09 Jun, 2026|15:56"
52WeekLow,KCP02,NGI04,Nitta Gelatin,/chemicals/nittagelatinindia/NGI04,1420.2,"09 Jun, 2026|15:59"
