pattern_id,userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,p_status,is_closed,is_deleted,end_date,updated_at,created_at,meta_data,analyst_name,analyst_image,updated_at_epoch,created_at_epoch,chartType,displayLock,scanproflg
1265,21,equity,Hitachi Energy India,nse,Inverted Head& Shoulder,Bullish Reversal,30 mins,APP03,Closed,Y,0,1970-01-01,2026-04-10 09:30:42,2026-03-20 09:35:31,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Hitachi Energy India"",""sc_symbol"":""POWERINDIA"",""sc_scripcode"":""543187"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""25630.00"",""pattern_type"":""buy"",""cmp"":""27835.00"",""price_key"":""stk_APP03_N"",""target_price"":null,""target_return_prcnt"":""3.50"",""stoploss_price"":null,""stoploss_prcnt"":""3.03"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/1773979529100.png""},""rationale"":""Price has broken out of the inverted head & shoulders pattern confirming a bullish reversal. This move suggests strong buying interest and potential continuation of the upward trend."",""action_type"":""add"",""created_at"":""2026-03-20 09:35:31"",""updated_at"":""2026-03-20 09:35:31""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177579364170.png""},""rationale"":""8.40% up"",""action_type"":""close"",""created_at"":""2026-04-10 09:30:42"",""updated_at"":""2026-04-10 09:30:42""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1775793642,1773979531,mc_pro_plus,N,3
1250,21,equity,Bajaj Auto,nse,Falling Channel,Bullish Reversal,30 mins,BA06,Closed,Y,0,1970-01-01,2026-04-09 09:46:03,2026-03-16 13:30:33,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Bajaj Auto"",""sc_symbol"":""BAJAJ-AUTO"",""sc_scripcode"":""532977"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""8962.00"",""pattern_type"":""buy"",""cmp"":""9515.50"",""price_key"":""stk_BA06_N"",""target_price"":null,""target_return_prcnt"":""7.86"",""stoploss_price"":null,""stoploss_prcnt"":""2.48"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177364803186.png""},""rationale"":""After a phase of decline within a falling channel the price has moved above the resistance line. This shift indicates buyers regaining strength and may lead to a potential upward move."",""action_type"":""add"",""created_at"":""2026-03-16 13:30:33"",""updated_at"":""2026-03-16 13:30:33""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177570816241.png""},""rationale"":""7.55% up"",""action_type"":""close"",""created_at"":""2026-04-09 09:46:03"",""updated_at"":""2026-04-09 09:46:03""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1775708163,1773648033,mc_pro_plus,N,3
1283,21,equity,Kalyan Jewellers India,nse,Falling Channel,Bullish Reversal,2 hours,KJI01,Closed,Y,0,1970-01-01,2026-04-08 14:27:17,2026-03-25 10:18:11,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Kalyan Jewellers India"",""sc_symbol"":""KALYANKJIL"",""sc_scripcode"":""543278"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""389.00"",""pattern_type"":""buy"",""cmp"":""444.60"",""price_key"":""stk_KJI01_N"",""target_price"":null,""target_return_prcnt"":""7.20"",""stoploss_price"":null,""stoploss_prcnt"":""3.86"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177441409021.png""},""rationale"":""Price has been drifting lower within a falling channel but support near the lower band is holding firm. A bounce from here suggests selling pressure is fading pointing toward a bullish reversal."",""action_type"":""add"",""created_at"":""2026-03-25 10:18:11"",""updated_at"":""2026-03-25 10:18:11""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177563863664.png""},""rationale"":""14% up."",""action_type"":""close"",""created_at"":""2026-04-08 14:27:17"",""updated_at"":""2026-04-08 14:27:17""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1775638637,1774414091,mc_pro_plus,N,3
1281,21,equity,DLF,nse,Falling Trendline,Bullish Reversal,30 mins,D04,Closed,Y,0,1970-01-01,2026-04-08 12:01:36,2026-03-25 09:29:42,"{""chart_type"":""mc_pro_plus"",""sc_name"":""DLF"",""sc_symbol"":""DLF"",""sc_scripcode"":""532868"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""540.60"",""pattern_type"":""buy"",""cmp"":""568.40"",""price_key"":""stk_D04_N"",""target_price"":null,""target_return_prcnt"":""5.25"",""stoploss_price"":null,""stoploss_prcnt"":""4.00"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177441118051.png""},""rationale"":""The price moved in a downward direction and repeatedly tried to break the trendline but was pushed back and now the price managed to break it and may have a possible bullish reversal."",""action_type"":""add"",""created_at"":""2026-03-25 09:29:42"",""updated_at"":""2026-03-25 09:29:42""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177441118051.png""},""rationale"":""Negated!"",""action_type"":""close"",""created_at"":""2026-04-08 12:01:36"",""updated_at"":""2026-04-08 12:01:36""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1775629896,1774411182,mc_pro_plus,N,3
1249,21,equity,Adani Power,nse,Falling Channel,Bullish Reversal,1 day,AP26,Closed,Y,0,1970-01-01,2026-04-08 10:58:18,2026-03-16 11:40:08,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Adani Power"",""sc_symbol"":""ADANIPOWER"",""sc_scripcode"":""533096"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""153.39"",""pattern_type"":""buy"",""cmp"":""169.73"",""price_key"":""stk_AP26_N"",""target_price"":null,""target_return_prcnt"":""12.13"",""stoploss_price"":null,""stoploss_prcnt"":""10.03"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177364140629.png""},""rationale"":""Price had been drifting lower within a falling channel but a move above the upper boundary points to a bullish reversal and improving buying momentum."",""action_type"":""add"",""created_at"":""2026-03-16 11:40:08"",""updated_at"":""2026-03-16 11:40:08""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177562609760.png""},""rationale"":""14% up."",""action_type"":""close"",""created_at"":""2026-04-08 10:58:18"",""updated_at"":""2026-04-08 10:58:18""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1775626098,1773641408,mc_pro_plus,N,3
1320,21,equity,Prestige Estates Projects,nse,Falling Wedge,Bullish Reversal,1 hour,PEP02,Closed,Y,0,1970-01-01,2026-04-08 09:58:44,2026-04-06 13:58:14,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Prestige Estates Projects"",""sc_symbol"":""PRESTIGE"",""sc_scripcode"":""533274"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1186.20"",""pattern_type"":""buy"",""cmp"":""1332.30"",""price_key"":""stk_PEP02_N"",""target_price"":null,""target_return_prcnt"":""8.67"",""stoploss_price"":null,""stoploss_prcnt"":""4.48"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177546409378.png""},""rationale"":""Falling wedge shows selling pressure weakening as price makes lower highs/lows in a narrowing range. A breakout above resistance signals trend reversal, offering a high-probability bullish entry."",""action_type"":""add"",""created_at"":""2026-04-06 13:58:14"",""updated_at"":""2026-04-06 13:58:14""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177562252388.png""},""rationale"":""12.90% up"",""action_type"":""close"",""created_at"":""2026-04-08 09:58:44"",""updated_at"":""2026-04-08 09:58:44""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1775622524,1775464094,mc_pro_plus,N,3
1291,21,equity,Karur Vysya Bank,nse,Inverted Head& Shoulder,On the verge of breakout,1 hour,KVB,Closed,Y,0,1970-01-01,2026-04-08 09:54:09,2026-03-27 13:55:08,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Karur Vysya Bank"",""sc_symbol"":""KARURVYSYA"",""sc_scripcode"":""590003"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""290.85"",""pattern_type"":""buy"",""cmp"":""276.80"",""price_key"":""stk_KVB_N"",""target_price"":null,""target_return_prcnt"":""5.90"",""stoploss_price"":null,""stoploss_prcnt"":""4.07"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177459990670.png""},""rationale"":""Price is forming an inverted head & shoulders and is nearing the neckline resistance. A breakout above this level could confirm the pattern and signal a potential bullish move."",""action_type"":""add"",""created_at"":""2026-03-27 13:55:08"",""updated_at"":""2026-03-27 13:55:08""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177562224822.png""},""rationale"":""Pattern Failed."",""action_type"":""close"",""created_at"":""2026-04-08 09:54:09"",""updated_at"":""2026-04-08 09:54:09""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1775622249,1774599908,mc_pro_plus,N,3
1294,21,equity,Vedanta,nse,Falling Channel,Bullish Reversal,1 hour,SG,Closed,Y,0,1970-01-01,2026-04-08 09:46:32,2026-03-30 09:50:07,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Vedanta"",""sc_symbol"":""VEDL"",""sc_scripcode"":""500295"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""674.00"",""pattern_type"":""buy"",""cmp"":""723.65"",""price_key"":""stk_SG_N"",""target_price"":null,""target_return_prcnt"":""7.27"",""stoploss_price"":null,""stoploss_prcnt"":""4.01"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177484440597.png""},""rationale"":""Price has broken above the falling channel indicating selling pressure is easing. This move suggests buyers are stepping in with potential for a bullish continuation if momentum sustains."",""action_type"":""add"",""created_at"":""2026-03-30 09:50:07"",""updated_at"":""2026-03-30 09:50:07""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177562179194.png""},""rationale"":""8.90% up"",""action_type"":""close"",""created_at"":""2026-04-08 09:46:32"",""updated_at"":""2026-04-08 09:46:32""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1775621792,1774844407,mc_pro_plus,N,3
1301,21,equity,GAIL India,nse,Double Bottom,On the verge of breakout,30 mins,GAI,Closed,Y,0,1970-01-01,2026-04-08 09:41:36,2026-03-30 12:25:32,"{""chart_type"":""mc_pro_plus"",""sc_name"":""GAIL India"",""sc_symbol"":""GAIL"",""sc_scripcode"":""532155"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""140.16"",""pattern_type"":""buy"",""cmp"":""151.74"",""price_key"":""stk_GAI_N"",""target_price"":null,""target_return_prcnt"":""4.88"",""stoploss_price"":null,""stoploss_prcnt"":""4.39"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177485373051.png""},""rationale"":""Price is forming a double bottom and is now approaching a resistance level. This setup is worth watching as a breakout above it could confirm strength and offer a good risk-reward opportunity."",""action_type"":""add"",""created_at"":""2026-03-30 12:25:32"",""updated_at"":""2026-03-30 12:25:32""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177562149572.png""},""rationale"":""9.95% up."",""action_type"":""close"",""created_at"":""2026-04-08 09:41:36"",""updated_at"":""2026-04-08 09:41:36""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1775621496,1774853732,mc_pro_plus,N,3
1303,21,equity,Indian Railway Finance Corporation,nse,Falling Channel,Bullish Reversal,30 mins,IRF,Closed,Y,0,1970-01-01,2026-04-08 09:39:03,2026-04-01 09:27:27,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Indian Railway Finance Corporation"",""sc_symbol"":""IRFC"",""sc_scripcode"":""543257"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""91.30"",""pattern_type"":""buy"",""cmp"":""97.04"",""price_key"":""stk_IRF_N"",""target_price"":null,""target_return_prcnt"":""5.15"",""stoploss_price"":null,""stoploss_prcnt"":""4.71"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177501584665.png""},""rationale"":""Price has broken out of the falling channel with a strong gap up showing aggressive buying interest. This move signals a shift in momentum and a potential further upside if strength continues."",""action_type"":""add"",""created_at"":""2026-04-01 09:27:27"",""updated_at"":""2026-04-01 09:27:27""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177562134159.png""},""rationale"":""7.24% Up"",""action_type"":""close"",""created_at"":""2026-04-08 09:39:03"",""updated_at"":""2026-04-08 09:39:03""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1775621343,1775015847,mc_pro_plus,N,3
1316,21,equity,Multi Commodity Exchange of India,nse,Symmetrical Triangle,Bullish Reversal,1 hour,MCE,Closed,Y,0,1970-01-01,2026-04-08 09:33:27,2026-04-06 10:31:19,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Multi Commodity Exchange of India"",""sc_symbol"":""MCX"",""sc_scripcode"":""534091"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""2494.40"",""pattern_type"":""buy"",""cmp"":""2644.40"",""price_key"":""stk_MCE_N"",""target_price"":null,""target_return_prcnt"":""8.16"",""stoploss_price"":null,""stoploss_prcnt"":""3.38"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177545167716.png""},""rationale"":""Price was compressing within a symmetrical triangle after a downtrend; a breakout above the falling trendline has signal a potential bullish reversal with upside continuation."",""action_type"":""add"",""created_at"":""2026-04-06 10:31:19"",""updated_at"":""2026-04-06 10:31:19""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/177562100671.png""},""rationale"":""6.52% up."",""action_type"":""close"",""created_at"":""2026-04-08 09:33:27"",""updated_at"":""2026-04-08 09:33:27""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1775621007,1775451679,mc_pro_plus,N,3
