MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,PCJEWELLER,PCJEWELLER,PCJEWELLER,10.0,9.83,0.17,1.73,399780253,10.2,10.3,9.91
,IDEA,IDEA,IDEA,14.18,14.04,0.14,1.0,273282577,14.15,14.33,14.02
,KALYANKJIL,KALYANKJIL,KALYANKJIL,480.0,443.0,37.0,8.35,115487371,451.1,483.4,446.0
,CUPID,CUPID,CUPID,212.98,210.01,2.97,1.41,101356189,218.0,222.0,206.11
,VISL,VISL,VISL,34.68,33.03,1.65,5.0,92368489,33.0,34.68,32.75
,VOGL,VOGL,VOGL,38.75,37.93,0.82,2.16,70494572,38.53,40.24,38.52
,TATSILV,TATSILV,TATSILV,21.25,21.64,-0.39,-1.8,69792255,21.98,21.98,21.15
,MAHABANK,MAHABANK,MAHABANK,84.0,82.01,1.99,2.43,69639831,82.9,87.46,81.62
,CCAVENUE,CCAVENUE,CCAVENUE,18.08,17.12,0.96,5.61,57114862,17.35,18.58,17.32
,OLAELEC,OLAELEC,OLAELEC,40.44,40.39,0.05,0.12,51508121,40.94,41.45,40.11
,ZENSARTECH,ZENSARTECH,ZENSARTECH,508.2,447.4,60.8,13.59,47030557,454.35,515.8,453.2
,SAGILITY,SAGILITY,SAGILITY,42.5,40.76,1.74,4.27,44596486,41.18,42.85,41.08
,YESBANK,YESBANK,YESBANK,23.97,23.64,0.33,1.4,44492915,23.9,24.03,23.8
,VEDPOWER,VEDPOWER,VEDPOWER,41.93,41.18,0.75,1.82,44361003,41.5,42.76,41.11
,SUZLON,SUZLON,SUZLON,54.06,53.7,0.36,0.67,41945443,54.02,54.45,53.75
,CANBK,CANBK,CANBK,128.88,124.8,4.08,3.27,40706138,125.4,131.48,125.31
,UJJIVANSFB,UJJIVANSFB,UJJIVANSFB,65.33,62.58,2.75,4.39,39570140,63.25,65.84,63.25
,MRPL,MRPL,MRPL,161.85,149.68,12.17,8.13,37336927,150.25,163.25,150.25
,IFCI,IFCI,IFCI,77.4,76.66,0.74,0.97,36750822,78.0,79.64,77.2
,GROWW,GROWW,GROWW,203.0,198.44,4.56,2.3,33279434,199.0,206.11,197.11
