Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekLow,AFH,AFH,Arihant Found,/construction-contracting-housing/arihantfoundationshousing/AFH,910.0,"11 May, 2026|15:43"
52WeekLow,BIL05,BIL06,Bulkcorp Intern,/packaging-packaging-materials/bulkcorpinternational/BIL06,45.0,"11 May, 2026|15:48"
52WeekLow,DSM03,DSM03,Debock Ind.,/diversified/debockindustries/DSM03,0.99,"11 May, 2026|15:54"
52WeekLow,VRM,VRM,Gradiente Info,/it-services-consulting/gradienteinfotainment/VRM,8.49,"11 May, 2026|15:50"
52WeekLow,OPT,OPT,Om Power Tran,/transmission-towers-equipments/ompowertransmission/OPT,179.49,"11 May, 2026|15:57"
52WeekLow,PI30,PI32,Perfect Infra,/construction-contracting-civil/perfectinfraengineers/PI32,2.3,"30 Apr, 2026|15:40"
52WeekLow,SAAIL,SAAIL,Sameera Agro,/misc-commercial-services/sameeraagroinfra/SAAIL,8.2,"11 May, 2026|15:51"
52WeekLow,SR11,SR12,SP Refractories,/refractories/sprefractories/SR12,98.65,"11 May, 2026|15:31"
52WeekLow,VT09,VT09,Vertexplus Tech,/software/vertexplustechnologies/VT09,77.0,"11 May, 2026|15:31"
52WeekLow,WIL01,WIL01,Wakefit Inno,/household-personal-products/wakefitinnovations/WIL01,128.47,"11 May, 2026|15:55"
52WeekLow,WL02,WL02,Womancart,/retailing/womancart/WL02,114.0,"11 May, 2026|15:49"
52WeekHigh,AML06,AML06,Accent Micro,/pharmaceuticals-drugs/accentmicrocell/AML06,459.5,"11 May, 2026|15:40"
52WeekHigh,APL07,APL07,Accretion Pharm,/pharmaceuticals-drugs/accretionpharmaceuticals/APL07,111.9,"11 May, 2026|15:42"
52WeekHigh,AO05,AO05,Acutaas Chem,/speciality-chemicals/acutaaschemicals/AO05,2745.0,"11 May, 2026|15:59"
52WeekHigh,ADANI54145,ADANI54145,Adani Green Ene,/power-generation-distribution/adanigreenenergylimited/ADANI54145,1343.0,"11 May, 2026|15:59"
52WeekHigh,AET02,AET,Advanced Enzyme,/pharmaceuticals/advancedenzymetechnologies/AET,378.0,"11 May, 2026|15:59"
52WeekHigh,AI40,AI40,Apar Ind,/electric-equipment/aparindustries/AI40,12801.0,"11 May, 2026|15:58"
52WeekHigh,AHE,AHE,Apollo Hospital,/hospitals-medical-services/apollohospitalsenterprises/AHE,8046.0,"11 May, 2026|15:54"
52WeekHigh,AAL05,AAL05,Apsis Aerocom,/engineering-industrial-equipments/apsisaerocom/AAL05,300.95,"11 May, 2026|15:50"
52WeekHigh,ALF,AFS04,Arman Financial,/finance-leasing-hire-purchase/armanfinancialservices/AFS04,1775.0,"11 May, 2026|15:53"
52WeekHigh,AHW,AHW,Asian Hotel (W),/hotels/asianhotelswest/AHW,484.55,"11 May, 2026|15:44"
52WeekHigh,AEL10,AEL09,Ather Energy,/auto-ancillaries-brakes/atherenergy/AEL09,920.0,"11 May, 2026|15:59"
52WeekHigh,AEL12,AEL11,Avana Electrosy,/engineering-industrial-equipments/avanaelectrosystems/AEL11,140.0,"11 May, 2026|15:40"
52WeekHigh,AI57,AI77,AVATAR Ind,/auto-ancillaries-sheet-metals/avatarindustries/AI77,130.15,"11 May, 2026|15:31"
52WeekHigh,ITT01,AXI,Axiscades Tech,/aerospace-defence/axiscadestechnologies/AXI,2203.2,"11 May, 2026|15:59"
52WeekHigh,AFL04,AFL04,Aye Finance,/finance-nbfc/ayefinance/AFL04,151.16,"11 May, 2026|15:58"
52WeekHigh,BC14,BC02,Bajaj Consumer ,/personal-care/bajajconsumercare/BC02,545.05,"11 May, 2026|15:59"
52WeekHigh,BM01,BI23,Bhagyanagar Ind,/cables-telephone/bhagyanagarindia/BI23,320.0,"11 May, 2026|15:55"
52WeekHigh,BWR01,BWR01,Bharat Wire Rop,/steel-medium-small/bharatwireropes/BWR01,249.99,"11 May, 2026|15:55"
52WeekHigh,TT03,AGC,BLACK BOX,/computers-software/blackbox/AGC,759.7,"11 May, 2026|15:56"
52WeekHigh,BIL04,BIL05,Bonlon Industri,/metals-non-ferrous/bonlonindustries/BIL05,55.51,"11 May, 2026|15:47"
52WeekHigh,CS15,CS15,California Soft,/computers-software-medium-small/californiasoftware/CS15,25.25,"11 May, 2026|15:59"
52WeekHigh,CU,CU,Carborundum,/abrasives/carborundumuniversal/CU,1020.0,"11 May, 2026|15:52"
52WeekHigh,CG,CG,CG Power ,/electric-equipment/cgpowerindustrialsolutions/CG,875.0,"11 May, 2026|15:59"
52WeekHigh,CMEESL,CMEESL,Clean Max Envir,/renewables/cleanmaxenviroenergysolutions/CMEESL,1185.0,"11 May, 2026|15:58"
52WeekHigh,CCL06,CCL04,Connplex Cinema,/film-production-distribution-entertainment/connplexcinemas/CCL04,303.0,"11 May, 2026|15:54"
52WeekHigh,CRL02,CRL02,Corona Remedies,//coronaremedies/CRL02,1700.0,"11 May, 2026|15:48"
52WeekHigh,DDEL,DDEL,DEE Development,/iron-steel/deedevelopmentengineers/DDEL,469.2,"11 May, 2026|15:59"
52WeekHigh,DHJ,DHJ,Divine Hira Jew,/diamond--jewellery/divinehirajewellers/DHJ,317.0,"11 May, 2026|15:31"
52WeekHigh,DPEL,DPEL,Divine Power,/metals-non-ferrous/divinepowerenergy/DPEL,525.05,"11 May, 2026|15:31"
52WeekHigh,DSS01,DSS01,Dynacons Sys,/computers-software-medium-small/dynaconssystemssolutions/DSS01,1311.0,"11 May, 2026|15:57"
52WeekHigh,GRC02,GRC02,Gayatri Rubbers,/miscellaneous/gayatrirubberschemicals/GRC02,559.95,"11 May, 2026|15:40"
