Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekLow,ATT,ATT,AGS Transact,/online-services/agstransacttechnologies/ATT,2.05,"13 Aug, 2026|15:58"
52WeekLow,ATL07,ATL06,Alpine Texworld,/textiles/alpinetexworld/ATL06,61.62,"13 Aug, 2026|15:57"
52WeekLow,SC10,APC,Anjani Portland,/cement/anjaniportlandcement/APC,101.1,"13 Aug, 2026|15:50"
52WeekLow,AEL05,AEL04,Aprameya Engine,/hospital-healthcare-services/aprameyaengineering/AEL04,135.0,"13 Aug, 2026|15:52"
52WeekLow,APSIL,APSIL,APS India,/power-generation-distribution/australianpremiumsolarindia/APSIL,244.7,"13 Aug, 2026|15:31"
52WeekLow,SAB,SAB,Aqylon Nexus,/media-entertainment/aqylonnexus/SAB,23.99,"13 Aug, 2026|15:59"
52WeekLow,AIIL,AIIL,ARC Insulation,/engineering-industrial-equipments/arcinsulationinsulators/AIIL,35.15,"13 Aug, 2026|15:31"
52WeekLow,AIL11,AIL11,Ardee Industrie,/metals-non-ferrous/ardeeindustries/AIL11,67.12,"13 Aug, 2026|16:00"
52WeekLow,AT09,AT09,BN AGROCHEM,/vegetable-oils-products/bnagrochem/AT09,255.0,"13 Aug, 2026|15:50"
52WeekLow,BCL09,BCL09,Brand Concepts,/glass-glass-products/brandconcepts/BCL09,170.0,"13 Aug, 2026|15:51"
52WeekLow,BC13,BC13,Burnpur Cement,/cement-major/burnpurcement/BC13,19.28,"13 Aug, 2026|15:59"
52WeekLow,CTL03,CTL03,Cedaar Textile,/textile-spinning/cedaartextile/CTL03,15.35,"13 Aug, 2026|15:31"
52WeekLow,CIT,CIT,Cerebra Int,/computers-hardware/cerebraintegratedtechnologies/CIT,2.6,"13 Aug, 2026|15:59"
52WeekLow,CB08,CB05,CSB Bank,/banks-private-sector/csbbank/CB05,319.2,"13 Aug, 2026|15:55"
52WeekLow,DSC01,DSC01,Davangere Sugar,/sugar/davangeresugarcompany/DSC01,3.12,"13 Aug, 2026|15:58"
52WeekLow,DCS01,DCS01,Dhruv Consultan,/construction-contracting-real-estate/dhruvconsultancyservices/DCS01,23.45,"13 Aug, 2026|15:50"
52WeekLow,FS02,FS02,Frontier Spring,/auto-ancillaries/frontiersprings/FS02,1256.1,"13 Aug, 2026|16:00"
52WeekLow,GE08,GE07,Gensol Eng,/engineering-industrial-equipments/gensolengineering/GE07,16.72,"13 Aug, 2026|15:51"
52WeekLow,GCP,GCP,Godrej Consumer,/personal-care/godrejconsumerproducts/GCP,911.4,"13 Aug, 2026|15:59"
52WeekLow,GL03,GL04,Graphisads,/diversified/graphisads/GL04,27.5,"13 Aug, 2026|15:50"
52WeekLow,GFL01,GFL01,GSM Foils,/aluminium-aluminium-products/gsmfoils/GFL01,102.8,"13 Aug, 2026|15:57"
52WeekLow,HDI,HDI,HDIL,/construction-contracting-real-estate/housingdevelopmentinfrastructure/HDI,1.5,"13 Aug, 2026|15:50"
52WeekLow,ITS,ITS,Indo Thai Secu,/finance-general/indothaisecurities/ITS,81.13,"13 Aug, 2026|15:59"
52WeekLow,IUB,IUB,Indo US Bio-Tec,/miscellaneous/indousbio-tech/IUB,80.5,"13 Aug, 2026|15:50"
52WeekLow,IRS01,IRS02,Infollion,/diversified/infollionresearchservices/IRS02,153.0,"13 Aug, 2026|15:51"
52WeekLow,II23,II14,Ishan Intl.,/engineering-industrial-equipments/ishaninternational/II14,0.45,"13 Aug, 2026|15:58"
52WeekLow,JIS02,JIS02,Jain Irrigation,/plastics/jainirrigationsystems/JIS02,27.07,"13 Aug, 2026|15:57"
52WeekLow,JKC,JKL01,JK Lakshmi Cem,/cement-major/jklakshmicement/JKL01,547.2,"13 Aug, 2026|15:59"
