MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,13.51,13.5,0.01,0.07,547253456,13.67,13.88,13.46
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.57,9.8,-0.23,-2.35,100543408,9.77,9.77,9.51
,MOTISONS,MOTISONS,MOTISONS,14.57,13.6,0.97,7.13,72628410,14.0,14.74,13.92
,EASEMYTRIP,EASEMYTRIP,EASEMYTRIP,6.2,6.47,-0.27,-4.17,72181065,6.47,6.5,6.15
,TATAGOLD,TATAGOLD,TATAGOLD,14.76,14.85,-0.09,-0.61,59200423,14.85,15.0,14.68
,TATSILV,TATSILV,TATSILV,22.46,22.91,-0.45,-1.96,58517721,23.37,23.37,22.33
,MOREPENLAB,MOREPENLAB,MOREPENLAB,81.6,73.46,8.14,11.08,51803828,73.75,81.87,73.53
,RHETAN,RHETAN,RHETAN,21.0,26.17,-5.17,-19.76,51601319,29.0,29.0,20.98
,JIOFIN,JIOFIN,JIOFIN,255.6,256.05,-0.45,-0.18,48657061,261.95,263.4,254.0
,CUPID,CUPID,CUPID,294.98,289.87,5.11,1.76,46358975,291.25,295.0,281.11
,MUNJALAU,MUNJALAU,MUNJALAU,119.79,99.83,19.96,19.99,41518431,112.0,119.79,107.73
,IFCI,IFCI,IFCI,76.52,73.51,3.01,4.09,40726842,73.68,78.15,73.36
,YESBANK,YESBANK,YESBANK,22.98,22.98,0.0,0.0,37644646,22.97,23.04,22.81
,VISL,VISL,VISL,38.72,39.08,-0.36,-0.92,36097225,39.08,40.24,37.87
,DHARAN,DHARAN,DHARAN,0.16,0.15,0.01,6.67,0,0.16,0.16,0.15
,URBANCO,URBANCO,URBANCO,140.66,139.05,1.61,1.16,32441709,141.99,146.0,138.53
,ALLCARGO,ALLCARGO,ALLCARGO,9.99,10.62,-0.63,-5.93,32276945,10.52,10.59,9.91
,LENSKART,LENSKART,LENSKART,596.0,586.45,9.55,1.63,32172239,605.0,626.95,592.4
,KWIL,KWIL,KWIL,36.87,36.4,0.47,1.29,30319450,36.58,37.6,36.04
,VOGL,VOGL,VOGL,37.9,38.4,-0.5,-1.3,29815420,38.4,38.91,37.7
