Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekHigh,APL07,APL07,Accretion Pharm,/pharmaceuticals-drugs/accretionpharmaceuticals/APL07,119.2,"13 May, 2026|15:44"
52WeekHigh,AO05,AO05,Acutaas Chem,/speciality-chemicals/acutaaschemicals/AO05,2749.9,"13 May, 2026|15:58"
52WeekHigh,AHW,AHW,Asian Hotel (W),/hotels/asianhotelswest/AHW,534.15,"13 May, 2026|15:44"
52WeekHigh,AEL11,AEL10,Atlanta Electri,/electric-equipment-transformers/atlantaelectricals/AEL10,1850.0,"13 May, 2026|15:59"
52WeekHigh,AI57,AI77,AVATAR Ind,/auto-ancillaries-sheet-metals/avatarindustries/AI77,127.3,"13 May, 2026|15:48"
52WeekHigh,BSR02,BSR03,Baazar Style,/trading/baazarstyleretail/BSR03,393.05,"13 May, 2026|15:59"
52WeekHigh,BM01,BI23,Bhagyanagar Ind,/cables-telephone/bhagyanagarindia/BI23,323.45,"13 May, 2026|15:49"
52WeekHigh,BCP01,BGV,Bliss GVS,/pharmaceuticals/blissgvspharma/BGV,274.95,"13 May, 2026|15:53"
52WeekHigh,CS15,CS15,California Soft,/computers-software-medium-small/californiasoftware/CS15,27.83,"13 May, 2026|15:55"
52WeekHigh,CU,CU,Carborundum,/abrasives/carborundumuniversal/CU,1008.0,"13 May, 2026|15:58"
52WeekHigh,CMPDIL,CMPDIL,Central Mine,/misc-commercial-services/centralmineplanningdesigninstitute/CMPDIL,236.8,"13 May, 2026|15:59"
52WeekHigh,CMEESL,CMEESL,Clean Max Envir,/renewables/cleanmaxenviroenergysolutions/CMEESL,1205.0,"13 May, 2026|15:51"
52WeekHigh,DPEL,DPEL,Divine Power,/metals-non-ferrous/divinepowerenergy/DPEL,530.0,"13 May, 2026|15:40"
52WeekHigh,GRC02,GRC02,Gayatri Rubbers,/miscellaneous/gayatrirubberschemicals/GRC02,560.0,"13 May, 2026|15:31"
