Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,ITC,ITC,Stock,Bearish,298.65,-26.10,"26 Dec, 2025",404.15,Apr 13 | 16:00
NIFTY 50,C,Cipla,Stock,Very Bearish,"1,211.10",-17.49,"07 Jan, 2026","1,467.90",Apr 13 | 16:00
NIFTY 50,MHI,Max Healthcare,Stock,Very Bearish,951.70,-8.67,"06 Mar, 2026","1,042.00",Apr 13 | 16:00
NIFTY 50,RI,Reliance,Stock,Very Bearish,"1,315.10",-7.36,"13 Feb, 2026","1,419.60",Apr 13 | 16:00
NIFTY 50,SPI,Sun Pharma,Stock,Very Bearish,"1,652.20",-5.98,"30 Mar, 2026","1,757.20",Apr 13 | 16:00
NIFTY 50,GI01,Grasim,Stock,Bearish,"2,713.00",-3.10,"27 Feb, 2026","2,799.80",Apr 13 | 16:00
NIFTY 50,DRL,Dr Reddys Labs,Stock,Very Bearish,"1,235.90",-1.51,"30 Mar, 2026","1,254.90",Apr 13 | 16:00
NIFTY 50,IT,Infosys,Stock,Very Bearish,"1,276.80",-1.21,"10 Apr, 2026","1,292.50",Apr 13 | 16:00
NIFTY 50,TCS,TCS,Stock,Bearish,"2,472.60",0.00,"13 Apr, 2026","2,472.60",Apr 13 | 16:00
NIFTY 50,CI29,Coal India,Stock,Bearish,435.10,0.23,"10 Apr, 2026",434.10,Apr 13 | 16:00
NIFTY MIDCAP100,IEI01,Info Edge,Stock,Bearish,994.65,-25.49,"30 Dec, 2025","1,335.00",Apr 13 | 16:00
NIFTY MIDCAP100,SL23,Swiggy,Stock,Very Bearish,264.20,-20.89,"18 Feb, 2026",333.95,Apr 13 | 16:00
NIFTY MIDCAP100,HPC,HINDPETRO,Stock,Bearish,349.40,-19.56,"19 Feb, 2026",434.35,Apr 13 | 16:00
NIFTY MIDCAP100,MMF04,M&M Financial,Stock,Very Bearish,296.85,-18.89,"02 Mar, 2026",366.00,Apr 13 | 15:59
NIFTY MIDCAP100,DI,Dabur India,Stock,Very Bearish,424.75,-16.32,"02 Mar, 2026",507.60,Apr 13 | 16:00
NIFTY MIDCAP100,JF04,Jubilant Food,Stock,Very Bearish,437.90,-15.61,"24 Feb, 2026",518.90,Apr 13 | 15:59
NIFTY MIDCAP100,SRF,SRF,Stock,Very Bearish,"2,443.20",-14.02,"12 Feb, 2026","2,841.50",Apr 13 | 16:00
NIFTY MIDCAP100,SCP03,SBI Card,Stock,Bearish,671.05,-13.46,"26 Feb, 2026",775.40,Apr 13 | 15:58
NIFTY MIDCAP100,RSI,Patanjali Foods,Stock,Very Bearish,460.10,-11.31,"25 Feb, 2026",518.75,Apr 13 | 15:59
NIFTY MIDCAP100,BL03,Biocon,Stock,Very Bearish,345.00,-8.50,"16 Mar, 2026",377.05,Apr 13 | 16:00
NIFTY MIDCAP100,PF15,PB Fintech,Stock,Very Bearish,"1,453.00",0.00,"13 Apr, 2026","1,453.00",Apr 13 | 15:59
NIFTY NEXT 50,HMI01,Hyundai Motor,Stock,Very Bearish,"1,746.20",-19.15,"24 Feb, 2026","2,159.90",Apr 13 | 16:00
NIFTY NEXT 50,BPC,BPCL,Stock,Bearish,292.95,-17.80,"04 Mar, 2026",356.40,Apr 13 | 16:00
NIFTY NEXT 50,IOC,IOC,Stock,Bearish,141.08,-12.49,"09 Mar, 2026",161.22,Apr 13 | 16:00
