Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,NTP,NTPC,Stock,Very Bearish,340.00,-12.12,"29 May, 2026",386.90,Aug 14 | 15:59
NIFTY 50,CI29,Coal India,Stock,Very Bearish,407.10,-9.73,"10 Jun, 2026",451.00,Aug 14 | 15:59
NIFTY 50,HSL01,HDFC Life,Stock,Very Bearish,535.85,-8.13,"29 Jun, 2026",583.25,Aug 14 | 15:58
NIFTY 50,HDF01,HDFC Bank,Stock,Very Bearish,727.00,-6.51,"20 Jul, 2026",777.60,Aug 14 | 15:59
NIFTY 50,UTI10,Axis Bank,Stock,Very Bearish,"1,217.40",-6.18,"09 Jul, 2026","1,297.60",Aug 14 | 15:57
NIFTY 50,PGC,Power Grid Corp,Stock,Very Bearish,266.05,-6.12,"04 Aug, 2026",283.40,Aug 14 | 15:59
NIFTY 50,MHI,Max Healthcare,Stock,Very Bearish,"1,008.60",-5.74,"07 Aug, 2026","1,070.00",Aug 14 | 15:59
NIFTY 50,MPS,Adani Ports,Stock,Bearish,"1,700.00",-4.41,"23 Jul, 2026","1,778.50",Aug 14 | 15:59
NIFTY 50,HL,HUL,Stock,Very Bearish,"2,077.00",-2.75,"08 Jul, 2026","2,135.80",Aug 14 | 15:59
NIFTY 50,SLI03,SBI Life Insura,Stock,Very Bearish,"1,795.00",-2.32,"11 Aug, 2026","1,837.60",Aug 14 | 15:59
NIFTY 50,ITC,ITC,Stock,Very Bearish,278.20,-1.57,"10 Aug, 2026",282.65,Aug 14 | 15:59
NIFTY 50,TIS,Tata Steel,Stock,Very Bearish,183.50,-1.45,"12 Aug, 2026",186.20,Aug 14 | 15:59
NIFTY 50,ONG,ONGC,Stock,Very Bearish,236.40,-0.91,"27 Jul, 2026",238.56,Aug 14 | 15:59
NIFTY 50,UTC,UltraTechCement,Stock,Bearish,"11,619.00",-0.74,"13 Aug, 2026","11,706.00",Aug 14 | 15:57
NIFTY 50,TEL,TMPV,Stock,Very Bearish,334.50,0.00,"14 Aug, 2026",334.50,Aug 14 | 15:59
NIFTY 50,TT,TATA Cons. Prod,Stock,Very Bearish,"1,079.50",0.14,"11 Aug, 2026","1,078.00",Aug 14 | 15:59
NIFTY BANK,YB,Yes Bank,Stock,Very Bearish,22.67,-1.13,"20 Jul, 2026",22.93,Aug 14 | 15:59
NIFTY MIDCAP100,RSI,Patanjali Foods,Stock,Bearish,352.00,-22.59,"27 May, 2026",454.75,Aug 14 | 15:59
NIFTY MIDCAP100,SE17,Suzlon Energy,Stock,Very Bearish,47.10,-13.39,"07 Jul, 2026",54.38,Aug 14 | 15:59
NIFTY MIDCAP100,WEL01,Waaree Energies,Stock,Very Bearish,"2,682.00",-11.60,"23 Jun, 2026","3,033.80",Aug 14 | 15:57
NIFTY MIDCAP100,B03,BSE Limited,Stock,Very Bearish,"3,447.00",-10.98,"25 Jun, 2026","3,872.10",Aug 14 | 15:59
