Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,AE01,Adani Enterpris,Stock,Very Bullish,"2,942.50",41.01,"10 Apr, 2026","2,086.80",Jun 15 | 15:57
NIFTY 50,MPS,Adani Ports,Stock,Very Bullish,"1,804.80",24.19,"08 Apr, 2026","1,453.30",Jun 15 | 15:59
NIFTY 50,API,Asian Paints,Stock,Very Bullish,"2,739.30",16.04,"10 Apr, 2026","2,360.70",Jun 15 | 15:57
NIFTY 50,GI01,Grasim,Stock,Very Bullish,"3,164.50",14.65,"20 Apr, 2026","2,760.10",Jun 15 | 15:59
NIFTY 50,AHE,Apollo Hospital,Stock,Very Bullish,"8,468.50",13.19,"09 Apr, 2026","7,481.50",Jun 15 | 15:58
NIFTY 50,TEL,TMPV,Stock,Very Bullish,396.40,11.18,"15 May, 2026",356.55,Jun 15 | 15:59
NIFTY 50,JVS,JSW Steel,Stock,Very Bullish,"1,296.50",8.56,"08 Apr, 2026","1,194.30",Jun 15 | 15:54
NIFTY 50,IA05,Interglobe Avi,Stock,Bullish,"4,880.40",7.55,"09 Jun, 2026","4,537.60",Jun 15 | 15:58
NIFTY 50,UTI10,Axis Bank,Stock,Very Bullish,"1,368.30",5.87,"09 Jun, 2026","1,292.40",Jun 15 | 15:59
NIFTY 50,EM,Eicher Motors,Stock,Very Bullish,"7,624.50",5.85,"09 Jun, 2026","7,203.00",Jun 15 | 15:58
NIFTY 50,KMF,Kotak Mahindra,Stock,Bullish,405.75,4.55,"10 Jun, 2026",388.10,Jun 15 | 15:59
NIFTY 50,SBI,SBI,Stock,Bullish,"1,020.85",3.96,"08 Jun, 2026",981.95,Jun 15 | 15:59
NIFTY 50,MU01,Maruti Suzuki,Stock,Bullish,"13,805.00",3.28,"12 Jun, 2026","13,366.00",Jun 15 | 15:59
NIFTY 50,LT,Larsen,Stock,Very Bullish,"4,169.80",2.98,"12 Jun, 2026","4,049.30",Jun 15 | 15:59
NIFTY 50,ICI02,ICICI Bank,Stock,Very Bullish,"1,327.60",2.65,"10 Jun, 2026","1,293.30",Jun 15 | 15:59
NIFTY 50,MM,M&M,Stock,Bullish,"3,134.30",0.00,"15 Jun, 2026","3,134.30",Jun 15 | 15:58
NIFTY 50,STF,Shriram Finance,Stock,Bullish,"1,000.65",0.00,"15 Jun, 2026","1,000.65",Jun 15 | 15:59
NIFTY 50,BAF,Bajaj Finance,Stock,Bullish,942.30,0.00,"15 Jun, 2026",942.30,Jun 15 | 15:59
NIFTY 50,L,Trent,Stock,Very Bullish,"2,901.10",0.00,"15 Jun, 2026","2,901.10",Jun 15 | 15:59
NIFTY 50,MHI,Max Healthcare,Stock,Bullish,"1,028.90",0.00,"15 Jun, 2026","1,028.90",Jun 15 | 15:59
NIFTY 50,TI01,Titan Company,Stock,Very Bullish,"4,283.50",0.00,"15 Jun, 2026","4,283.50",Jun 15 | 15:59
NIFTY 50,HDF01,HDFC Bank,Stock,Bullish,777.35,0.00,"15 Jun, 2026",777.35,Jun 15 | 15:59
NIFTY BANK,YB,Yes Bank,Stock,Very Bullish,23.78,19.20,"16 Apr, 2026",19.95,Jun 15 | 15:59
NIFTY BANK,IDF01,IDFC First Bank,Stock,Bullish,78.33,12.77,"25 May, 2026",69.46,Jun 15 | 15:59
NIFTY BANK,IIB,IndusInd Bank,Stock,Very Bullish,933.20,11.08,"15 Apr, 2026",840.10,Jun 15 | 15:59
NIFTY BANK,FB,Federal Bank,Stock,Very Bullish,317.10,9.38,"20 May, 2026",289.90,Jun 15 | 15:57
NIFTY BANK,UBI01,Union Bank,Stock,Bullish,171.30,2.76,"03 Jun, 2026",166.70,Jun 15 | 15:59
NIFTY BANK,ASF03,AU Small Financ,Stock,Very Bullish,"1,033.60",1.78,"12 Jun, 2026","1,015.50",Jun 15 | 15:57
