MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
W,W,Wipro,205.0,206.45,202.5,204.32,210.26,-5.94,-2.83,80542603
HSL01,HSL01,HDFC Life,618.95,625.0,606.2,616.45,631.5,-15.05,-2.38,8161002
SPI,SPI,Sun Pharma,1696.9,1696.9,1670.5,1675.5,1693.1,-17.60,-1.04,3146482
MM,MM,M&M,3210.0,3242.5,3185.0,3200.2,3222.3,-22.10,-0.69,2180404
LT,LT,Larsen,4134.0,4142.9,4072.8,4096.1,4119.8,-23.70,-0.58,2796673
HCL02,HCL02,HCL Tech,1443.3,1458.0,1430.0,1442.3,1450.2,-7.90,-0.54,3319268
BA06,BA10,Bajaj Auto,9810.0,9830.0,9722.0,9773.5,9825.0,-51.50,-0.52,264575
SLI03,SLI03,SBI Life Insura,1967.0,1975.8,1954.9,1970.9,1974.7,-3.80,-0.19,533713
H,HI,Hindalco,1036.5,1040.75,1025.0,1039.0,1039.9,-0.90,-0.09,4301884
IT,IT,Infosys,1313.0,1328.3,1306.1,1318.7,1319.2,-0.50,-0.04,12064048
Z01,Z,Eternal,253.0,254.87,249.64,252.61,252.7,-0.09,-0.04,35893335
