MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,IDEA,IDEA,IDEA,9.61,9.53,0.08,0.84,383484709,9.51,9.68,9.48
,OLAELEC,OLAELEC,OLAELEC,40.85,38.68,2.17,5.61,351314724,38.87,42.0,38.58
,SUZLON,SUZLON,SUZLON,53.35,50.25,3.1,6.17,337159969,50.79,53.74,50.57
,JPPOWER,JPPOWER,JPPOWER,19.19,19.61,-0.42,-2.14,198776348,19.87,20.32,19.08
,YESBANK,YESBANK,YESBANK,20.41,19.95,0.46,2.31,130228329,20.07,20.44,19.82
,SCI,SCI,SCI,306.0,288.93,17.07,5.91,99845323,292.29,322.8,292.0
,MMTC,MMTC,MMTC,68.5,61.91,6.59,10.64,97336372,62.18,71.64,62.0
,ADANIPOWER,ADANIPOWER,ADANIPOWER,197.95,193.19,4.76,2.46,95051761,196.45,200.0,190.66
,ANGELONE,ANGELONE,ANGELONE,322.6,292.61,29.99,10.25,80869288,302.0,324.4,297.51
,WIPRO,WIPRO,WIPRO,204.3,210.26,-5.96,-2.83,80542603,205.0,206.45,202.5
,GTLINFRA,GTLINFRA,GTLINFRA,1.27,1.24,0.03,2.42,78511479,1.25,1.3,1.24
,FILATFASH,FILATFASH,FILATFASH,0.25,0.24,0.01,4.17,0,0.25,0.25,0.24
,RPOWER,RPOWER,RPOWER,28.58,28.89,-0.31,-1.07,74212246,28.89,29.48,28.5
,GROWW,GROWW,GROWW,199.35,202.99,-3.64,-1.79,67873358,205.0,208.8,197.0
,PCJEWELLER,PCJEWELLER,PCJEWELLER,9.59,9.53,0.06,0.63,66178978,9.58,9.8,9.52
,TATAGOLD,TATAGOLD,TATAGOLD,14.65,14.74,-0.09,-0.61,62700400,14.72,14.72,14.53
,TATSILV,TATSILV,TATSILV,24.17,24.16,0.01,0.04,61680309,23.99,24.2,23.54
,HFCL,HFCL,HFCL,95.9,91.48,4.42,4.83,57350410,91.5,96.2,91.02
,LIQUIDCASE,LIQUIDCASE,LIQUIDCASE,113.68,113.63,0.05,0.04,56619677,113.68,113.68,113.66
,APOLLO,APOLLO,APOLLO,283.7,242.17,41.53,17.15,53344279,244.45,287.0,243.4
