Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,AE01,Adani Enterpris,Stock,Very Bullish,"3,160.70",51.46,"10 Apr, 2026","2,086.80",Jul 17 | 15:59
NIFTY 50,MPS,Adani Ports,Stock,Very Bullish,"1,837.40",26.43,"08 Apr, 2026","1,453.30",Jul 17 | 16:00
NIFTY 50,AHE,Apollo Hospital,Stock,Very Bullish,"8,826.00",17.97,"09 Apr, 2026","7,481.50",Jul 17 | 15:58
NIFTY 50,IA05,Interglobe Avi,Stock,Bullish,"5,248.50",15.67,"09 Jun, 2026","4,537.60",Jul 17 | 15:58
NIFTY 50,Z01,Eternal,Stock,Very Bullish,286.60,13.01,"16 Jun, 2026",253.60,Jul 17 | 15:59
NIFTY 50,BAF,Bajaj Finance,Stock,Very Bullish,"1,056.30",12.10,"15 Jun, 2026",942.30,Jul 17 | 16:00
NIFTY 50,ICI02,ICICI Bank,Stock,Very Bullish,"1,444.30",11.68,"10 Jun, 2026","1,293.30",Jul 17 | 16:00
NIFTY 50,TI01,Titan Company,Stock,Very Bullish,"4,638.10",8.28,"15 Jun, 2026","4,283.50",Jul 17 | 15:59
NIFTY 50,SPI,Sun Pharma,Stock,Very Bullish,"1,932.60",6.16,"17 Jun, 2026","1,820.40",Jul 17 | 15:54
NIFTY 50,HDF01,HDFC Bank,Stock,Very Bullish,819.60,5.44,"15 Jun, 2026",777.35,Jul 17 | 16:00
NIFTY 50,TM4,Tech Mahindra,Stock,Bullish,"1,572.90",4.55,"13 Jul, 2026","1,504.50",Jul 17 | 16:00
NIFTY 50,BA06,Bajaj Auto,Stock,Very Bullish,"10,443.00",4.05,"06 Jul, 2026","10,036.50",Jul 17 | 15:59
NIFTY 50,BF04,Bajaj Finserv,Stock,Bullish,"1,854.00",4.03,"22 Jun, 2026","1,782.20",Jul 17 | 15:58
NIFTY 50,STF,Shriram Finance,Stock,Bullish,"1,034.90",3.42,"15 Jun, 2026","1,000.65",Jul 17 | 16:00
NIFTY 50,TCS,TCS,Stock,Bullish,"2,269.00",3.11,"14 Jul, 2026","2,200.60",Jul 17 | 16:00
NIFTY 50,EM,Eicher Motors,Stock,Very Bullish,"7,563.50",2.15,"15 Jul, 2026","7,404.50",Jul 17 | 15:58
NIFTY 50,BTV,Bharti Airtel,Stock,Bullish,"1,908.80",1.80,"02 Jul, 2026","1,875.00",Jul 17 | 15:59
NIFTY 50,UTC,UltraTechCement,Stock,Very Bullish,"11,727.00",1.76,"09 Jul, 2026","11,524.00",Jul 17 | 15:57
NIFTY 50,MM,M&M,Stock,Very Bullish,"3,179.20",0.00,"17 Jul, 2026","3,179.20",Jul 17 | 15:59
NIFTY 50,JFS,Jio Financial,Stock,Very Bullish,242.98,0.00,"17 Jul, 2026",242.98,Jul 17 | 16:00
NIFTY 50,API,Asian Paints,Stock,Very Bullish,"2,689.00",0.00,"17 Jul, 2026","2,689.00",Jul 17 | 15:58
NIFTY 50,SBI,SBI,Stock,Very Bullish,"1,044.30",0.00,"17 Jul, 2026","1,044.30",Jul 17 | 15:59
NIFTY 50,HCL02,HCL Tech,Stock,Bullish,"1,203.90",-1.42,"13 Jul, 2026","1,221.20",Jul 17 | 16:00
