pattern_id,userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,p_status,is_closed,is_deleted,end_date,updated_at,created_at,meta_data,analyst_name,analyst_image,updated_at_epoch,created_at_epoch,chartType,displayLock,scanproflg
1674,21,index,NIFTY BANK,nse,Falling Trendline,Bullish Reversal,1 hour,in;nbx,Closed,Y,0,1970-01-01,2026-07-17 14:22:20,2026-07-17 10:35:50,"{""chart_type"":""mc_pro_plus"",""sc_name"":""NIFTY BANK"",""sc_symbol"":""23"",""sc_scripcode"":""23"",""instrument_type_code"":""index"",""entry_condition"":""equals"",""entry_price"":""58135.15"",""pattern_type"":""buy"",""cmp"":""58333.95"",""price_key"":""indices_i_in;nbx"",""target_price"":null,""target_return_prcnt"":""0.75"",""stoploss_price"":null,""stoploss_prcnt"":""0.36"",""ind_id"":""23"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178426474944.png""},""rationale"":""A falling trendline breakout. Where the price has broken above the trendline resistance."",""action_type"":""add"",""created_at"":""2026-07-17 10:35:50"",""updated_at"":""2026-07-17 10:35:50""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178427833967.png""},""rationale"":""255 points."",""action_type"":""close"",""created_at"":""2026-07-17 14:22:20"",""updated_at"":""2026-07-17 14:22:20""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1784278340,1784264750,mc_pro_plus,N,3
1650,21,equity,Bharat Heavy Electricals,nse,Horizontal Channel,Reversal From Support,4 hours,BHE,Closed,Y,0,1970-01-01,2026-07-17 10:40:18,2026-07-10 15:28:40,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Bharat Heavy Electricals"",""sc_symbol"":""BHEL"",""sc_scripcode"":""500103"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""394.80"",""pattern_type"":""buy"",""cmp"":""439.80"",""price_key"":""stk_BHE_N"",""target_price"":null,""target_return_prcnt"":""6.38"",""stoploss_price"":null,""stoploss_prcnt"":""4.00"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178367751935.png""},""rationale"":""A horizontal channel reflects a period of range-bound trading. The rebound from channel support suggests buyers are defending the lower boundary, increasing the likelihood of a bullish reversal."",""action_type"":""add"",""created_at"":""2026-07-10 15:28:40"",""updated_at"":""2026-07-10 15:28:40""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178426501789.png""},""rationale"":""11.45% up"",""action_type"":""close"",""created_at"":""2026-07-17 10:40:18"",""updated_at"":""2026-07-17 10:40:18""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1784265018,1783677520,mc_pro_plus,N,3
1632,21,equity,Exide Industries,nse,Horizontal Trendline,Bullish Breakout,2 hours,EI,Closed,Y,0,1970-01-01,2026-07-17 10:29:42,2026-07-02 10:27:24,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Exide Industries"",""sc_symbol"":""EXIDEIND"",""sc_scripcode"":""500086"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""416.60"",""pattern_type"":""buy"",""cmp"":""435.45"",""price_key"":""stk_EI_N"",""target_price"":null,""target_return_prcnt"":""5.62"",""stoploss_price"":null,""stoploss_prcnt"":""3.26"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178296824399.png""},""rationale"":""A horizontal trendline highlights a key resistance level were selling repeatedly emerged. The breakout above this zone indicates buyers have gained control, confirming renewed bullish strength."",""action_type"":""add"",""created_at"":""2026-07-02 10:27:24"",""updated_at"":""2026-07-02 10:27:24""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178426438054.png""},""rationale"":""5% up."",""action_type"":""close"",""created_at"":""2026-07-17 10:29:42"",""updated_at"":""2026-07-17 10:29:42""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1784264382,1782968244,mc_pro_plus,N,3
1662,21,equity,Indian Energy Exchange,nse,Double Bottom,Probable Double Bottom,30 mins,IEE,Closed,Y,0,1970-01-01,2026-07-16 14:39:35,2026-07-15 09:53:20,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Indian Energy Exchange"",""sc_symbol"":""IEX"",""sc_scripcode"":""540750"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""119.82"",""pattern_type"":""buy"",""cmp"":""124.50"",""price_key"":""stk_IEE_N"",""target_price"":null,""target_return_prcnt"":""3.49"",""stoploss_price"":null,""stoploss_prcnt"":""2.35"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178408939941.png""},""rationale"":""A potential double bottom is forming after a sustained decline, indicating selling pressure may be fading. A breakout above the neckline would confirm a bullish reversal."",""action_type"":""add"",""created_at"":""2026-07-15 09:53:20"",""updated_at"":""2026-07-15 09:53:20""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178419297334.png""},""rationale"":""3.15% up"",""action_type"":""close"",""created_at"":""2026-07-16 14:39:35"",""updated_at"":""2026-07-16 14:39:35""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1784192975,1784089400,mc_pro_plus,N,3
1664,21,equity,ABB India,nse,Symmetrical Triangle,Bullish Reversal,2 hours,ABB,Closed,Y,0,1970-01-01,2026-07-16 11:05:18,2026-07-15 10:56:06,"{""chart_type"":""mc_pro_plus"",""sc_name"":""ABB India"",""sc_symbol"":""ABB"",""sc_scripcode"":""500002"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""7055.00"",""pattern_type"":""buy"",""cmp"":""7775.50"",""price_key"":""stk_ABB_N"",""target_price"":null,""target_return_prcnt"":""4.05"",""stoploss_price"":null,""stoploss_prcnt"":""2.07"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178409316546.png""},""rationale"":""A symmetrical triangle reflects price consolidation. The breakout above resistance confirms buyers have regained control, signalling a bullish reversal."",""action_type"":""add"",""created_at"":""2026-07-15 10:56:06"",""updated_at"":""2026-07-15 10:56:06""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178418011716.png""},""rationale"":""6.26% up"",""action_type"":""close"",""created_at"":""2026-07-16 11:05:18"",""updated_at"":""2026-07-16 11:05:18""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1784180118,1784093166,mc_pro_plus,N,3
1653,21,index,Nifty Cons Durbl,nse,Horizontal Channel,Bullish Breakout,1 day,mc;condur,Closed,Y,0,1970-01-01,2026-07-16 09:27:51,2026-07-13 11:41:57,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Nifty Cons Durbl"",""sc_symbol"":""122"",""sc_scripcode"":""122"",""instrument_type_code"":""index"",""entry_condition"":""equals"",""entry_price"":""38573.80"",""pattern_type"":""buy"",""cmp"":""39564.40"",""price_key"":""indices_i_mc;condur"",""target_price"":null,""target_return_prcnt"":""4.92"",""stoploss_price"":null,""stoploss_prcnt"":""2.48"",""ind_id"":""122"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178392311680.png""},""rationale"":""A horizontal resistance level repeatedly rejected price, highlighting strong selling pressure. The decisive breakout above this zone confirms buyers have absorbed supply and regained control."",""action_type"":""add"",""created_at"":""2026-07-13 11:41:57"",""updated_at"":""2026-07-13 11:41:57""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178417427052.png""},""rationale"":""1035 Points up."",""action_type"":""close"",""created_at"":""2026-07-16 09:27:51"",""updated_at"":""2026-07-16 09:27:51""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1784174271,1783923117,mc_pro_plus,N,3
1647,21,equity,HEG,nse,Rectangle Pattern,Breakout Retest,1 hour,HEG,Closed,Y,0,1970-01-01,2026-07-15 12:06:33,2026-07-10 10:36:17,"{""chart_type"":""mc_pro_plus"",""sc_name"":""HEG"",""sc_symbol"":""HEG"",""sc_scripcode"":""509631"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""553.65"",""pattern_type"":""buy"",""cmp"":""581.35"",""price_key"":""stk_HEG_N"",""target_price"":null,""target_return_prcnt"":""7.29"",""stoploss_price"":null,""stoploss_prcnt"":""1.74"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178365997653.png""},""rationale"":""After breaking above resistance, price retested the breakout zone and held, confirming former resistance has turned into support."",""action_type"":""add"",""created_at"":""2026-07-10 10:36:17"",""updated_at"":""2026-07-10 10:36:17""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178409739297.png""},""rationale"":""5% up."",""action_type"":""close"",""created_at"":""2026-07-15 12:06:33"",""updated_at"":""2026-07-15 12:06:33""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1784097393,1783659977,mc_pro_plus,N,3
1635,21,equity,Tech Mahindra,nse,Rising Trendline,Reversal From Support,1 day,TM4,Closed,Y,0,1970-01-01,2026-07-15 11:55:29,2026-07-02 14:15:12,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Tech Mahindra"",""sc_symbol"":""TECHM"",""sc_scripcode"":""532755"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1418.40"",""pattern_type"":""buy"",""cmp"":""1498.80"",""price_key"":""stk_TM4_N"",""target_price"":null,""target_return_prcnt"":""10.69"",""stoploss_price"":null,""stoploss_prcnt"":""5.60"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178298191168.png""},""rationale"":""A rising trendline reflects sustained buying interest through higher lows. The bounce from trendline support shows buyers remain in control and probable bullish reversal."",""action_type"":""add"",""created_at"":""2026-07-02 14:15:12"",""updated_at"":""2026-07-02 14:15:12""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178409672750.png""},""rationale"":""8.20% up."",""action_type"":""close"",""created_at"":""2026-07-15 11:55:29"",""updated_at"":""2026-07-15 11:55:29""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1784096729,1782981912,mc_pro_plus,N,3
1639,21,equity,Ather Energy,nse,Descending Triangle,Bullish Breakout,30 mins,AEL10,Closed,Y,0,1970-01-01,2026-07-09 10:04:51,2026-07-08 09:46:31,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Ather Energy"",""sc_symbol"":""ATHERENERG"",""sc_scripcode"":""544397"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1164.50"",""pattern_type"":""buy"",""cmp"":""1222.50"",""price_key"":""stk_AEL10_N"",""target_price"":null,""target_return_prcnt"":""3.91"",""stoploss_price"":null,""stoploss_prcnt"":""2.53"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178348419033.png""},""rationale"":""After a strong rally, price entered a healthy consolidation within a descending triangle. The breakout above resistance confirms buyers have regained control, resuming the prevailing uptrend."",""action_type"":""add"",""created_at"":""2026-07-08 09:46:31"",""updated_at"":""2026-07-08 09:46:31""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178357169062.png""},""rationale"":""5.55% up."",""action_type"":""close"",""created_at"":""2026-07-09 10:04:51"",""updated_at"":""2026-07-09 10:04:51""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1783571691,1783484191,mc_pro_plus,N,3
1627,21,equity,Eternal,nse,Horizontal Channel,Resistance Breakout,4 hours,Z01,Closed,Y,0,1970-01-01,2026-07-08 13:17:48,2026-07-01 10:26:59,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Eternal"",""sc_symbol"":""ETERNAL"",""sc_scripcode"":""543320"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""270.25"",""pattern_type"":""buy"",""cmp"":""295.20"",""price_key"":""stk_Z01_N"",""target_price"":null,""target_return_prcnt"":""10.27"",""stoploss_price"":null,""stoploss_prcnt"":""6.75"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178288181897.png""},""rationale"":""A horizontal channel forms as price trades within a defined range. The breakout above resistance suggests buyers have absorbed supply and the consolidation phase has resolved to the upside."",""action_type"":""add"",""created_at"":""2026-07-01 10:26:59"",""updated_at"":""2026-07-01 10:26:59""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178349686659.png""},""rationale"":""8.71% up"",""action_type"":""close"",""created_at"":""2026-07-08 13:17:48"",""updated_at"":""2026-07-08 13:17:48""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1783496868,1782881819,mc_pro_plus,N,3
