MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
L,T04,Trent,2905.0,3115.0,2905.0,3102.8,2897.8,205.00,7.07,5645225
BE03,BE03,Bharat Elec,407.0,422.4,406.15,419.85,407.55,12.30,3.02,24506595
H,HI,Hindalco,985.0,1011.6,971.2,1007.9,982.4,25.50,2.60,10853418
Z01,Z,Eternal,254.0,262.5,253.2,258.4,253.6,4.80,1.89,33196297
TIS,TIS,Tata Steel,196.79,199.5,195.6,199.01,196.0,3.01,1.54,22491220
SLI03,SLI03,SBI Life Insura,1756.0,1803.1,1756.0,1793.6,1767.6,26.00,1.47,730989
HSL01,HSL01,HDFC Life,576.0,582.95,573.55,581.8,574.4,7.40,1.29,1106892
IT,IT,Infosys,1149.0,1162.5,1148.0,1157.7,1143.6,14.10,1.23,5995119
BTV,BA08,Bharti Airtel,1853.0,1878.0,1841.5,1875.7,1853.0,22.70,1.23,7653632
NI,NI,Nestle,1392.0,1415.5,1387.1,1407.3,1391.7,15.60,1.12,1876655
SBI,SBI,SBI,1017.0,1028.1,1013.45,1026.5,1015.3,11.20,1.10,8190062
SPI,SPI,Sun Pharma,1814.0,1823.4,1802.6,1820.4,1800.7,19.70,1.09,1771990
TCS,TCS,TCS,2209.0,2231.0,2200.7,2223.0,2199.0,24.00,1.09,2865010
TM4,TM4,Tech Mahindra,1455.0,1476.8,1454.0,1462.4,1446.8,15.60,1.08,2126833
CI29,CI11,Coal India,450.9,461.55,448.6,455.75,450.95,4.80,1.06,9064734
BA06,BA10,Bajaj Auto,9980.0,10074.0,9932.0,10042.0,9939.0,103.00,1.04,302387
JVS,JSW01,JSW Steel,1280.0,1289.5,1269.1,1287.2,1274.3,12.90,1.01,1194899
W,W,Wipro,184.0,185.25,183.58,184.47,182.67,1.80,0.99,16131548
TI01,TI01,Titan Company,4338.0,4395.0,4327.5,4380.5,4338.0,42.50,0.98,623868
IA05,IA04,Interglobe Avi,4876.4,4899.0,4840.0,4878.4,4840.0,38.40,0.79,871600
HCL02,HCL02,HCL Tech,1169.0,1173.6,1159.3,1166.8,1159.0,7.80,0.67,2263670
LT,LT,Larsen,4200.1,4214.7,4172.0,4207.7,4186.4,21.30,0.51,1312925
AHE,AHE,Apollo Hospital,8390.5,8464.5,8385.0,8427.5,8390.5,37.00,0.44,185437
JFS,JFS,Jio Financial,242.2,244.74,241.22,242.98,241.95,1.03,0.43,10009881
PGC,PGC,Power Grid Corp,286.2,286.65,283.25,286.35,285.15,1.20,0.42,6008101
MPS,MPS,Adani Ports,1824.0,1833.0,1806.3,1828.6,1822.0,6.60,0.36,2697924
GI01,GI01,Grasim,3150.0,3200.0,3115.9,3150.4,3140.3,10.10,0.32,395269
RI,RI,Reliance,1333.0,1334.0,1317.0,1332.7,1328.8,3.90,0.29,10029170
AE01,AE13,Adani Enterpris,2958.0,2974.5,2934.6,2951.9,2943.6,8.30,0.28,1244567
HDF01,HDF01,HDFC Bank,787.65,794.3,783.1,787.1,784.9,2.20,0.28,32405604
MHI,MHI,Max Healthcare,1025.4,1029.6,1017.2,1026.15,1024.1,2.05,0.20,1093918
ICI02,ICI02,ICICI Bank,1342.0,1346.0,1333.4,1336.8,1334.3,2.50,0.19,8026424
STF,STF,Shriram Finance,1005.0,1015.75,1001.95,1007.5,1005.75,1.75,0.17,4353419
