userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,is_closed,is_deleted,end_date,meta_data,p_status,pattern_id,analyst_name,analyst_image,updated_at,created_at,updated_at_epoch,created_at_epoch,sc_name,symbol,chartType,displayLock,scanproflg
21,,,nse,Horizontal Zone,Gap Fill,4 hours,,N,0,2026-10-02,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""4845.50"",""pattern_type"":""buy"",""cmp"":""4845.50"",""price_key"":""stk_IA05_N"",""target_price"":""5273"",""target_return_prcnt"":""8.82"",""stoploss_price"":""4704"",""stoploss_prcnt"":""2.92"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178962849761.png""},""rationale"":""Price filled a previous gap up and now has indicated a reversal signal."",""action_type"":""add"",""created_at"":""2026-09-17 12:31:38"",""updated_at"":""2026-09-17 12:31:38""}]}",New,1875,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-09-17 12:31:39,2026-09-17 12:31:39,1789628499,1789628499,,,mc_pro_plus,Y,3
21,,,nse,Ascending Triangle,Reversal From Support,4 hours,,N,0,2026-10-09,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""4469.90"",""pattern_type"":""buy"",""cmp"":""4469.90"",""price_key"":""stk_DPI01_N"",""target_price"":""4900"",""target_return_prcnt"":""9.62"",""stoploss_price"":""4297"",""stoploss_prcnt"":""3.87"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178961929950.png""},""rationale"":""After an uptrend, price formed an ascending triangle. Now it is reversing from its rising trendine support. Which indicates the bullish move."",""action_type"":""add"",""created_at"":""2026-09-17 09:58:21"",""updated_at"":""2026-09-17 09:58:21""}]}",New,1874,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-09-17 09:58:21,2026-09-17 09:58:21,1789619301,1789619301,,,mc_pro_plus,Y,3
21,,,nse,Rising Trendline,Reversal From Support,1 day,,N,0,2026-10-09,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1340.60"",""pattern_type"":""buy"",""cmp"":""1340.60"",""price_key"":""stk_CDS_N"",""target_price"":""1438"",""target_return_prcnt"":""7.27"",""stoploss_price"":""1280"",""stoploss_prcnt"":""4.52"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178961823085.png""},""rationale"":""Price is reversing from rising trendline support, which indicates bullish trend ahead."",""action_type"":""add"",""created_at"":""2026-09-17 09:40:32"",""updated_at"":""2026-09-17 09:40:32""}]}",New,1873,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-09-17 09:40:32,2026-09-17 09:40:32,1789618232,1789618232,,,mc_pro_plus,Y,3
21,,,nse,Horizontal Resistance,Breakout Retest,4 hours,,N,0,2026-10-09,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1750.40"",""pattern_type"":""buy"",""cmp"":""1750.40"",""price_key"":""stk_PF15_N"",""target_price"":""1875"",""target_return_prcnt"":""7.12"",""stoploss_price"":""1703"",""stoploss_prcnt"":""2.71"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178954118791.png""},""rationale"":""Price breaks above horizontal resistance and successfully retests the breakout zone, signalling a potential bullish continuation."",""action_type"":""add"",""created_at"":""2026-09-16 12:16:29"",""updated_at"":""2026-09-16 12:16:29""}]}",New,1872,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-09-16 12:16:29,2026-09-16 12:16:29,1789541189,1789541189,,,mc_pro_plus,Y,3
21,,,nse,Bullish Harmonic Pattern,Bullish Reversal,1 hour,,N,0,2026-09-30,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""23223.30"",""pattern_type"":""buy"",""cmp"":""23223.30"",""price_key"":""indices_i_in;NSX"",""target_price"":""23350"",""target_return_prcnt"":""0.55"",""stoploss_price"":""23100"",""stoploss_prcnt"":""0.53"",""ind_id"":""9"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178953287975.jpg""},""rationale"":""The Bullish Crab pattern on the chart indicates probable reversal."",""action_type"":""add"",""created_at"":""2026-09-16 09:58:01"",""updated_at"":""2026-09-16 09:58:01""}]}",New,1871,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-09-16 09:58:01,2026-09-16 09:58:01,1789532881,1789532881,,,mc_pro_plus,Y,3
21,,,nse,Rising Trendline,Reversal From Support,1 day,,N,0,2026-10-09,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""5125.00"",""pattern_type"":""buy"",""cmp"":""4891.50"",""price_key"":""stk_CI02_N"",""target_price"":""5622"",""target_return_prcnt"":""9.70"",""stoploss_price"":""4871"",""stoploss_prcnt"":""4.96"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178892978198.png""},""rationale"":""Price is in an uptrend, while having a pullback at the support level. If the price stays above the support price, may see a bullish move ahead."",""action_type"":""add"",""created_at"":""2026-09-09 10:26:23"",""updated_at"":""2026-09-09 10:26:23""}]}",New,1849,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-09-15 15:02:52,2026-09-09 10:26:23,1789464772,1788929783,,,mc_pro_plus,Y,3
21,,,nse,Horizontal Trendline,Bearish Breakdown,4 hours,,N,0,2026-10-09,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1347.80"",""pattern_type"":""sell"",""cmp"":""1347.80"",""price_key"":""stk_CS17_N"",""target_price"":""1249"",""target_return_prcnt"":""7.33"",""stoploss_price"":""1388"",""stoploss_prcnt"":""2.98"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178945994815.png""},""rationale"":""Price breaks below horizontal trendline support, signalling a potential bearish breakdown."",""action_type"":""add"",""created_at"":""2026-09-15 13:42:31"",""updated_at"":""2026-09-15 13:42:31""}]}",New,1870,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-09-15 13:42:31,2026-09-15 13:42:31,1789459951,1789459951,,,mc_pro_plus,Y,3
21,,,nse,Falling Channel,On verge of Breakout,1 hour,,N,0,2026-10-29,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""4430.70"",""pattern_type"":""buy"",""cmp"":""4430.70"",""price_key"":""stk_RK01_N"",""target_price"":""4650"",""target_return_prcnt"":""4.95"",""stoploss_price"":""4300"",""stoploss_prcnt"":""2.95"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178945767648.png""},""rationale"":""The stock price is on the verge of a breakout from the falling trendline, indicating the bullish reversal."",""action_type"":""add"",""created_at"":""2026-09-15 13:04:38"",""updated_at"":""2026-09-15 13:04:38""}]}",New,1869,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-09-15 13:04:38,2026-09-15 13:04:38,1789457678,1789457678,,,mc_pro_plus,Y,3
21,,,nse,Trendline Breakdown,Bearish Trend,1 day,,N,0,2026-09-29,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""22210.00"",""pattern_type"":""sell"",""cmp"":""22210.00"",""price_key"":""futstk_SC12_2026-09-29"",""target_price"":""21000"",""target_return_prcnt"":""5.45"",""stoploss_price"":""22800"",""stoploss_prcnt"":""2.66"",""ind_id"":""-1"",""expiry_date"":""2026-09-29"",""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178945669380.png""},""rationale"":""The breakdown from previous support indicates bearish trend continuation."",""action_type"":""add"",""created_at"":""2026-09-15 12:48:15"",""updated_at"":""2026-09-15 12:48:15""}]}",New,1868,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-09-15 12:48:15,2026-09-15 12:48:15,1789456695,1789456695,,,mc_pro_plus,Y,3
21,,,nse,Confluence of Support,Demand Zone,1 hour,,N,0,2026-10-29,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""300.05"",""pattern_type"":""buy"",""cmp"":""300.05"",""price_key"":""stk_LFH_N"",""target_price"":""320"",""target_return_prcnt"":""6.65"",""stoploss_price"":""285"",""stoploss_prcnt"":""5.02"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178945534013.png""},""rationale"":""The multiple horizontal and rising trendline indicates demand zone."",""action_type"":""add"",""created_at"":""2026-09-15 12:25:42"",""updated_at"":""2026-09-15 12:25:42""}]}",New,1867,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-09-15 12:25:42,2026-09-15 12:25:42,1789455342,1789455342,,,mc_pro_plus,Y,3
