MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,MOTISONS,MOTISONS,MOTISONS,18.05,16.62,1.43,8.6,236263034,16.37,18.5,16.2
,PCJEWELLER,PCJEWELLER,PCJEWELLER,12.35,12.64,-0.29,-2.29,225554471,12.59,12.9,12.3
,IDEA,IDEA,IDEA,14.22,14.26,-0.04,-0.28,186454612,14.25,14.43,14.17
,IFCI,IFCI,IFCI,77.05,75.06,1.99,2.65,176897944,75.21,80.97,75.21
,STEAMHOUSE,STEAMHOUSE,STEAMHOUSE,101.38,81.0,6.88,7.28,81139258,94.5,103.95,91.6
,YESBANK,YESBANK,YESBANK,23.13,23.4,-0.27,-1.15,69914036,23.32,23.38,22.91
,GLASSWALL,GLASSWALL,GLASSWALL,257.82,214.85,42.97,20.0,64015769,223.75,257.82,222.42
,EMPOWER,EMPOWER,EMPOWER,2.53,2.48,0.05,2.02,57786293,2.45,2.56,2.44
,AHCL,AHCL,AHCL,22.07,20.04,2.03,10.13,49745313,19.7,22.36,19.7
,PINELABS,PINELABS,PINELABS,183.85,185.71,-1.86,-1.0,47871043,185.78,194.49,182.85
,CCAVENUE,CCAVENUE,CCAVENUE,16.32,15.32,1.0,6.53,46480923,15.32,16.86,15.26
,RENTOMOJO,RENTOMOJO,RENTOMOJO,546.0,404.0,63.55,13.17,45889291,482.45,546.8,482.45
,JPPOWER,JPPOWER,JPPOWER,15.22,15.41,-0.19,-1.23,43904442,15.4,15.62,15.21
,OLAELEC,OLAELEC,OLAELEC,36.74,37.24,-0.5,-1.34,43408200,37.43,37.62,36.51
,ALOKINDS,ALOKINDS,ALOKINDS,7.05,7.48,-0.43,-5.75,42844998,7.49,7.58,7.0
,TATAGOLD,TATAGOLD,TATAGOLD,14.63,14.68,-0.05,-0.34,37551457,14.56,14.69,14.55
,RIR,RIR,RIR,199.0,179.77,19.23,10.7,36391145,194.74,207.71,186.51
,NIACL,NIACL,NIACL,196.76,184.19,12.57,6.82,34650793,186.5,201.24,186.5
,TATSILV,TATSILV,TATSILV,22.01,22.2,-0.19,-0.86,33319083,21.99,22.1,21.84
,SUZLON,SUZLON,SUZLON,42.54,42.15,0.39,0.93,31153614,42.01,42.9,42.01
