scid,broker_count,buy_count,hold_count,sell_count,brokers,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass
UTI10,12,11,1,0,"[{'name': 'Motilal Oswal', 'target_price': 1400}, {'name': 'ICICI Securities', 'target_price': 1435}, {'name': 'Geojit Financial Services', 'target_price': 1400}, {'name': 'Deven Choksey', 'target_price': 1270}, {'name': 'Prabhudas Lilladher', 'target_price': 1425}, {'name': 'Emkay Global Financial Services', 'target_price': 1400}, {'name': 'Sharekhan', 'target_price': 1400}, {'name': 'Asit C. Mehta', 'target_price': 1425}, {'name': 'LKP Securities Limited', 'target_price': 1395}, {'name': 'AnandRathi', 'target_price': 1310}, {'name': 'KRChoksey', 'target_price': 1283}, {'name': 'Anand Rathi', 'target_price': 1300}]",Axis Bank,Axis Bank,1354.70,-4.40,-0.32,1.1,banks-private-sector/axisbank/AB16,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1270, 'percentages': -6.2, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1354.7, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1370.25, 'percentages': 1.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1435, 'percentages': 5.9, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 12.99, 'minRangePer': 51.27, 'maxRanegPer': 60.73, 'rangeDiffPer': 9.45, 'mindiff_total': 6.66, 'maxdiff_total': 7.89}",#52B974
MU01,12,10,1,1,"[{'name': 'Motilal Oswal', 'target_price': 17406}, {'name': 'Prabhudas Lilladher', 'target_price': 15750}, {'name': 'Deven Choksey', 'target_price': 16312}, {'name': 'Anand Rathi', 'target_price': 19000}, {'name': 'Choice Equity Broking', 'target_price': 15800}, {'name': 'Mirae Asset Sharekhan', 'target_price': 18400}, {'name': 'ICICI Securities', 'target_price': 17000}, {'name': 'AnandRathi', 'target_price': 13350}, {'name': 'Emkay Global Financial Services', 'target_price': 13500}, {'name': 'Sharekhan', 'target_price': 14500}, {'name': 'Asit C. Mehta', 'target_price': 14250}, {'name': 'KRChoksey', 'target_price': 13407}]",Maruti Suzuki India,Maruti Suzuki,13450.00,-3.00,-0.02,16.8,auto-carsjeeps/marutisuzukiindia/MS24,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 13350, 'percentages': -0.7, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 13450, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 15722.92, 'percentages': 16.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 19000, 'percentages': 41.2, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 42.32, 'minRangePer': 1.74, 'maxRanegPer': 41.98, 'rangeDiffPer': 40.23, 'mindiff_total': 0.74, 'maxdiff_total': 17.77}",#52B974
IT,11,10,1,0,"[{'name': 'Emkay Global Financial Services', 'target_price': 1450}, {'name': 'Prabhudas Lilladher', 'target_price': 1900}, {'name': 'Motilal Oswal', 'target_price': 1850}, {'name': 'ICICI Securities', 'target_price': 1630}, {'name': 'Anand Rathi', 'target_price': 1884}, {'name': 'Motilal Oswal Private Wealth', 'target_price': 2150}, {'name': 'Choice Equity Broking', 'target_price': 1810}, {'name': 'Deven Choksey', 'target_price': 1830}, {'name': 'Sharekhan', 'target_price': 1630}, {'name': 'KRChoksey', 'target_price': 2154}, {'name': 'Religare Retail Research', 'target_price': 2041}]",Infosys,Infosys,1312.60,-6.10,-0.46,40.7,computers-software/infosys/IT,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1312.6, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1450, 'percentages': 10.4, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1848.09, 'percentages': 40.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2154, 'percentages': 64.1, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 64.1, 'minRangePer': 16.31, 'maxRanegPer': 63.63, 'rangeDiffPer': 47.32, 'mindiff_total': 10.46, 'maxdiff_total': 40.79}",#52B974
TCS,11,9,1,1,"[{'name': 'Motilal Oswal', 'target_price': 3000}, {'name': 'Prabhudas Lilladher', 'target_price': 3450}, {'name': 'Choice Institutional Equities', 'target_price': 3350}, {'name': 'LKP Securities Limited', 'target_price': 3880}, {'name': 'Deven Choksey', 'target_price': 3600}, {'name': 'Sharekhan', 'target_price': 3900}, {'name': 'Choice Equity Broking', 'target_price': 3950}, {'name': 'KRChoksey', 'target_price': 4631}, {'name': 'Geojit Financial Services', 'target_price': 4634}, {'name': 'AnandRathi', 'target_price': 4432}, {'name': 'Emkay Global Financial Services', 'target_price': 4500}]",Tata Consultancy Services,TCS,2579.60,-1.90,-0.07,52.6,computers-software/tataconsultancyservices/TCS,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 2579.6, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 3000, 'percentages': 16.2, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 3938.82, 'percentages': 52.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 4634, 'percentages': 79.6, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 79.64, 'minRangePer': 20.45, 'maxRanegPer': 66.16, 'rangeDiffPer': 45.7, 'mindiff_total': 16.29, 'maxdiff_total': 52.69}",#52B974
BAF,11,9,2,0,"[{'name': 'Motilal Oswal', 'target_price': 900}, {'name': 'Prabhudas Lilladher', 'target_price': 1125}, {'name': 'ICICI Securities', 'target_price': 1050}, {'name': 'Mirae Asset Sharekhan', 'target_price': 1150}, {'name': 'Deven Choksey', 'target_price': 1040}, {'name': 'Sharekhan', 'target_price': 1000}, {'name': 'Geojit Financial Services', 'target_price': 9521}, {'name': 'Emkay Global Financial Services', 'target_price': 8800}, {'name': 'KRChoksey', 'target_price': 9451}, {'name': 'AnandRathi', 'target_price': 8810}, {'name': 'Anand Rathi', 'target_price': 7905}]",Bajaj Finance,Bajaj Finance,917.75,9.50,1.05,402.7,finance-nbfc/bajajfinance/BAF,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 900, 'percentages': -1.9, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 917.75, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 4613.82, 'percentages': 402.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 9521, 'percentages': 937.4, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 957.88, 'minRangePer': 0.2, 'maxRanegPer': 43.07, 'rangeDiffPer': 42.87, 'mindiff_total': 1.97, 'maxdiff_total': 412.64}",#52B974
HDF01,10,10,0,0,"[{'name': 'Anand Rathi', 'target_price': 967}, {'name': 'ICICI Securities', 'target_price': 1080}, {'name': 'Motilal Oswal', 'target_price': 1100}, {'name': 'Prabhudas Lilladher', 'target_price': 1100}, {'name': 'Deven Choksey', 'target_price': 1149}, {'name': 'Emkay Global Financial Services', 'target_price': 2300}, {'name': 'Geojit Financial Services', 'target_price': 2192}, {'name': 'Sharekhan', 'target_price': 2300}, {'name': 'LKP Securities Limited', 'target_price': 2173}, {'name': 'KRChoksey', 'target_price': 1934}]",HDFC Bank,HDFC Bank,795.45,-4.45,-0.56,104.8,banks-private-sector/hdfcbank/HDF01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 795.45, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 967, 'percentages': 21.5, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1629.5, 'percentages': 104.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2300, 'percentages': 189.1, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 189.14, 'minRangePer': 11.39, 'maxRanegPer': 55.43, 'rangeDiffPer': 44.04, 'mindiff_total': 21.56, 'maxdiff_total': 104.85}",#52B974
HCL02,10,4,6,0,"[{'name': 'Deven Choksey', 'target_price': 1682}, {'name': 'LKP Securities Limited', 'target_price': 1900}, {'name': 'ICICI Securities', 'target_price': 1590}, {'name': 'Motilal Oswal', 'target_price': 2200}, {'name': 'Prabhudas Lilladher', 'target_price': 1910}, {'name': 'Choice Equity Broking', 'target_price': 1720}, {'name': 'Sharekhan', 'target_price': 1850}, {'name': 'AnandRathi', 'target_price': 2050}, {'name': 'KRChoksey', 'target_price': 1894}, {'name': 'Anand Rathi', 'target_price': 2020}]",HCL Technologies,HCL Tech,1428.30,-14.00,-0.97,31.7,computers-software/hcltechnologies/HCL02,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1428.3, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1590, 'percentages': 11.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1881.6, 'percentages': 31.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2200, 'percentages': 54, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 54.02, 'minRangePer': 20.95, 'maxRanegPer': 58.73, 'rangeDiffPer': 37.78, 'mindiff_total': 11.32, 'maxdiff_total': 31.73}",#52B974
UTC,10,10,0,0,"[{'name': 'Motilal Oswal', 'target_price': 15000}, {'name': 'Prabhudas Lilladher', 'target_price': 14168}, {'name': 'Deven Choksey', 'target_price': 14406}, {'name': 'Emkay Global Financial Services', 'target_price': 14700}, {'name': 'ICICI Securities', 'target_price': 14600}, {'name': 'Choice Equity Broking', 'target_price': 15210}, {'name': 'Sharekhan', 'target_price': 13647}, {'name': 'Geojit Financial Services', 'target_price': 12320}, {'name': 'Religare Retail Research', 'target_price': 11446}, {'name': 'KRChoksey', 'target_price': 12063}]",UltraTech Cement,UltraTechCement,11917.00,31.00,0.26,15.4,cement-major/ultratechcement/UTC01,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 11446, 'percentages': -3.9, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 11917, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 13756, 'percentages': 15.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 15210, 'percentages': 27.6, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 32.88, 'minRangePer': 12.5, 'maxRanegPer': 61.37, 'rangeDiffPer': 48.87, 'mindiff_total': 4.11, 'maxdiff_total': 20.18}",#52B974
C,10,8,1,1,"[{'name': 'Motilal Oswal', 'target_price': 1310}, {'name': 'Deven Choksey', 'target_price': 1620}, {'name': 'Prabhudas Lilladher', 'target_price': 1675}, {'name': 'Choice Equity Broking', 'target_price': 1580}, {'name': 'Mirae Asset Sharekhan', 'target_price': 1754}, {'name': 'ICICI Securities', 'target_price': 1800}, {'name': 'KRChoksey', 'target_price': 1598}, {'name': 'Asit C. Mehta', 'target_price': 1808}, {'name': 'Geojit Financial Services', 'target_price': 1695}, {'name': 'Sharekhan', 'target_price': 1715}]",Cipla,Cipla,1229.50,-11.30,-0.91,34.6,pharmaceuticals/cipla/C,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1229.5, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1310, 'percentages': 6.5, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1655.5, 'percentages': 34.6, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1808, 'percentages': 47, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 47.05, 'minRangePer': 13.9, 'maxRanegPer': 73.62, 'rangeDiffPer': 59.72, 'mindiff_total': 6.54, 'maxdiff_total': 34.64}",#52B974
KMF,9,8,0,1,"[{'name': 'Motilal Oswal', 'target_price': 500}, {'name': 'Prabhudas Lilladher', 'target_price': 500}, {'name': 'ICICI Securities', 'target_price': 2650}, {'name': 'Deven Choksey', 'target_price': 2362}, {'name': 'Sharekhan', 'target_price': 2500}, {'name': 'Emkay Global Financial Services', 'target_price': 1950}, {'name': 'LKP Securities Limited', 'target_price': 2490}, {'name': 'KRChoksey', 'target_price': 2164}, {'name': 'AnandRathi', 'target_price': 2010}]",Kotak Mahindra Bank,Kotak Mahindra,379.20,-4.40,-1.15,401.8,banks-private-sector/kotakmahindrabank/KMB,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 379.2, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 500, 'percentages': 31.8, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1902.89, 'percentages': 401.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 2650, 'percentages': 598.8, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 598.83, 'minRangePer': 5.31, 'maxRanegPer': 67.09, 'rangeDiffPer': 61.78, 'mindiff_total': 31.85, 'maxdiff_total': 401.81}",#52B974
