id,organization,entry_date,heading,attachment,creation_date,recommend_date,target_price_date,target_price_date_epoch,target_price,recommended_price,scid,stkname,stockShortName,cmp,change,perChange,current_returns,potential_returns_per,exchange,recommended_price_falg,target_price_flag,stock_data,stk_url,recommend_flag
13894024,Geojit Financial Services,2026-04-20,Buy Mrs Bectors Food Specialities; target of Rs 252: Geojit Financial Services,https://images.moneycontrol.com/static-mcnews/2026/04/20260420082636_Mrs-Bectors-Food-Specialities-2004026-geo.pdf,20260420142711,"April 20, 2026",2026-04-20,20260420,252,192.55,MBF01,Mrs. Bectors Food Specialities,Bectors Food,192.75,0.53,0.28,0.1,30.7,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '252', 'target_price_date': '20/04/2026', 'P_ORGANIZATION': 'Geojit Financial Services'}, 'previous': []}",consumer-food/mrsbectorsfoodspecialities/MBF01,BUY
13893954,Anand Rathi,2026-04-20,Buy HDFC Bank; target of Rs 967: Anand Rathi,https://images.moneycontrol.com/static-mcnews/2026/04/20260420073348_HDFC-Bank-2004026-anand.pdf,20260420131029,"April 20, 2026",2026-04-20,20260420,967,799.9,HDF01,HDFC Bank,HDFC Bank,795.45,-4.45,-0.56,-0.5,21.5,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '967', 'target_price_date': '20/04/2026', 'P_ORGANIZATION': 'Anand Rathi'}, 'previous': []}",banks-private-sector/hdfcbank/HDF01,BUY
13893864,Anand Rathi,2026-04-20,Buy ICICI Bank; target of Rs 1716: Anand Rathi,https://images.moneycontrol.com/static-mcnews/2026/04/20260420062509_HDFC-Bank-2004026-anand.pdf,20260420120738,"April 20, 2026",2026-04-20,20260420,1716,1356.0,ICI02,ICICI Bank,ICICI Bank,1356.20,9.40,0.70,0.0,26.5,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1716', 'target_price_date': '20/04/2026', 'P_ORGANIZATION': 'Anand Rathi'}, 'previous': []}",banks-private-sector/icicibank/ICI02,BUY
13893843,ICICI Securities,2026-04-20,Buy HDFC Bank; target of Rs 1080: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/04/20260420055232_HDFC-Bank-2004026-moti.pdf,20260420112549,"April 19, 2026",2026-04-19,20260419,1080,799.9,HDF01,HDFC Bank,HDFC Bank,795.45,-4.45,-0.56,-0.5,35.7,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1080', 'target_price_date': '19/04/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",banks-private-sector/hdfcbank/HDF01,BUY
13893837,ICICI Securities,2026-04-20,Buy Bajaj Consumer Care; target of Rs 600: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/04/20260420054612_Bajaj-Consumer-Care-2004026-icici.pdf,20260420111806,"April 19, 2026",2026-04-19,20260419,600,470.45,BC14,Bajaj Consumer Care,Bajaj Consumer ,474.30,4.35,0.93,0.8,26.5,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '600', 'target_price_date': '19/04/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",personal-care/bajajconsumercare/BC02,BUY
13893828,ICICI Securities,2026-04-20,Buy ICICI Lombard General Insurance Company; target of Rs 2250: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/04/20260420053426_ICICI-Lombard-General-Insurance-Company-2004026-icici.pdf,20260420110443,"April 20, 2026",2026-04-20,20260420,2250,1890.8,ILG,ICICI Lombard General Insurance Company,ICICI Lombard ,1876.50,-15.10,-0.80,-0.7,19.9,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '2250', 'target_price_date': '20/04/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",multiline-insurancebrokers/icicilombardgeneralinsurancecompany/ILG,BUY
13893816,ICICI Securities,2026-04-20,Buy ICICI Prudential Life Insurance Company; target of Rs 705: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/04/20260420052828_ICICI-Prudential-Life-Insurance-Company-2004026-icici.pdf,20260420105920,"April 20, 2026",2026-04-20,20260420,705,562.4,IPL01,ICICI Prudential Life Insurance Company,ICICI Prudentia,557.90,-4.10,-0.73,-0.8,26.3,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '705', 'target_price_date': '20/04/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",finance-general/iciciprudentiallifeinsurancecompany/IPL01,BUY
13893803,ICICI Securities,2026-04-20,Hold Yes Bank; target of Rs 21: ICICI Securities,https://images.moneycontrol.com/static-mcnews/2026/04/20260420051025_Yes-Bank-2004026-icici.pdf,20260420104118,"April 19, 2026",2026-04-19,20260419,21,20.2,YB,Yes Bank,Yes Bank,19.84,-0.35,-1.73,-1.7,5.8,N,,,"{'current': {'recommend_flag': 'H', 'target_price': '21', 'target_price_date': '19/04/2026', 'P_ORGANIZATION': 'ICICI Securities'}, 'previous': []}",banks-private-sector/yesbank/YB,HOLD
13893778,Motilal Oswal,2026-04-20,Buy HDFC Bank; target of Rs 1100: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/04/20260420045604_HDFC-Bank-2004026-moti.pdf,20260420102623,"April 19, 2026",2026-04-19,20260419,1100,799.9,HDF01,HDFC Bank,HDFC Bank,795.45,-4.45,-0.56,-0.5,38.2,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1100', 'target_price_date': '19/04/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",banks-private-sector/hdfcbank/HDF01,BUY
13893773,Motilal Oswal,2026-04-20,Buy ICICI Bank; target of Rs 1750: Motilal Oswal,https://images.moneycontrol.com/static-mcnews/2026/04/20260420045005_ICICI-Bank-2004026-moti.pdf,20260420102027,"April 19, 2026",2026-04-19,20260419,1750,1347.5,ICI02,ICICI Bank,ICICI Bank,1356.20,9.40,0.70,0.6,29.0,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1750', 'target_price_date': '19/04/2026', 'P_ORGANIZATION': 'Motilal Oswal'}, 'previous': []}",banks-private-sector/icicibank/ICI02,BUY
13893761,Prabhudas Lilladher,2026-04-20,Buy HDFC Bank; target of Rs 1100: Prabhudas Lilladher,https://images.moneycontrol.com/static-mcnews/2026/04/20260420042934_HDFC-Bank-2004026-prabhu.pdf,20260420095946,"April 20, 2026",2026-04-20,20260420,1100,799.9,HDF01,HDFC Bank,HDFC Bank,795.45,-4.45,-0.56,-0.5,38.2,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1100', 'target_price_date': '20/04/2026', 'P_ORGANIZATION': 'Prabhudas Lilladher'}, 'previous': []}",banks-private-sector/hdfcbank/HDF01,BUY
13893754,Prabhudas Lilladher,2026-04-20,Buy ICICI Bank; target of Rs 1825: Prabhudas Lilladher,https://images.moneycontrol.com/static-mcnews/2026/04/20260420042432_ICICI-Bank-2004026-prabhu.pdf,20260420095450,"April 20, 2026",2026-04-20,20260420,1825,1356.0,ICI02,ICICI Bank,ICICI Bank,1356.20,9.40,0.70,0.0,34.5,N,,,"{'current': {'recommend_flag': 'B', 'target_price': '1825', 'target_price_date': '20/04/2026', 'P_ORGANIZATION': 'Prabhudas Lilladher'}, 'previous': []}",banks-private-sector/icicibank/ICI02,BUY
