MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
MU01,MS24,Maruti Suzuki,13809.0,13809.0,13565.0,13565.0,13809.0,-244.00,-1.77,224951
L,T04,Trent,2970.0,2976.6,2914.0,2924.0,2970.0,-46.00,-1.55,522242
HCL02,HCL02,HCL Tech,1319.9,1321.7,1302.5,1302.5,1318.4,-15.90,-1.21,1484443
IA05,IA04,Interglobe Avi,5155.0,5172.5,5055.5,5110.0,5165.0,-55.00,-1.06,1115342
ONG,ONG,ONGC,238.7,239.22,236.4,236.4,238.5,-2.10,-0.88,13313403
ITC,ITC,ITC,271.6,271.6,269.0,269.4,271.65,-2.25,-0.83,8312928
IT,IT,Infosys,1133.0,1133.5,1118.0,1121.0,1130.0,-9.00,-0.80,6094967
BA06,BA10,Bajaj Auto,11790.0,11790.0,11660.0,11700.0,11793.0,-93.00,-0.79,221616
TEL,TM03,TMPV,321.5,322.4,316.9,317.9,320.25,-2.35,-0.73,10824328
TT,TT,TATA Cons. Prod,1060.0,1062.0,1044.7,1049.0,1056.3,-7.30,-0.69,1126589
HL,HU,HUL,2028.0,2034.7,2012.0,2015.0,2028.0,-13.00,-0.64,857550
TM4,TM4,Tech Mahindra,1592.1,1602.0,1576.5,1584.0,1592.1,-8.10,-0.51,1324911
AHE,AHE,Apollo Hospital,8727.0,8746.0,8638.0,8693.0,8735.0,-42.00,-0.48,184342
JVS,JSW01,JSW Steel,1298.0,1298.8,1280.5,1293.7,1299.7,-6.00,-0.46,2013069
DRL,DRL,Dr Reddys Labs,1179.0,1185.1,1174.0,1174.7,1180.0,-5.30,-0.45,1246756
UTI10,AB16,Axis Bank,1250.6,1256.4,1240.4,1245.8,1251.0,-5.20,-0.42,3690270
C,C,Cipla,1433.4,1443.6,1408.6,1432.2,1438.0,-5.80,-0.40,728275
EM,EM,Eicher Motors,8095.0,8112.5,7980.0,8010.0,8042.0,-32.00,-0.40,316029
MM,MM,M&M,3431.2,3453.9,3412.2,3412.2,3424.8,-12.60,-0.37,1730623
TIS,TIS,Tata Steel,184.4,184.94,182.0,183.0,183.5,-0.50,-0.27,26299054
JFS,JFS,Jio Financial,244.3,245.8,243.5,244.0,244.6,-0.60,-0.25,5583469
W,W,Wipro,180.6,181.76,180.0,180.79,181.0,-0.21,-0.12,4637869
SPI,SPI,Sun Pharma,1916.0,1917.4,1882.8,1902.4,1904.0,-1.60,-0.08,1491953
UTC,UTC01,UltraTechCement,11549.0,11620.0,11526.0,11570.0,11575.0,-5.00,-0.04,133753
