Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,TCS,TCS,Stock,Very Bearish,"2,059.60",-14.07,"24 Apr, 2026","2,396.90",Jun 23 | 15:59
NIFTY 50,IT,Infosys,Stock,Very Bearish,"1,029.30",-13.33,"08 Jun, 2026","1,187.60",Jun 23 | 15:59
NIFTY 50,W,Wipro,Stock,Very Bearish,174.49,-12.04,"05 Jun, 2026",198.37,Jun 23 | 15:59
NIFTY 50,ONG,ONGC,Stock,Very Bearish,244.35,-10.84,"27 May, 2026",274.05,Jun 23 | 15:59
NIFTY 50,TIS,Tata Steel,Stock,Very Bearish,193.56,-6.39,"05 Jun, 2026",206.77,Jun 23 | 15:59
NIFTY 50,HCL02,HCL Tech,Stock,Very Bearish,"1,109.50",-5.89,"03 Jun, 2026","1,179.00",Jun 23 | 15:59
NIFTY 50,H,Hindalco,Stock,Bearish,986.80,-5.05,"10 Jun, 2026","1,039.30",Jun 23 | 15:59
NIFTY 50,TT,TATA Cons. Prod,Stock,Very Bearish,"1,103.80",-3.45,"01 Jun, 2026","1,143.30",Jun 23 | 15:55
NIFTY 50,SLI03,SBI Life Insura,Stock,Bearish,"1,786.20",-2.40,"29 May, 2026","1,830.10",Jun 23 | 15:59
NIFTY 50,TEL,TMPV,Stock,Very Bearish,354.55,-1.77,"17 Jun, 2026",360.95,Jun 23 | 15:59
NIFTY 50,CI29,Coal India,Stock,Very Bearish,444.35,-1.47,"10 Jun, 2026",451.00,Jun 23 | 15:59
NIFTY 50,HL,HUL,Stock,Bearish,"2,160.10",-1.14,"22 Jun, 2026","2,184.90",Jun 23 | 15:59
NIFTY 50,TM4,Tech Mahindra,Stock,Very Bearish,"1,415.60",-0.95,"12 Jun, 2026","1,429.20",Jun 23 | 15:59
NIFTY 50,MM,M&M,Stock,Bearish,"3,037.30",-0.85,"22 Jun, 2026","3,063.40",Jun 23 | 15:59
NIFTY 50,BA06,Bajaj Auto,Stock,Bearish,"10,025.00",-0.38,"12 Jun, 2026","10,063.00",Jun 23 | 15:59
NIFTY 50,JVS,JSW Steel,Stock,Bearish,"1,242.20",0.00,"23 Jun, 2026","1,242.20",Jun 23 | 15:59
NIFTY 50,NI,Nestle,Stock,Bearish,"1,392.20",0.00,"23 Jun, 2026","1,392.20",Jun 23 | 15:59
NIFTY BANK,CB06,Canara Bank,Stock,Bearish,130.37,0.00,"23 Jun, 2026",130.37,Jun 23 | 15:59
NIFTY MIDCAP100,SL23,Swiggy,Stock,Very Bearish,249.85,-25.18,"18 Feb, 2026",333.95,Jun 23 | 15:59
NIFTY MIDCAP100,RVN,Rail Vikas,Stock,Bearish,240.13,-15.24,"12 May, 2026",283.30,Jun 23 | 15:59
NIFTY MIDCAP100,OI13,Oil India,Stock,Very Bearish,416.35,-12.52,"09 Jun, 2026",475.95,Jun 23 | 15:59
NIFTY MIDCAP100,RSI,Patanjali Foods,Stock,Very Bearish,414.60,-8.83,"27 May, 2026",454.75,Jun 23 | 15:58
NIFTY MIDCAP100,JF04,Jubilant Food,Stock,Very Bearish,423.45,-8.05,"11 May, 2026",460.50,Jun 23 | 15:59
NIFTY MIDCAP100,SAI,SAIL,Stock,Bearish,169.18,-7.94,"08 Jun, 2026",183.78,Jun 23 | 15:59
NIFTY MIDCAP100,SI48,Supreme Ind,Stock,Very Bearish,"3,540.40",-7.88,"19 Mar, 2026","3,843.40",Jun 23 | 15:59
NIFTY MIDCAP100,DI,Dabur India,Stock,Very Bearish,419.80,-6.90,"20 May, 2026",450.90,Jun 23 | 15:59
NIFTY MIDCAP100,SI10,UPL,Stock,Very Bearish,596.80,-6.63,"04 Jun, 2026",639.15,Jun 23 | 15:59
NIFTY MIDCAP100,NAC,NALCO,Stock,Very Bearish,355.40,-6.03,"08 Jun, 2026",378.20,Jun 23 | 15:59
NIFTY MIDCAP100,MMF04,M&M Financial,Stock,Very Bearish,291.25,-5.74,"20 May, 2026",309.00,Jun 23 | 15:59
NIFTY MIDCAP100,CPI,Colgate,Stock,Very Bearish,"1,980.50",-4.65,"26 May, 2026","2,077.10",Jun 23 | 15:59
NIFTY MIDCAP100,BI26,INDUS TOWERS,Stock,Very Bearish,400.00,-4.63,"09 Jun, 2026",419.40,Jun 23 | 15:59
NIFTY MIDCAP100,PII,PI Industries,Stock,Very Bearish,"2,767.00",-4.63,"20 May, 2026","2,901.20",Jun 23 | 15:58
NIFTY MIDCAP100,TEI,Tata Elxsi,Stock,Very Bearish,"4,076.10",-4.21,"08 Jun, 2026","4,255.40",Jun 23 | 15:57
NIFTY MIDCAP100,PS15,Persistent,Stock,Very Bearish,"4,836.50",-4.01,"05 Jun, 2026","5,038.50",Jun 23 | 15:59
NIFTY MIDCAP100,AL,Ashok Leyland,Stock,Bearish,151.46,-3.65,"22 Jun, 2026",157.19,Jun 23 | 15:59
NIFTY MIDCAP100,NMD01,NMDC,Stock,Bearish,85.26,-3.11,"17 Jun, 2026",88.00,Jun 23 | 15:59
NIFTY MIDCAP100,IRC,IRCTC,Stock,Very Bearish,518.55,-2.89,"12 May, 2026",534.00,Jun 23 | 15:59
NIFTY MIDCAP100,MCE,MCX India,Stock,Bearish,"2,831.00",-1.66,"02 Jun, 2026","2,878.70",Jun 23 | 15:59
NIFTY MIDCAP100,BFL,MphasiS,Stock,Very Bearish,"2,244.60",-1.01,"19 Jun, 2026","2,267.50",Jun 23 | 15:56
NIFTY MIDCAP100,GPI,Godfrey Phillip,Stock,Bearish,"2,237.90",0.00,"23 Jun, 2026","2,237.90",Jun 23 | 15:58
NIFTY MIDCAP100,WEL01,Waaree Energies,Stock,Very Bearish,"3,033.80",0.00,"23 Jun, 2026","3,033.80",Jun 23 | 15:59
NIFTY MIDCAP100,LIC,LIC Housing Fin,Stock,Bearish,541.20,0.00,"23 Jun, 2026",541.20,Jun 23 | 15:56
NIFTY MIDCAP100,APT02,Astral Ltd,Stock,Bearish,"1,523.40",0.00,"23 Jun, 2026","1,523.40",Jun 23 | 15:59
NIFTY MIDCAP100,VMML,Vishal Mega Mar,Stock,Very Bearish,118.13,1.01,"16 Jun, 2026",116.95,Jun 23 | 15:59
NIFTY MIDCAP100,KPITT54265,KPIT Tech,Stock,Very Bearish,741.15,1.12,"10 Jun, 2026",732.95,Jun 23 | 15:59
NIFTY NEXT 50,JSP,Jindal Steel,Stock,Very Bearish,"1,082.60",-9.54,"21 May, 2026","1,196.80",Jun 23 | 15:59
NIFTY NEXT 50,HZ,Hind Zinc,Stock,Very Bearish,546.80,-9.45,"04 Jun, 2026",603.85,Jun 23 | 15:59
NIFTY NEXT 50,LI09,LTM,Stock,Very Bearish,"3,768.40",-7.02,"03 Jun, 2026","4,052.70",Jun 23 | 15:59
NIFTY NEXT 50,MF19,Muthoot Finance,Stock,Bearish,"3,119.60",-5.79,"15 May, 2026","3,311.40",Jun 23 | 15:59
NIFTY NEXT 50,GAC,Ambuja Cements,Stock,Very Bearish,414.85,-4.61,"01 Jun, 2026",434.90,Jun 23 | 15:59
NIFTY NEXT 50,TPC,Tata Power,Stock,Very Bearish,398.30,-3.27,"03 Jun, 2026",411.75,Jun 23 | 15:59
NIFTY NEXT 50,VB05,Varun Beverages,Stock,Bearish,504.30,0.00,"23 Jun, 2026",504.30,Jun 23 | 15:59
NIFTY NEXT 50,SG,Vedanta,Stock,Very Bearish,281.70,3.74,"30 Apr, 2026",271.55,Jun 23 | 15:59
NIFTY 500,MC,Ramco Cements,Stock,Bearish,876.15,-20.34,"02 Mar, 2026","1,099.90",Jun 23 | 15:59
NIFTY 500,FIC,Zensar Tech,Stock,Very Bearish,443.45,-17.27,"24 Apr, 2026",536.00,Jun 23 | 15:59
NIFTY 500,KPI01,Birlasoft,Stock,Very Bearish,308.25,-16.91,"28 Apr, 2026",371.00,Jun 23 | 15:59
NIFTY 500,EID,EID Parry,Stock,Very Bearish,710.30,-15.16,"29 Apr, 2026",837.20,Jun 23 | 15:59
NIFTY 500,BT,FM,Stock,Very Bearish,"18,020.00",-13.16,"23 Apr, 2026","20,750.00",Jun 23 | 15:59
NIFTY 500,DCM02,DCM Shriram,Stock,Very Bearish,"1,033.70",-12.71,"13 May, 2026","1,184.20",Jun 23 | 15:50
NIFTY 500,NP01,Natco Pharma,Stock,Bearish,892.90,-12.11,"29 May, 2026","1,015.90",Jun 23 | 15:59
NIFTY 500,HEG,HEG,Stock,Very Bearish,532.45,-8.91,"25 May, 2026",584.55,Jun 23 | 15:56
NIFTY 500,OSPL,OneSource Spec,Stock,Very Bearish,"1,567.80",-8.60,"09 Jun, 2026","1,715.40",Jun 23 | 15:54
NIFTY 500,JS07,Jindal Stainles,Stock,Very Bearish,691.40,-8.40,"08 May, 2026",754.80,Jun 23 | 15:57
NIFTY 500,BSL06,Brainbees Solu,Stock,Very Bearish,217.17,-8.32,"04 May, 2026",236.89,Jun 23 | 15:59
NIFTY 500,ES07,eClerx Services,Stock,Very Bearish,"1,384.50",-8.18,"29 May, 2026","1,507.80",Jun 23 | 15:55
NIFTY 500,OCL,Dalmia Bharat,Stock,Very Bearish,"1,680.60",-7.84,"08 May, 2026","1,823.60",Jun 23 | 15:58
NIFTY 500,SIL22,SignatureGlobal,Stock,Very Bearish,778.40,-7.44,"18 May, 2026",841.00,Jun 23 | 15:59
NIFTY 500,JI12,Jubilant Ing.,Stock,Very Bearish,629.90,-7.43,"27 May, 2026",680.45,Jun 23 | 15:59
NIFTY 500,HC07,Hind Copper,Stock,Very Bearish,500.25,-7.14,"29 May, 2026",538.70,Jun 23 | 15:59
NIFTY 500,HSA01,Bayer CropScien,Stock,Very Bearish,"4,195.20",-6.97,"29 May, 2026","4,509.50",Jun 23 | 15:54
NIFTY 500,SUMIC54292,SUMITOMO,Stock,Very Bearish,433.65,-6.60,"17 Jun, 2026",464.30,Jun 23 | 15:59
NIFTY 500,WI,Whirlpool,Stock,Bearish,805.45,-6.54,"12 May, 2026",861.80,Jun 23 | 15:58
NIFTY 500,LTO,LT Foods,Stock,Very Bearish,379.10,-6.51,"12 May, 2026",405.50,Jun 23 | 15:59
NIFTY 500,GI13,Graphite India,Stock,Very Bearish,630.00,-6.27,"08 Jun, 2026",672.15,Jun 23 | 15:58
NIFTY 500,DN,Deepak Nitrite,Stock,Very Bearish,"1,637.90",-6.19,"25 May, 2026","1,745.90",Jun 23 | 15:59
NIFTY 500,NGE,NTPC Green Ener,Stock,Very Bearish,95.73,-6.17,"25 May, 2026",102.02,Jun 23 | 15:59
NIFTY 500,II21,Ircon Internati,Stock,Very Bearish,136.45,-5.22,"12 May, 2026",143.96,Jun 23 | 15:59
NIFTY 500,PFR,Aditya Birla F,Stock,Very Bearish,59.53,-5.15,"01 Jun, 2026",62.76,Jun 23 | 15:59
NIFTY 500,MSW,Motherson SWI,Stock,Very Bearish,37.81,-5.00,"12 May, 2026",39.80,Jun 23 | 15:59
NIFTY 500,GPI7,Godawari Power,Stock,Very Bearish,271.75,-4.78,"26 May, 2026",285.40,Jun 23 | 15:53
NIFTY 500,SIL25,Sagility,Stock,Bearish,40.01,-4.74,"15 May, 2026",42.00,Jun 23 | 15:57
NIFTY 500,CIS01,C E Info,Stock,Bearish,871.70,-4.41,"20 May, 2026",911.95,Jun 23 | 15:56
NIFTY 500,RAS,Sarda Energy,Stock,Very Bearish,521.85,-4.19,"15 May, 2026",544.70,Jun 23 | 15:59
NIFTY 500,ABL06,Aditya Birla Li,Stock,Very Bearish,97.26,-4.10,"13 May, 2026",101.42,Jun 23 | 15:53
NIFTY 500,LTS,L&T Technology,Stock,Very Bearish,"3,324.40",-4.10,"14 May, 2026","3,466.60",Jun 23 | 15:59
NIFTY 500,P,Pfizer,Stock,Very Bearish,"4,497.00",-4.07,"20 May, 2026","4,687.60",Jun 23 | 15:56
NIFTY 500,NVC,Nuvoco Vistas,Stock,Very Bearish,307.70,-3.59,"05 Jun, 2026",319.15,Jun 23 | 15:59
NIFTY 500,GIC12,General Insuran,Stock,Very Bearish,367.80,-3.22,"10 Jun, 2026",380.05,Jun 23 | 15:59
NIFTY 500,BLS,BLS Internation,Stock,Bearish,262.30,-3.14,"12 May, 2026",270.80,Jun 23 | 15:59
NIFTY 500,RP,Reliance Power,Stock,Very Bearish,25.85,-3.07,"10 Jun, 2026",26.67,Jun 23 | 15:59
NIFTY 500,II22,Indiamart Inter,Stock,Bearish,"1,993.40",-2.78,"22 Jun, 2026","2,050.40",Jun 23 | 15:59
NIFTY 500,KP,Abbott India,Stock,Very Bearish,"25,570.00",-2.76,"02 Jun, 2026","26,295.00",Jun 23 | 15:59
NIFTY 500,BEM,BEML,Stock,Very Bearish,"1,740.60",-2.66,"15 May, 2026","1,788.10",Jun 23 | 15:58
NIFTY 500,LVA,Latent View,Stock,Very Bearish,292.50,-2.55,"08 Jun, 2026",300.15,Jun 23 | 15:59
NIFTY 500,HTL03,Hexaware Tech,Stock,Very Bearish,486.40,-2.46,"12 Jun, 2026",498.65,Jun 23 | 15:59
NIFTY 500,ARI02,Anupam,Stock,Very Bearish,"1,270.70",-2.40,"08 Jun, 2026","1,302.00",Jun 23 | 15:59
NIFTY 500,ACC,ACC,Stock,Very Bearish,"1,329.40",-2.25,"01 Jun, 2026","1,360.00",Jun 23 | 15:55
NIFTY 500,A06,Atul,Stock,Very Bearish,"6,507.00",-2.02,"02 Jun, 2026","6,641.00",Jun 23 | 15:49
NIFTY 500,FS07,Firstsource Sol,Stock,Very Bearish,242.35,-1.88,"11 Jun, 2026",247.00,Jun 23 | 15:59
NIFTY 500,S14,SJVN,Stock,Bearish,72.96,-1.74,"12 May, 2026",74.25,Jun 23 | 15:59
