scid,broker_count,buy_count,hold_count,sell_count,stkname,stockShortName,cmp,change,perChange,profitPotential,stk_url,exchange,targets,targetBarColor,targetPiceLineData,targetBarColorClass,min_target_price,max_target_price,avg_target_price,total_target_price,brokers
UTI10,10,9,1,0,Axis Bank,Axis Bank,1243.20,0.50,0.04,18.7,banks-private-sector/axisbank/AB16,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1243.2, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1270, 'percentages': 2.1, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1476.7, 'percentages': 18.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1622, 'percentages': 30.4, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 30.46, 'minRangePer': 7.05, 'maxRanegPer': 61.65, 'rangeDiffPer': 54.6, 'mindiff_total': 2.15, 'maxdiff_total': 18.78}",#52B974,,,,,
IT,9,8,0,1,Infosys,Infosys,1020.50,-8.90,-0.86,46.8,computers-software/infosys/IT,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 940, 'percentages': -7.8, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1020.5, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1426.6, 'percentages': 39.7, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1830, 'percentages': 79.3, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 94.68, 'minRangePer': 9.04, 'maxRanegPer': 54.66, 'rangeDiffPer': 45.62, 'mindiff_total': 8.56, 'maxdiff_total': 51.76}",#52B974,,,,,
HDF01,6,6,0,0,HDFC Bank,HDFC Bank,737.25,-1.35,-0.18,89.3,banks-private-sector/hdfcbank/HDF01,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 737.25, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 920, 'percentages': 24.7, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 961.8, 'percentages': 30.4, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1011, 'percentages': 37.1, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 37.13, 'minRangePer': 66.73, 'maxRanegPer': 82, 'rangeDiffPer': 15.26, 'mindiff_total': 24.78, 'maxdiff_total': 30.45}",#52B974,,,,,
PS15,9,7,1,1,Persistent Systems,Persistent,5240.00,-126.00,-2.35,13.1,computers-software/persistentsystems/PS15,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 5000, 'percentages': -4.5, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 5240, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 5930.6, 'percentages': 13.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 6600, 'percentages': 25.9, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 32, 'minRangePer': 15, 'maxRanegPer': 58.15, 'rangeDiffPer': 43.15, 'mindiff_total': 4.8, 'maxdiff_total': 18.61}",#52B974,,,,,
MU01,9,8,0,1,Maruti Suzuki India,Maruti Suzuki,12230.00,40.00,0.33,31.8,auto-carsjeeps/marutisuzukiindia/MS24,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 12230, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 13350, 'percentages': 9.1, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 16130.6, 'percentages': 31.8, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 19000, 'percentages': 55.3, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 55.35, 'minRangePer': 16.53, 'maxRanegPer': 57.61, 'rangeDiffPer': 41.08, 'mindiff_total': 9.15, 'maxdiff_total': 31.89}",#52B974,,,,,
ICI02,8,8,0,0,ICICI Bank,ICICI Bank,1340.00,0.40,0.03,27.1,banks-private-sector/icicibank/ICI02,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 1340, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 1559, 'percentages': 16.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1704.3, 'percentages': 27.1, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1850, 'percentages': 38, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 38.05, 'minRangePer': 42.94, 'maxRanegPer': 71.43, 'rangeDiffPer': 28.49, 'mindiff_total': 16.34, 'maxdiff_total': 27.18}",#52B974,,,,,
BE03,8,8,0,0,Bharat Electronics,Bharat Elec,396.05,-1.85,-0.46,19.9,aerospacedefence/bharatelectronics/BE03,N,"[{'id': 'cmp', 'name': 'Current Price', 'value': 396.05, 'percentages': '', 'color': 'white'}, {'id': 'min_target_price', 'name': 'Low', 'value': 420, 'percentages': 6, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 475.2, 'percentages': 19.9, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 530, 'percentages': 33.8, 'color': 'green'}]","{'background': 'grey', 'position': 'left', 'color': 'green', 'colorFillPercentages': 75, 'greyLeftPercentage': 0, 'greyRightPercentage': 25}","{'totalPercentages': 33.82, 'minRangePer': 17.85, 'maxRanegPer': 59.07, 'rangeDiffPer': 41.22, 'mindiff_total': 6.04, 'maxdiff_total': 19.98}",#52B974,,,,,
FB,8,7,1,0,Federal Bank,Federal Bank,331.30,4.30,1.31,-9.1,banks-private-sector/federalbank/FB,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 199, 'percentages': -39.9, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 301, 'percentages': -9.1, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 331.3, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 419, 'percentages': 26.4, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 110.55, 'minRangePer': 46.35, 'maxRanegPer': 60.13, 'rangeDiffPer': 13.78, 'mindiff_total': 51.25, 'maxdiff_total': 66.48}",#E3515C,,,,,
TM4,8,6,1,1,Tech Mahindra,Tech Mahindra,1557.00,5.40,0.35,12.5,computers-software/techmahindra/TM4,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 1450, 'percentages': -6.8, 'color': 'red'}, {'id': 'cmp', 'name': 'Current Price', 'value': 1557, 'percentages': '', 'color': 'white'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 1752.3, 'percentages': 12.5, 'color': 'blue'}, {'id': 'max_target_price', 'name': 'High', 'value': 1964, 'percentages': 26.1, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'green', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 35.44, 'minRangePer': 20.79, 'maxRanegPer': 58.8, 'rangeDiffPer': 38.01, 'mindiff_total': 7.37, 'maxdiff_total': 20.84}",#52B974,,,,,
IIB,8,2,5,1,IndusInd Bank,IndusInd Bank,959.30,4.30,0.45,-6.0,banks-private-sector/indusindbank/IIB,N,"[{'id': 'min_target_price', 'name': 'Low', 'value': 687, 'percentages': -28.3, 'color': 'red'}, {'id': 'avg_target_price', 'name': 'Average', 'value': 901.5, 'percentages': -6, 'color': 'blue'}, {'id': 'cmp', 'name': 'Current Price', 'value': 959.3, 'percentages': '', 'color': 'white'}, {'id': 'max_target_price', 'name': 'High', 'value': 1150, 'percentages': 19.8, 'color': 'green'}]","{'background': 'grey', 'position': 'center', 'color': 'red', 'colorFillPercentages': 50, 'greyLeftPercentage': 25, 'greyRightPercentage': 25}","{'totalPercentages': 67.39, 'minRangePer': 46.32, 'maxRanegPer': 58.8, 'rangeDiffPer': 12.47, 'mindiff_total': 31.22, 'maxdiff_total': 39.63}",#E3515C,,,,,
