Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,Z01,Eternal,Stock,Very Bullish,327.15,29.00,"16 Jun, 2026",253.60,Aug 24 | 15:59
NIFTY 50,TI01,Titan Company,Stock,Very Bullish,"5,079.00",18.57,"15 Jun, 2026","4,283.50",Aug 24 | 15:58
NIFTY 50,BA06,Bajaj Auto,Stock,Very Bullish,"11,800.00",17.57,"06 Jul, 2026","10,036.50",Aug 24 | 15:58
NIFTY 50,STF,Shriram Finance,Stock,Very Bullish,"1,119.00",11.83,"15 Jun, 2026","1,000.65",Aug 24 | 15:59
NIFTY 50,H,Hindalco,Stock,Very Bullish,"1,058.50",9.08,"30 Jul, 2026",970.40,Aug 24 | 15:58
NIFTY 50,EM,Eicher Motors,Stock,Very Bullish,"8,047.00",8.68,"15 Jul, 2026","7,404.50",Aug 24 | 15:55
NIFTY 50,MM,M&M,Stock,Bullish,"3,414.10",7.39,"17 Jul, 2026","3,179.20",Aug 24 | 15:56
NIFTY 50,JVS,JSW Steel,Stock,Very Bullish,"1,327.00",5.57,"20 Jul, 2026","1,257.00",Aug 24 | 15:58
NIFTY 50,LT,Larsen,Stock,Very Bullish,"4,090.00",3.84,"31 Jul, 2026","3,938.90",Aug 24 | 15:57
NIFTY 50,KMF,Kotak Mahindra,Stock,Very Bullish,401.45,1.03,"20 Aug, 2026",397.35,Aug 24 | 15:57
NIFTY 50,GI01,Grasim,Stock,Very Bullish,"3,288.00",0.86,"03 Aug, 2026","3,260.00",Aug 24 | 15:53
NIFTY 50,HSL01,HDFC Life,Stock,Bullish,552.95,0.00,"24 Aug, 2026",552.95,Aug 24 | 15:58
NIFTY BANK,IDF01,IDFC First Bank,Stock,Very Bullish,85.89,23.65,"25 May, 2026",69.46,Aug 24 | 15:59
NIFTY BANK,FB,Federal Bank,Stock,Very Bullish,357.75,23.40,"20 May, 2026",289.90,Aug 24 | 15:57
NIFTY BANK,IIB,IndusInd Bank,Stock,Very Bullish,"1,018.40",21.22,"15 Apr, 2026",840.10,Aug 24 | 15:58
NIFTY BANK,UBI01,Union Bank,Stock,Very Bullish,183.60,7.75,"13 Jul, 2026",170.39,Aug 24 | 15:59
NIFTY BANK,ASF03,AU Small Financ,Stock,Very Bullish,"1,114.00",5.87,"27 Jul, 2026","1,052.20",Aug 24 | 15:59
NIFTY BANK,PNB05,PNB,Stock,Bullish,115.86,3.67,"20 Jul, 2026",111.76,Aug 24 | 15:58
NIFTY MIDCAP100,LL06,Laurus Labs,Stock,Bullish,"1,801.00",73.37,"01 Apr, 2026","1,038.80",Aug 24 | 15:58
NIFTY MIDCAP100,RK01,Radico Khaitan,Stock,Bullish,"4,600.00",64.72,"10 Apr, 2026","2,792.70",Aug 24 | 15:50
NIFTY MIDCAP100,OC10,One 97 Comm,Stock,Very Bullish,"1,623.50",44.34,"25 Jun, 2026","1,124.80",Aug 24 | 15:58
NIFTY MIDCAP100,KJI01,Kalyan Jeweller,Stock,Very Bullish,607.95,37.23,"09 Jul, 2026",443.00,Aug 24 | 15:57
NIFTY MIDCAP100,IEI01,Info Edge,Stock,Very Bullish,"1,349.00",31.46,"02 Jul, 2026","1,026.15",Aug 24 | 15:56
NIFTY MIDCAP100,DT07,Dixon Technolog,Stock,Very Bullish,"14,570.00",29.42,"21 May, 2026","11,258.00",Aug 24 | 15:57
NIFTY MIDCAP100,LSL,Lenskart Solu,Stock,Bullish,659.75,27.61,"22 Jun, 2026",517.00,Aug 24 | 15:59
NIFTY MIDCAP100,NII02,COFORGE,Stock,Very Bullish,"1,873.00",22.55,"27 Jul, 2026","1,528.40",Aug 24 | 15:58
NIFTY MIDCAP100,FEV,FSN E-Com (Nyka,Stock,Bullish,330.30,20.77,"12 Jun, 2026",273.50,Aug 24 | 15:59
NIFTY MIDCAP100,JF04,Jubilant Food,Stock,Very Bullish,507.90,15.41,"29 Jul, 2026",440.10,Aug 24 | 15:59
NIFTY MIDCAP100,ABC07,AB Capital,Stock,Very Bullish,412.90,15.30,"12 Jun, 2026",358.10,Aug 24 | 15:59
NIFTY MIDCAP100,HHM,Hero Motocorp,Stock,Bullish,"5,685.00",12.93,"21 Jul, 2026","5,034.10",Aug 24 | 15:54
NIFTY MIDCAP100,MCE,MCX India,Stock,Very Bullish,"3,268.00",12.88,"11 Aug, 2026","2,895.00",Aug 24 | 15:59
NIFTY MIDCAP100,PS15,Persistent,Stock,Very Bullish,"5,694.00",12.67,"10 Jul, 2026","5,053.90",Aug 24 | 15:59
NIFTY MIDCAP100,BT09,APL Apollo,Stock,Very Bullish,"2,145.00",10.48,"03 Aug, 2026","1,941.50",Aug 24 | 15:51
NIFTY MIDCAP100,MOF01,Motilal Oswal,Stock,Very Bullish,990.00,9.55,"14 Aug, 2026",903.70,Aug 24 | 15:56
NIFTY MIDCAP100,NAC,NALCO,Stock,Very Bullish,403.30,9.30,"03 Aug, 2026",369.00,Aug 24 | 15:57
NIFTY MIDCAP100,OI13,Oil India,Stock,Very Bullish,477.00,9.10,"15 Jul, 2026",437.20,Aug 24 | 15:59
NIFTY MIDCAP100,PF15,PB Fintech,Stock,Very Bullish,"1,785.00",8.18,"03 Aug, 2026","1,650.00",Aug 24 | 15:52
NIFTY MIDCAP100,LFH,L&T Finance,Stock,Very Bullish,315.85,7.71,"15 Jun, 2026",293.25,Aug 24 | 15:58
NIFTY MIDCAP100,LEI,LG Electronics ,Stock,Very Bullish,"1,664.20",6.01,"03 Aug, 2026","1,569.80",Aug 24 | 15:59
NIFTY MIDCAP100,SL23,Swiggy,Stock,Bullish,284.25,5.88,"28 Jul, 2026",268.47,Aug 24 | 15:59
NIFTY MIDCAP100,GP08,Glenmark,Stock,Very Bullish,"2,390.70",5.83,"05 Aug, 2026","2,259.00",Aug 24 | 15:59
NIFTY MIDCAP100,IIFLW54277,360 ONE WAM,Stock,Very Bullish,"1,189.80",5.04,"27 Jul, 2026","1,132.70",Aug 24 | 15:58
NIFTY MIDCAP100,APT02,Astral Ltd,Stock,Very Bullish,"1,532.80",4.70,"12 Aug, 2026","1,464.00",Aug 24 | 15:54
NIFTY MIDCAP100,BDL01,Bharat Dynamics,Stock,Very Bullish,"1,368.00",4.43,"10 Aug, 2026","1,310.00",Aug 24 | 15:58
NIFTY MIDCAP100,AL,Ashok Leyland,Stock,Bullish,173.29,4.28,"31 Jul, 2026",166.18,Aug 24 | 16:00
NIFTY MIDCAP100,IC8,Vodafone Idea,Stock,Very Bullish,14.07,4.22,"12 Aug, 2026",13.50,Aug 24 | 15:59
NIFTY MIDCAP100,S11,Oracle Fin Serv,Stock,Bullish,"11,518.00",3.87,"27 Jul, 2026","11,089.00",Aug 24 | 15:58
NIFTY MIDCAP100,APP03,Hitachi Energy,Stock,Bullish,"33,840.00",3.80,"07 Aug, 2026","32,600.00",Aug 24 | 15:58
NIFTY MIDCAP100,SAI,SAIL,Stock,Very Bullish,179.65,3.51,"04 Aug, 2026",173.55,Aug 24 | 15:59
NIFTY MIDCAP100,SI48,Supreme Ind,Stock,Very Bullish,"3,601.00",3.50,"29 Jul, 2026","3,479.30",Aug 24 | 15:55
NIFTY MIDCAP100,IB04,Indian Bank,Stock,Bullish,870.45,3.01,"03 Aug, 2026",845.00,Aug 24 | 15:59
NIFTY MIDCAP100,CS17,Cochin Shipyard,Stock,Very Bullish,"1,514.00",1.61,"06 Aug, 2026","1,490.00",Aug 24 | 15:59
NIFTY MIDCAP100,OR,Oberoi Realty,Stock,Very Bullish,"1,870.00",1.30,"13 Aug, 2026","1,846.00",Aug 24 | 15:51
NIFTY MIDCAP100,MRF,MRF,Stock,Very Bullish,"134,365.00",0.66,"14 Aug, 2026","133,490.00",Aug 24 | 15:57
NIFTY MIDCAP100,SCP03,SBI Card,Stock,Bullish,650.30,0.50,"20 Aug, 2026",647.05,Aug 24 | 15:58
NIFTY MIDCAP100,PEP02,Prestige Estate,Stock,Bullish,"1,635.80",0.29,"21 Aug, 2026","1,631.00",Aug 24 | 15:55
NIFTY MIDCAP100,NMD01,NMDC,Stock,Bullish,85.90,0.00,"24 Aug, 2026",85.90,Aug 24 | 15:59
NIFTY MIDCAP100,VMML,Vishal Mega Mar,Stock,Bullish,113.50,0.00,"24 Aug, 2026",113.50,Aug 24 | 15:59
NIFTY MIDCAP100,KEI,KEI Industries,Stock,Bullish,"5,494.00",-0.11,"04 Aug, 2026","5,500.00",Aug 24 | 15:56
NIFTY MIDCAP100,IPA02,ICICIAMC,Stock,Very Bullish,"3,230.00",-0.95,"19 Aug, 2026","3,260.90",Aug 24 | 15:58
NIFTY MIDCAP100,TIIND54076,Tube Investment,Stock,Bullish,"2,880.00",-2.67,"18 Aug, 2026","2,959.00",Aug 24 | 15:58
NIFTY NEXT 50,MD04,Lodha Developer,Stock,Very Bullish,"1,258.40",36.66,"15 Jun, 2026",920.85,Aug 24 | 15:57
NIFTY NEXT 50,MIC,Bosch,Stock,Very Bullish,"48,100.00",31.33,"29 May, 2026","36,625.00",Aug 24 | 15:50
NIFTY NEXT 50,DL03,Divis Labs,Stock,Bullish,"8,496.00",25.74,"03 Jul, 2026","6,757.00",Aug 24 | 15:50
NIFTY NEXT 50,TVS,TVS Motor,Stock,Bullish,"4,363.50",25.08,"22 Jun, 2026","3,488.70",Aug 24 | 15:50
NIFTY NEXT 50,MC08,United Spirits,Stock,Very Bullish,"1,555.00",19.71,"16 Jun, 2026","1,299.00",Aug 24 | 15:59
NIFTY NEXT 50,CIF01,Chola Invest.,Stock,Bullish,"1,846.70",17.77,"12 Jun, 2026","1,568.10",Aug 24 | 15:52
NIFTY NEXT 50,MSS01,MOTHERSON,Stock,Very Bullish,169.00,17.22,"17 Jul, 2026",144.17,Aug 24 | 15:59
NIFTY NEXT 50,PI11,Pidilite Ind,Stock,Bullish,"1,660.00",16.78,"06 May, 2026","1,421.50",Aug 24 | 15:57
NIFTY NEXT 50,TML02,Tata Motors Com,Stock,Very Bullish,475.05,14.00,"28 Jul, 2026",416.70,Aug 24 | 15:59
NIFTY NEXT 50,S,Siemens,Stock,Very Bullish,"4,114.00",12.48,"16 Jul, 2026","3,657.60",Aug 24 | 15:59
NIFTY NEXT 50,HMI01,Hyundai Motor,Stock,Very Bullish,"2,207.00",11.21,"27 Jul, 2026","1,984.60",Aug 24 | 15:55
NIFTY NEXT 50,HAL,Hindustan Aeron,Stock,Very Bullish,"4,906.00",9.99,"17 Jun, 2026","4,460.50",Aug 24 | 15:59
NIFTY NEXT 50,SE20,Solar Ind,Stock,Very Bullish,"19,925.00",9.26,"10 Jul, 2026","18,236.00",Aug 24 | 15:57
