pattern_id,userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,p_status,is_closed,is_deleted,end_date,updated_at,created_at,meta_data,analyst_name,analyst_image,updated_at_epoch,created_at_epoch,chartType,displayLock,scanproflg
1890,21,equity,Divis Laboratories,nse,Rectangle Pattern,Bullish Breakout,30 mins,DL03,Closed,Y,0,1970-01-01,2026-09-24 15:08:54,2026-09-23 13:55:19,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Divis Laboratories"",""sc_symbol"":""DIVISLAB"",""sc_scripcode"":""532488"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""9499.50"",""pattern_type"":""buy"",""cmp"":""9627.50"",""price_key"":""stk_DL03_N"",""target_price"":null,""target_return_prcnt"":""1.85"",""stoploss_price"":null,""stoploss_prcnt"":""0.76"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179015191729.png""},""rationale"":""After a rally, price moved sideways forming a rectangle pattern. A breakout above resistance indicates bullish continuation."",""action_type"":""add"",""created_at"":""2026-09-23 13:55:19"",""updated_at"":""2026-09-23 13:55:19""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179015191729.png""},""rationale"":""1.85% up"",""action_type"":""close"",""created_at"":""2026-09-24 15:08:54"",""updated_at"":""2026-09-24 15:08:54""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790242734,1790151919,mc_pro_plus,N,3
1878,21,equity,HDFC Life Insurance Company,nse,Falling Trendline,Bullish Reversal,1 day,HSL01,Closed,Y,0,1970-01-01,2026-09-24 09:25:08,2026-09-18 10:49:34,"{""chart_type"":""mc_pro_plus"",""sc_name"":""HDFC Life Insurance Company"",""sc_symbol"":""HDFCLIFE"",""sc_scripcode"":""540777"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""559.65"",""pattern_type"":""buy"",""cmp"":""524.60"",""price_key"":""stk_HSL01_N"",""target_price"":null,""target_return_prcnt"":""10.43"",""stoploss_price"":null,""stoploss_prcnt"":""5.48"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178970877250.png""},""rationale"":""Price formed a lower high and lower low structure. A breakout above this indicates bullish trend ahead."",""action_type"":""add"",""created_at"":""2026-09-18 10:49:34"",""updated_at"":""2026-09-18 10:49:34""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178970877250.png""},""rationale"":""Negated!"",""action_type"":""close"",""created_at"":""2026-09-24 09:25:08"",""updated_at"":""2026-09-24 09:25:08""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790222108,1789708774,mc_pro_plus,N,3
1881,21,equity,Aegis Logistics,nse,Rectangle Pattern,Bullish Continuation,2 hours,AC02,Closed,Y,0,1970-01-01,2026-09-23 15:05:34,2026-09-21 12:25:30,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Aegis Logistics"",""sc_symbol"":""AEGISLOG"",""sc_scripcode"":""500003"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1461.00"",""pattern_type"":""buy"",""cmp"":""1398.30"",""price_key"":""stk_AC02_N"",""target_price"":null,""target_return_prcnt"":""12.39"",""stoploss_price"":null,""stoploss_prcnt"":""4.38"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178997372826.png""},""rationale"":""After a rally, price moved sideways for a few weeks. Now it has broken above the resistance showing bullish continuation."",""action_type"":""add"",""created_at"":""2026-09-21 12:25:30"",""updated_at"":""2026-09-21 12:25:30""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178997372826.png""},""rationale"":""Negated!"",""action_type"":""close"",""created_at"":""2026-09-23 15:05:34"",""updated_at"":""2026-09-23 15:05:34""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790156134,1789973730,mc_pro_plus,N,3
1846,21,equity,Manappuram Finance,nse,Rising Channel,Bearish Breakdown,1 day,MGF01,Closed,Y,0,1970-01-01,2026-09-23 14:17:48,2026-09-07 15:17:16,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Manappuram Finance"",""sc_symbol"":""MANAPPURAM"",""sc_scripcode"":""531213"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""325.30"",""pattern_type"":""sell"",""cmp"":""320.55"",""price_key"":""stk_MGF01_N"",""target_price"":null,""target_return_prcnt"":""13.00"",""stoploss_price"":null,""stoploss_prcnt"":""5.75"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178877443416.png""},""rationale"":""Price was moving in a rising channel showing bullish phase, but now it has shown a breakdown showing bears are gaining control."",""action_type"":""add"",""created_at"":""2026-09-07 15:17:16"",""updated_at"":""2026-09-07 15:17:37""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178877443416.png""},""rationale"":""1.53%_ Not moving as expected."",""action_type"":""close"",""created_at"":""2026-09-23 14:17:48"",""updated_at"":""2026-09-23 14:17:48""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790153268,1788774436,mc_pro_plus,N,3
1842,21,equity,Astra Microwave Products,nse,Falling Channel,Breakout Retest,1 hour,AMP01,Closed,Y,0,1970-01-01,2026-09-23 14:10:57,2026-09-07 10:00:58,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Astra Microwave Products"",""sc_symbol"":""ASTRAMICRO"",""sc_scripcode"":""532493"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1733.90"",""pattern_type"":""buy"",""cmp"":""1600.50"",""price_key"":""stk_AMP01_N"",""target_price"":null,""target_return_prcnt"":""3.81"",""stoploss_price"":null,""stoploss_prcnt"":""1.84"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178875545641.png""},""rationale"":""A falling channel breakout retest indicates that buyers are gaining momentum at this level."",""action_type"":""add"",""created_at"":""2026-09-07 10:00:58"",""updated_at"":""2026-09-07 10:00:58""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178875545641.png""},""rationale"":""Negated!"",""action_type"":""close"",""created_at"":""2026-09-23 14:10:57"",""updated_at"":""2026-09-23 14:10:57""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790152857,1788755458,mc_pro_plus,N,3
1841,21,equity,Jindal Steel,nse,Rising Trendline,Reversal From Support,2 hours,JSP,Closed,Y,0,1970-01-01,2026-09-23 12:56:26,2026-09-04 15:29:17,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Jindal Steel"",""sc_symbol"":""JINDALSTEL"",""sc_scripcode"":""532286"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1163.80"",""pattern_type"":""buy"",""cmp"":""1173.00"",""price_key"":""stk_JSP_N"",""target_price"":null,""target_return_prcnt"":""4.06"",""stoploss_price"":null,""stoploss_prcnt"":""2.73"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178851595624.png""},""rationale"":""Price is respecting a rising trendline as support and rebounding from it, signalling a potential bullish reversal."",""action_type"":""add"",""created_at"":""2026-09-04 15:29:17"",""updated_at"":""2026-09-04 15:29:17""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178851595624.png""},""rationale"":""Negated!"",""action_type"":""close"",""created_at"":""2026-09-23 12:56:26"",""updated_at"":""2026-09-23 12:56:26""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790148386,1788515957,mc_pro_plus,N,3
1867,21,equity,L&T Finance,nse,Confluence of Support,Demand Zone,1 hour,LFH,Closed,Y,0,1970-01-01,2026-09-23 12:52:31,2026-09-15 12:25:42,"{""chart_type"":""mc_pro_plus"",""sc_name"":""L&T Finance"",""sc_symbol"":""LTF"",""sc_scripcode"":""533519"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""300.05"",""pattern_type"":""buy"",""cmp"":""309.05"",""price_key"":""stk_LFH_N"",""target_price"":null,""target_return_prcnt"":""6.65"",""stoploss_price"":null,""stoploss_prcnt"":""5.02"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178945534013.png""},""rationale"":""The multiple horizontal and rising trendline indicates demand zone."",""action_type"":""add"",""created_at"":""2026-09-15 12:25:42"",""updated_at"":""2026-09-15 12:25:42""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178945534013.png""},""rationale"":""3% up"",""action_type"":""close"",""created_at"":""2026-09-23 12:52:31"",""updated_at"":""2026-09-23 12:52:31""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790148151,1789455342,mc_pro_plus,N,3
1872,21,equity,PB Fintech,nse,Horizontal Resistance,Breakout Retest,4 hours,PF15,Closed,Y,0,1970-01-01,2026-09-23 12:49:37,2026-09-16 12:16:29,"{""chart_type"":""mc_pro_plus"",""sc_name"":""PB Fintech"",""sc_symbol"":""POLICYBZR"",""sc_scripcode"":""543390"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1750.40"",""pattern_type"":""buy"",""cmp"":""1836.30"",""price_key"":""stk_PF15_N"",""target_price"":null,""target_return_prcnt"":""7.12"",""stoploss_price"":null,""stoploss_prcnt"":""2.71"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178954118791.png""},""rationale"":""Price breaks above horizontal resistance and successfully retests the breakout zone, signalling a potential bullish continuation."",""action_type"":""add"",""created_at"":""2026-09-16 12:16:29"",""updated_at"":""2026-09-16 12:16:29""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178954118791.png""},""rationale"":""5% up move."",""action_type"":""close"",""created_at"":""2026-09-23 12:49:37"",""updated_at"":""2026-09-23 12:49:37""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790147977,1789541189,mc_pro_plus,N,3
1875,21,equity,Interglobe Aviation,nse,Horizontal Zone,Gap Fill,4 hours,IA05,Closed,Y,0,1970-01-01,2026-09-23 12:47:36,2026-09-17 12:31:38,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Interglobe Aviation"",""sc_symbol"":""INDIGO"",""sc_scripcode"":""539448"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""4845.50"",""pattern_type"":""buy"",""cmp"":""5041.00"",""price_key"":""stk_IA05_N"",""target_price"":null,""target_return_prcnt"":""8.82"",""stoploss_price"":null,""stoploss_prcnt"":""2.92"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178962849761.png""},""rationale"":""Price filled a previous gap up and now has indicated a reversal signal."",""action_type"":""add"",""created_at"":""2026-09-17 12:31:38"",""updated_at"":""2026-09-17 12:31:38""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178962849761.png""},""rationale"":""4% up"",""action_type"":""close"",""created_at"":""2026-09-23 12:47:36"",""updated_at"":""2026-09-23 12:47:36""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790147856,1789628498,mc_pro_plus,N,3
1800,21,equity,Oracle Financial Services Software,nse,Horizontal Trendline,Bullish Breakout,2 hours,S11,Closed,Y,0,1970-01-01,2026-09-23 12:39:18,2026-08-26 10:31:24,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Oracle Financial Services Software"",""sc_symbol"":""OFSS"",""sc_scripcode"":""532466"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""12033.00"",""pattern_type"":""buy"",""cmp"":""10917.00"",""price_key"":""stk_S11_N"",""target_price"":null,""target_return_prcnt"":""8.12"",""stoploss_price"":null,""stoploss_prcnt"":""5.13"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178772048282.png""},""rationale"":""Price has broken above the horizontal trendline resistance, Indicating a bullish breakout and signaling strengthening buying momentum."",""action_type"":""add"",""created_at"":""2026-08-26 10:31:24"",""updated_at"":""2026-08-26 10:31:24""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178772048282.png""},""rationale"":""Negated!"",""action_type"":""close"",""created_at"":""2026-09-23 12:39:18"",""updated_at"":""2026-09-23 12:39:18""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790147358,1787720484,mc_pro_plus,N,3
