userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,is_closed,is_deleted,end_date,meta_data,p_status,pattern_id,analyst_name,analyst_image,updated_at,created_at,updated_at_epoch,created_at_epoch,sc_name,symbol,chartType,displayLock,scanproflg
21,,,nse,Rising Trendline,Reversal From Support,4 hours,,N,0,2026-09-25,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""24325.00"",""pattern_type"":""buy"",""cmp"":""24325.00"",""price_key"":""stk_SC12_N"",""target_price"":""26930"",""target_return_prcnt"":""10.71"",""stoploss_price"":""23820"",""stoploss_prcnt"":""2.08"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178764891124.png""},""rationale"":""Price has reversed from rising trendline support, while MACD turns bullish, signaling renewed buying momentum and potential trend reversal."",""action_type"":""add"",""created_at"":""2026-08-25 14:38:33"",""updated_at"":""2026-08-25 14:38:33""}]}",New,1798,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-25 14:38:33,2026-08-25 14:38:33,1787648913,1787648913,,,mc_pro_plus,Y,3
21,,,nse,Symmetrical Triangle,Bullish Reversal,1 day,,N,0,2026-09-25,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""203.18"",""pattern_type"":""buy"",""cmp"":""203.18"",""price_key"":""stk_AW01_N"",""target_price"":""228"",""target_return_prcnt"":""12.22"",""stoploss_price"":""193"",""stoploss_prcnt"":""5.01"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178764695644.png""},""rationale"":""The Symmetrical Triangle has broken above resistance with rising volume, confirming strong buying interest and supporting a bullish breakout."",""action_type"":""add"",""created_at"":""2026-08-25 14:05:59"",""updated_at"":""2026-08-25 14:05:59""}]}",New,1797,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-25 14:05:59,2026-08-25 14:05:59,1787646959,1787646959,,,mc_pro_plus,Y,3
21,,,nse,Symmetrical Triangle,Bullish Continuation,30 mins,,N,0,2026-09-25,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""8601.50"",""pattern_type"":""buy"",""cmp"":""8543.00"",""price_key"":""stk_DL03_N"",""target_price"":""8849"",""target_return_prcnt"":""2.88"",""stoploss_price"":""8476"",""stoploss_prcnt"":""1.46"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178763186888.png""},""rationale"":""The Symmetrical Triangle breakout shows bullish continuation, with price moving above the resistance and maintaining the broader uptrend."",""action_type"":""add"",""created_at"":""2026-08-25 09:54:30"",""updated_at"":""2026-08-25 09:54:30""}]}",New,1795,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-25 10:19:38,2026-08-25 09:54:30,1787633378,1787631870,,,mc_pro_plus,Y,3
21,,,nse,Horizontal Trendline,Resistance Breakout,1 hour,,N,0,2026-09-18,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1276.40"",""pattern_type"":""buy"",""cmp"":""1276.40"",""price_key"":""stk_MD04_N"",""target_price"":""1323"",""target_return_prcnt"":""3.65"",""stoploss_price"":""1253"",""stoploss_prcnt"":""1.83"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178763331422.png""},""rationale"":""Price has broken above the horizontal resistance, confirming a bullish breakout and signaling strengthening buying momentum."",""action_type"":""add"",""created_at"":""2026-08-25 10:18:36"",""updated_at"":""2026-08-25 10:18:36""}]}",New,1796,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-25 10:18:36,2026-08-25 10:18:36,1787633316,1787633316,,,mc_pro_plus,Y,3
21,,,nse,Rectangle Pattern,Bullish Breakout,2 hours,,N,0,2026-09-25,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""687.00"",""pattern_type"":""buy"",""cmp"":""687.00"",""price_key"":""stk_D04_N"",""target_price"":""742"",""target_return_prcnt"":""8.01"",""stoploss_price"":""658"",""stoploss_prcnt"":""4.22"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178755907487.png""},""rationale"":""The Rectangle pattern has broken above resistance, confirming a bullish breakout and signaling renewed buying momentum."",""action_type"":""add"",""created_at"":""2026-08-24 13:41:16"",""updated_at"":""2026-08-24 13:41:16""}]}",New,1794,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-24 13:41:16,2026-08-24 13:41:16,1787559076,1787559076,,,mc_pro_plus,Y,3
21,,,nse,Horizontal Trendline,Breakout Retest and Volumes,1 day,,N,0,2026-10-02,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""124.03"",""pattern_type"":""buy"",""cmp"":""123.85"",""price_key"":""stk_PL10_N"",""target_price"":""140"",""target_return_prcnt"":""12.88"",""stoploss_price"":""117"",""stoploss_prcnt"":""5.67"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178755100617.png""},""rationale"":""Price has retested the breakout level and reversed higher with strong volume, confirming the breakout and signaling renewed bullish momentum."",""action_type"":""add"",""created_at"":""2026-08-24 11:26:53"",""updated_at"":""2026-08-24 11:26:53""}]}",New,1793,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-24 11:27:15,2026-08-24 11:26:53,1787551035,1787551013,,,mc_pro_plus,Y,3
21,,,nse,Falling Trendline,Bullish Reversal,1 day,,N,0,2026-10-09,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""3165.30"",""pattern_type"":""buy"",""cmp"":""3165.30"",""price_key"":""stk_MF19_N"",""target_price"":""3589"",""target_return_prcnt"":""13.39"",""stoploss_price"":""2909"",""stoploss_prcnt"":""8.10"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178754808927.png""},""rationale"":""Price has moved above the falling trendline, signaling a potential bullish reversal as buyers regain control and momentum strengthens."",""action_type"":""add"",""created_at"":""2026-08-24 10:38:11"",""updated_at"":""2026-08-24 10:38:11""}]}",New,1792,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-24 10:38:11,2026-08-24 10:38:11,1787548091,1787548091,,,mc_pro_plus,Y,3
21,,,nse,Symmetrical Triangle,Bullish Continuation,2 hours,,N,0,2026-09-11,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""917.40"",""pattern_type"":""buy"",""cmp"":""917.40"",""price_key"":""indices_i_in;crl"",""target_price"":""940"",""target_return_prcnt"":""2.46"",""stoploss_price"":""905"",""stoploss_prcnt"":""1.35"",""ind_id"":""34"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178754485485.png""},""rationale"":""Symmetrical Triangle signals bullish continuation, while RSI above 60 confirms strong momentum and supports the prevailing uptrend."",""action_type"":""add"",""created_at"":""2026-08-24 09:44:15"",""updated_at"":""2026-08-24 09:44:15""}]}",New,1791,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-24 09:44:15,2026-08-24 09:44:15,1787544855,1787544855,,,mc_pro_plus,Y,3
21,,,nse,Symmetrical Triangle Breakout,Bullish Breakout,1 hour,,N,0,2026-09-16,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1105.40"",""pattern_type"":""buy"",""cmp"":""1105.40"",""price_key"":""stk_ASF03_N"",""target_price"":""1160"",""target_return_prcnt"":""4.94"",""stoploss_price"":""1080"",""stoploss_prcnt"":""2.30"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178729338522.png""},""rationale"":""The symmetrical triangle breakout on the north indicates bullish trend resumption."",""action_type"":""add"",""created_at"":""2026-08-21 11:53:06"",""updated_at"":""2026-08-21 11:53:06""}]}",New,1790,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-21 11:53:06,2026-08-21 11:53:06,1787293386,1787293386,,,mc_pro_plus,Y,3
21,,,nse,Bullish Divergence + Reversal Pattern,Bullish Reversal,1 hour,,N,0,2026-09-15,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""2300.10"",""pattern_type"":""buy"",""cmp"":""2300.10"",""price_key"":""stk_TCS_N"",""target_price"":""2385"",""target_return_prcnt"":""3.69"",""stoploss_price"":""2260"",""stoploss_prcnt"":""1.74"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178729146984.png""},""rationale"":""The bullish divergence on the RSI is followed by bullish reversal candlestick pattern called Hammer."",""action_type"":""add"",""created_at"":""2026-08-21 11:21:10"",""updated_at"":""2026-08-21 11:21:10""}]}",New,1789,,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,2026-08-21 11:21:10,2026-08-21 11:21:10,1787291470,1787291470,,,mc_pro_plus,Y,3
