Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,NTP,NTPC,Stock,Very Bearish,326.60,-15.59,"29 May, 2026",386.90,Sep 25 | 15:59
NIFTY 50,TEL,TMPV,Stock,Very Bearish,290.45,-13.17,"14 Aug, 2026",334.50,Sep 25 | 15:59
NIFTY 50,MU01,Maruti Suzuki,Stock,Very Bearish,"12,065.00",-12.32,"17 Aug, 2026","13,760.00",Sep 25 | 15:55
NIFTY 50,IT,Infosys,Stock,Very Bearish,"1,000.20",-11.51,"03 Sep, 2026","1,130.30",Sep 25 | 15:59
NIFTY 50,L,Trent,Stock,Very Bearish,"2,669.30",-9.39,"17 Aug, 2026","2,946.00",Sep 25 | 15:59
NIFTY 50,API,Asian Paints,Stock,Very Bearish,"2,444.00",-9.06,"17 Aug, 2026","2,687.50",Sep 25 | 15:56
NIFTY 50,HL,HUL,Stock,Very Bearish,"1,942.90",-9.03,"08 Jul, 2026","2,135.80",Sep 25 | 15:59
NIFTY 50,MM,M&M,Stock,Very Bearish,"3,035.00",-8.86,"27 Aug, 2026","3,330.00",Sep 25 | 15:59
NIFTY 50,TT,TATA Cons. Prod,Stock,Very Bearish,983.20,-8.79,"11 Aug, 2026","1,078.00",Sep 25 | 15:59
NIFTY 50,BF04,Bajaj Finserv,Stock,Very Bearish,"1,771.00",-8.65,"07 Sep, 2026","1,938.60",Sep 25 | 15:58
NIFTY 50,TCS,TCS,Stock,Very Bearish,"2,082.00",-8.28,"07 Sep, 2026","2,270.00",Sep 25 | 15:59
NIFTY 50,W,Wipro,Stock,Very Bearish,164.02,-7.88,"18 Aug, 2026",178.06,Sep 25 | 15:59
NIFTY 50,BTV,Bharti Airtel,Stock,Very Bearish,"1,785.40",-7.11,"19 Aug, 2026","1,922.00",Sep 25 | 15:59
NIFTY 50,JFS,Jio Financial,Stock,Very Bearish,227.00,-6.64,"19 Aug, 2026",243.15,Sep 25 | 15:59
NIFTY 50,STF,Shriram Finance,Stock,Very Bearish,994.10,-6.14,"01 Sep, 2026","1,059.10",Sep 25 | 15:58
