pattern_id,userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,p_status,is_closed,is_deleted,end_date,updated_at,created_at,meta_data,analyst_name,analyst_image,updated_at_epoch,created_at_epoch,sc_name,symbol,chartType,displayLock,scanproflg
1895,21,,,nse,Rectangle Pattern,Bullish Breakout,30 mins,,Updated,N,0,2026-10-09,2026-09-25 15:19:47,2026-09-24 15:17:40,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""5194.00"",""pattern_type"":""buy"",""cmp"":""5012.50"",""price_key"":""stk_JKC03_N"",""target_price"":""5229"",""target_return_prcnt"":""0.67"",""stoploss_price"":""4970"",""stoploss_prcnt"":""4.31"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179024325867.png""},""rationale"":""A rectangular pattern breakout indicates bulls are gaining control."",""action_type"":""add"",""created_at"":""2026-09-24 15:17:40"",""updated_at"":""2026-09-24 15:17:40""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179032978615.png""},""rationale"":""Price sustaining above the horizontal support."",""action_type"":""update"",""created_at"":""2026-09-25 15:19:47"",""updated_at"":""2026-09-25 15:19:47""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790329787,1790243260,,,mc_pro_plus,Y,3
1901,21,,,nse,Horizontal Resistance,Breakout Retest,1 hour,,New,N,0,2026-11-06,2026-09-25 15:13:57,2026-09-25 15:13:57,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1252.65"",""pattern_type"":""buy"",""cmp"":""1252.65"",""price_key"":""stk_SET_N"",""target_price"":""1425"",""target_return_prcnt"":""13.76"",""stoploss_price"":""1187"",""stoploss_prcnt"":""5.24"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179032943662.png""},""rationale"":""After a rally, price consolidated below resistance before breaking above it and retesting the breakout zone, signalling potential bullish continuation."",""action_type"":""add"",""created_at"":""2026-09-25 15:13:57"",""updated_at"":""2026-09-25 15:13:57""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790329437,1790329437,,,mc_pro_plus,Y,3
1893,21,,,nse,Horizontal Resistance,Bullish Continuation,1 hour,,New,N,0,2026-10-09,2026-09-25 14:12:05,2026-09-24 11:04:28,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""3431.90"",""pattern_type"":""buy"",""cmp"":""3330.40"",""price_key"":""stk_MCE_N"",""target_price"":""3696"",""target_return_prcnt"":""7.70"",""stoploss_price"":""3237"",""stoploss_prcnt"":""5.68"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179022806637.png""},""rationale"":""After a rally, price moved sideways and now has moved above the horizontal resistance, indicating bullish continuation."",""action_type"":""add"",""created_at"":""2026-09-24 11:04:28"",""updated_at"":""2026-09-24 11:04:28""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790325725,1790228068,,,mc_pro_plus,Y,3
1900,21,,,nse,Horizontal Resistance,Resistance Breakout,1 hour,,New,N,0,2026-10-16,2026-09-25 14:09:46,2026-09-25 14:09:46,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""114.42"",""pattern_type"":""buy"",""cmp"":""114.42"",""price_key"":""stk_IREDAL_N"",""target_price"":""120"",""target_return_prcnt"":""4.88"",""stoploss_price"":""112"",""stoploss_prcnt"":""2.12"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179032558470.png""},""rationale"":""After a fall, price moved sideways and now has broken above the horizontal resistance indicating bullish momentum."",""action_type"":""add"",""created_at"":""2026-09-25 14:09:45"",""updated_at"":""2026-09-25 14:09:45""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790325586,1790325586,,,mc_pro_plus,Y,3
1899,21,,,nse,Multiple Trendline,Bullish Breakout,1 day,,New,N,0,2026-11-06,2026-09-25 10:38:25,2026-09-25 10:38:25,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""723.75"",""pattern_type"":""buy"",""cmp"":""723.75"",""price_key"":""stk_ABD_N"",""target_price"":""972"",""target_return_prcnt"":""34.30"",""stoploss_price"":""654"",""stoploss_prcnt"":""9.64"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179031290487.png""},""rationale"":""Price has broken above the horizontal resistance, indicating bulls are still intact."",""action_type"":""add"",""created_at"":""2026-09-25 10:38:25"",""updated_at"":""2026-09-25 10:38:25""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790312905,1790312905,,,mc_pro_plus,Y,3
1898,21,,,nse,Falling Trendline Resistance,On Verge of Breakout,1 hour,,New,N,0,2026-10-29,2026-09-25 10:26:53,2026-09-25 10:26:53,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""125.33"",""pattern_type"":""buy"",""cmp"":""125.33"",""price_key"":""stk_CB06_N"",""target_price"":""135"",""target_return_prcnt"":""7.72"",""stoploss_price"":""120"",""stoploss_prcnt"":""4.25"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179031221232.png""},""rationale"":""The 200HEMA and the falling trendline indicates the possibility of breakout."",""action_type"":""add"",""created_at"":""2026-09-25 10:26:53"",""updated_at"":""2026-09-25 10:26:53""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790312213,1790312213,,,mc_pro_plus,Y,3
1897,21,,,nse,Horizontal Resistance,Breakout Retest,4 hours,,New,N,0,2026-10-16,2026-09-25 09:31:43,2026-09-25 09:31:43,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""2103.40"",""pattern_type"":""buy"",""cmp"":""2103.40"",""price_key"":""stk_HMI01_N"",""target_price"":""2280"",""target_return_prcnt"":""8.40"",""stoploss_price"":""2019"",""stoploss_prcnt"":""4.01"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179030890148.png""},""rationale"":""After breaking above the resistance, price has now retested the breakout level as a support."",""action_type"":""add"",""created_at"":""2026-09-25 09:31:43"",""updated_at"":""2026-09-25 09:31:43""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790308903,1790308903,,,mc_pro_plus,Y,3
1896,21,,,nse,Falling Trendline,Breakout Retest,1 week,,New,N,0,2026-10-16,2026-09-24 15:27:47,2026-09-24 15:27:15,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1552.60"",""pattern_type"":""buy"",""cmp"":""1554.75"",""price_key"":""indices_i_in;cnmx"",""target_price"":""1771"",""target_return_prcnt"":""14.07"",""stoploss_price"":""1490"",""stoploss_prcnt"":""4.03"",""ind_id"":""50"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179024383375.png""},""rationale"":""Price broke above the falling trendline and has retested the breakout zone, holding support on the weekly chart."",""action_type"":""add"",""created_at"":""2026-09-24 15:27:15"",""updated_at"":""2026-09-24 15:27:47""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790243867,1790243835,,,mc_pro_plus,Y,3
1896,21,,,nse,Falling Trendline,Breakout Retest,1 week,,New,N,0,2026-10-16,2026-09-24 15:27:15,2026-09-24 15:27:15,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""1552.60"",""pattern_type"":""buy"",""cmp"":""1552.60"",""price_key"":""indices_i_in;cnmx"",""target_price"":""1771"",""target_return_prcnt"":""14.07"",""stoploss_price"":""1490"",""stoploss_prcnt"":""4.03"",""ind_id"":""50"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179024383375.png""},""rationale"":""After a decline, price broke above the falling trendline and has retested the breakout zone, holding support on the weekly chart."",""action_type"":""add"",""created_at"":""2026-09-24 15:27:15"",""updated_at"":""2026-09-24 15:27:15""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790243835,1790243835,,,mc_pro_plus,Y,3
1895,21,,,nse,Rectangle Pattern,Bullish Breakout,30 mins,,New,N,0,2026-10-09,2026-09-24 15:17:40,2026-09-24 15:17:40,"{""chart_type"":""mc_pro_plus"",""sc_name"":"""",""sc_symbol"":"""",""sc_scripcode"":"""",""instrument_type_code"":"""",""entry_condition"":""equals"",""entry_price"":""5194.00"",""pattern_type"":""buy"",""cmp"":""5194.00"",""price_key"":""stk_JKC03_N"",""target_price"":""5368"",""target_return_prcnt"":""3.35"",""stoploss_price"":""5101"",""stoploss_prcnt"":""1.79"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/179024325867.png""},""rationale"":""A rectangular pattern breakout indicates bulls are gaining control."",""action_type"":""add"",""created_at"":""2026-09-24 15:17:40"",""updated_at"":""2026-09-24 15:17:40""}]}",,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1790243260,1790243260,,,mc_pro_plus,Y,3
