MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
AE01,AE13,Adani Enterpris,2846.0,2979.4,2825.0,2969.3,2849.7,119.60,4.20,4899494
TEL,TM03,TMPV,373.75,387.3,371.8,385.6,373.25,12.35,3.31,21346890
TM4,TM4,Tech Mahindra,1433.6,1465.8,1429.9,1458.7,1435.5,23.20,1.62,1725570
NI,NI,Nestle,1417.6,1431.7,1413.2,1428.6,1413.6,15.00,1.06,1472818
Z01,Z,Eternal,247.5,253.04,245.8,250.17,247.67,2.50,1.01,24447430
BA06,BA10,Bajaj Auto,10530.0,10641.5,10449.0,10593.0,10491.0,102.00,0.97,559535
ONG,ONG,ONGC,285.1,289.65,284.0,287.5,284.95,2.55,0.89,10629491
HL,HU,HUL,2199.6,2220.0,2190.0,2209.4,2196.5,12.90,0.59,2302703
MPS,MPS,Adani Ports,1805.0,1820.5,1800.0,1811.2,1802.9,8.30,0.46,2104926
H,HI,Hindalco,1102.0,1118.0,1094.6,1103.8,1099.6,4.20,0.38,5880899
JVS,JSW01,JSW Steel,1289.4,1301.0,1282.7,1293.6,1289.4,4.20,0.33,1712866
MU01,MS24,Maruti Suzuki,13188.0,13329.0,13134.0,13208.0,13170.0,38.00,0.29,256901
C,C,Cipla,1413.9,1422.6,1409.6,1417.5,1413.9,3.60,0.25,1132793
TIS,TIS,Tata Steel,209.9,211.14,209.51,210.47,210.22,0.25,0.12,17801824
LT,LT,Larsen,4029.6,4052.9,4014.2,4037.8,4033.4,4.40,0.11,1552847
TT,TT,TATA Cons. Prod,1191.7,1200.2,1174.5,1187.6,1187.2,0.40,0.03,1766780
CI29,CI11,Coal India,458.0,475.65,455.0,458.15,458.0,0.15,0.03,17073323
SPI,SPI,Sun Pharma,1830.0,1844.9,1815.9,1840.8,1840.6,0.20,0.01,2337759
