Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekLow,ATL05,ATL04,Adisoft Tech,/miscellaneous/adisofttechnologies/ATL04,183.0,"27 Jul, 2026|15:44"
52WeekLow,ATT,ATT,AGS Transact,/online-services/agstransacttechnologies/ATT,2.1,"27 Jul, 2026|15:49"
52WeekLow,ATL07,ATL06,Alpine Texworld,/textiles/alpinetexworld/ATL06,81.27,"27 Jul, 2026|15:58"
52WeekLow,AS32,AS28,Annapurna Swa,/consumer-food/annapurnaswadisht/AS28,130.0,"27 Jul, 2026|15:58"
52WeekLow,SAB,SAB,Aqylon Nexus,/media-entertainment/aqylonnexus/SAB,25.91,"27 Jul, 2026|15:51"
52WeekLow,IID,AI60,Arshiya,/transport-logistics/arshiya/AI60,0.98,"27 Jul, 2026|15:47"
52WeekLow,ACC06,ACC07,Ashika Global,/finance-nbfc/ashikaglobalsecurities/ACC07,400.05,"27 Jul, 2026|15:59"
52WeekLow,ACM01,AC19,Avonmore Cap,/finance-investments/avonmorecapitalmanagementservices/AC19,9.75,"27 Jul, 2026|15:56"
52WeekLow,AM13,AM09,Avro India,/plastic-products/avroindia/AM09,9.09,"27 Jul, 2026|15:54"
52WeekLow,BI30,BI18,Bohra Industrie,/miscellaneous/bohraindustries/BI18,12.02,"27 Jul, 2026|15:40"
52WeekLow,BTF04,BTF04,Capital India,/finance-investments/capitalindiafinance/BTF04,21.34,"27 Jul, 2026|15:44"
52WeekLow,CIT,CIT,Cerebra Int,/computers-hardware/cerebraintegratedtechnologies/CIT,3.11,"27 Jul, 2026|15:45"
52WeekLow,CCI08,CCI03,Cool Caps,/plastics-pet-bottels-jars-containers/coolcapsindustries/CCI03,20.95,"27 Jul, 2026|15:45"
52WeekLow,DSM03,DSM03,Debock Ind.,/diversified/debockindustries/DSM03,0.78,"27 Jul, 2026|15:51"
52WeekLow,DDT,DDT,DUGLOBAL,/it-services-consulting/dudigitalglobal/DDT,27.0,"27 Jul, 2026|15:47"
52WeekLow,FI19,FI08,Flexituff Ventu,/packaging/flexituffventuresinternational/FI08,4.58,"27 Jul, 2026|15:40"
52WeekLow,FVI,FVI,Future Consumer,/food-processing/futureconsumer/FVI,0.27,"27 Jul, 2026|15:31"
52WeekLow,GF16,GF,Ganga Forging,/auto-ancillaries-castings-forgings/gangaforging/GF,1.59,"27 Jul, 2026|15:52"
52WeekLow,GE08,GE07,Gensol Eng,/engineering-industrial-equipments/gensolengineering/GE07,17.44,"27 Jul, 2026|15:44"
52WeekLow,GCD02,GCD02,Giriraj Civil D,/cement-major/girirajcivildevelopers/GCD02,89.95,"27 Jul, 2026|15:40"
52WeekLow,GDGIL,GDGIL,Go Digit,/multiline-insurance-brokers/godigitgeneralinsurance/GDGIL,256.35,"27 Jul, 2026|15:59"
52WeekLow,ICR,ICR,ICRA,/miscellaneous/icra/ICR,4801.0,"27 Jul, 2026|15:49"
52WeekLow,IUB,IUB,Indo US Bio-Tec,/miscellaneous/indousbio-tech/IUB,88.18,"27 Jul, 2026|15:40"
52WeekLow,JT03,JT03,Jalan Transolut,/transport-logistics/jalantransolutions/JT03,1.6,"27 Jul, 2026|15:31"
52WeekLow,MPEL,MPEL,Manas Polymers,/plastic-products/manaspolymersenergies/MPEL,35.2,"27 Jul, 2026|15:31"
52WeekLow,MID,MID,MEP Infra,/infrastructure-general/mepinfrastructuredevelopers/MID,0.54,"27 Jul, 2026|15:31"
52WeekLow,NFC,NFC,Nagarjuna Fert,/fertilisers/nagarjunafertiliserschemicals/NFC,2.62,"27 Jul, 2026|15:51"
52WeekLow,NLAGIL,NLAGIL,Neelam Linens,/textiles-apparel/neelamlinensgarmentsindia/NLAGIL,10.05,"27 Jul, 2026|15:45"
52WeekLow,PD05,PD05,Parsvnath,/construction-contracting-real-estate/parsvnathdevelopers/PD05,1.92,"27 Jul, 2026|15:49"
52WeekLow,PI30,PI32,Perfect Infra,/construction-contracting-civil/perfectinfraengineers/PI32,2.75,"30 Apr, 2026|15:40"
52WeekLow,QT,QT,Quicktouch Tech,/software/quicktouchtechnologies/QT,22.0,"27 Jul, 2026|15:57"
52WeekLow,RI34,RI34,Rajvir Ind,/textiles-spinning-synthetic-blended/rajvirindustries/RI34,5.93,"27 Jul, 2026|15:31"
52WeekLow,BSE,RI38,Reliance Infra,/power-generation-distribution/relianceinfrastructure/RI38,60.04,"27 Jul, 2026|15:47"
52WeekLow,TSIL,TSIL,S A Tech Softwa,/software/stechsoftwareindia/TSIL,31.5,"27 Jul, 2026|15:41"
52WeekLow,SFP01,SFP01,Shanthala,/trading/shanthalafmcgproducts/SFP01,18.0,"27 Jul, 2026|15:31"
52WeekLow,SRP07,SRP07,Shree Ram Prot,/diversified/shreeramproteins/SRP07,0.34,"27 Jul, 2026|15:31"
52WeekLow,S23,S25,Shrenik,/trading/shrenik/S25,0.35,"27 Jul, 2026|15:56"
52WeekLow,SRI01,SRI01,Shri Rama Multi,/packaging/shreeramamultitech/SRI01,39.26,"27 Jul, 2026|15:55"
52WeekLow,SI86,SI91,Sicagen India,/trading/sicagenindia/SI91,50.31,"27 Jul, 2026|15:56"
52WeekLow,ATE02,ATE02,TCC CONCEPT,/trading/tccconcept/ATE02,282.0,"27 Jul, 2026|15:44"
52WeekLow,TI30,TI26,Tega Industries,/engineering-industrial-equipments/tegaindustries/TI26,1564.9,"27 Jul, 2026|15:59"
52WeekLow,TE10,TE10,Triveni Engg,/sugar/triveniengineeringindustries/TE10,237.3,"27 Jul, 2026|15:54"
52WeekLow,VML02,VML02,Vinit Mobile,/speciality-retailers/vinitmobile/VML02,63.85,"27 Jul, 2026|15:54"
52WeekHigh,AL05,AI58,Apcotex Ind,/rubber/apcotexindustries/AI58,561.5,"27 Jul, 2026|15:55"
52WeekHigh,ACC06,ACC07,Ashika Global,/finance-nbfc/ashikaglobalsecurities/ACC07,400.05,"27 Jul, 2026|15:59"
52WeekHigh,BPO,BPO,Bagmane Prime,/real-estate-rental-development-operations/bagmaneprimeofficereit/BPO,104.86,"27 Jul, 2026|15:47"
52WeekHigh,BEL,BEL,BLS E-Services,/online-services/blse-services/BEL,286.0,"27 Jul, 2026|15:59"
52WeekHigh,BWL02,BWL02,Blue Water Logi,/logistics/bluewaterlogistics/BWL02,427.0,"27 Jul, 2026|15:40"
52WeekHigh,CML03,CML03,Caliber Mining,/coal/calibermininglogistics/CML03,535.0,"27 Jul, 2026|15:59"
52WeekHigh,CP09,CP09,Captain Poly,/plastics/captainpolyplast/CP09,71.0,"27 Jul, 2026|15:53"
52WeekHigh,CPI08,CPI07,Cell Point,/speciality-retailers/cellpointindia/CPI07,20.05,"27 Jul, 2026|15:42"
52WeekHigh,DG01,CP10,ConfidencePetro,/miscellaneous/confidencepetroleum/CP10,79.4,"27 Jul, 2026|15:58"
52WeekHigh,CRL02,CRL02,Corona Remedies,//coronaremedies/CRL02,2126.8,"27 Jul, 2026|15:44"
52WeekHigh,CPD,CPD,Creative New,/miscellaneous/creativenewtech/CPD,1029.95,"27 Jul, 2026|15:57"
52WeekHigh,CG02,CG03,CreditAccess Gr,/finance-nbfc/creditaccessgrameen/CG03,1585.5,"27 Jul, 2026|15:58"
52WeekHigh,CLS01,CLS01,Crop Life Sci,/pesticides-agrochemicals/croplifescience/CLS01,61.9,"27 Jul, 2026|15:40"
