Index,scId,StockName,type,currTrend,currPrice,performance,trendChngDate,trendChngPrice,updatedTime
NIFTY 50,TIS,Tata Steel,Stock,Very Bearish,184.25,-10.89,"05 Jun, 2026",206.77,Jul 27 | 15:59
NIFTY 50,DRL,Dr Reddys Labs,Stock,Very Bearish,"1,150.80",-9.35,"09 Jul, 2026","1,269.50",Jul 27 | 15:59
NIFTY 50,TEL,TMPV,Stock,Very Bearish,327.65,-9.23,"17 Jun, 2026",360.95,Jul 27 | 15:59
NIFTY 50,H,Hindalco,Stock,Very Bearish,945.25,-9.05,"10 Jun, 2026","1,039.30",Jul 27 | 15:59
NIFTY 50,UTI10,Axis Bank,Stock,Very Bearish,"1,227.50",-5.40,"09 Jul, 2026","1,297.60",Jul 27 | 15:58
NIFTY 50,ITC,ITC,Stock,Bearish,285.85,-5.25,"22 May, 2026",301.70,Jul 27 | 15:59
NIFTY 50,CI29,Coal India,Stock,Very Bearish,427.50,-5.21,"10 Jun, 2026",451.00,Jul 27 | 15:59
NIFTY 50,HSL01,HDFC Life,Stock,Very Bearish,552.85,-5.21,"29 Jun, 2026",583.25,Jul 27 | 15:57
NIFTY 50,HDF01,HDFC Bank,Stock,Very Bearish,739.55,-4.89,"20 Jul, 2026",777.60,Jul 27 | 15:59
NIFTY 50,LT,Larsen,Stock,Very Bearish,"3,806.00",-4.66,"07 Jul, 2026","3,991.90",Jul 27 | 15:59
NIFTY 50,RI,Reliance,Stock,Very Bearish,"1,280.00",-1.82,"21 Jul, 2026","1,303.70",Jul 27 | 15:59
NIFTY 50,MPS,Adani Ports,Stock,Bearish,"1,770.40",-0.46,"23 Jul, 2026","1,778.50",Jul 27 | 15:59
NIFTY 50,C,Cipla,Stock,Bearish,"1,409.40",-0.40,"22 Jul, 2026","1,415.10",Jul 27 | 15:59
NIFTY 50,BE03,Bharat Elec,Stock,Very Bearish,407.15,-0.11,"08 Jul, 2026",407.60,Jul 27 | 15:59
NIFTY 50,ONG,ONGC,Stock,Very Bearish,238.56,0.00,"27 Jul, 2026",238.56,Jul 27 | 15:59
NIFTY 50,JFS,Jio Financial,Stock,Very Bearish,236.17,0.58,"22 Jul, 2026",234.80,Jul 27 | 15:59
NIFTY 50,SBI,SBI,Stock,Bearish,"1,020.60",0.79,"23 Jul, 2026","1,012.60",Jul 27 | 15:59
NIFTY BANK,BOB,Bank of Baroda,Stock,Very Bearish,244.00,-6.24,"02 Jul, 2026",260.25,Jul 27 | 15:59
NIFTY BANK,YB,Yes Bank,Stock,Bearish,22.94,0.04,"20 Jul, 2026",22.93,Jul 27 | 15:59
NIFTY MIDCAP100,RSI,Patanjali Foods,Stock,Very Bearish,346.85,-23.73,"27 May, 2026",454.75,Jul 27 | 15:59
NIFTY MIDCAP100,RVN,Rail Vikas,Stock,Very Bearish,223.95,-20.95,"12 May, 2026",283.30,Jul 27 | 15:58
NIFTY MIDCAP100,KPITT54265,KPIT Tech,Stock,Bearish,585.20,-20.16,"10 Jun, 2026",732.95,Jul 27 | 15:59
NIFTY MIDCAP100,TEI,Tata Elxsi,Stock,Very Bearish,"3,554.40",-16.47,"08 Jun, 2026","4,255.40",Jul 27 | 15:58
NIFTY MIDCAP100,SAI,SAIL,Stock,Very Bearish,162.62,-11.51,"08 Jun, 2026",183.78,Jul 27 | 15:59
NIFTY MIDCAP100,WEL01,Waaree Energies,Stock,Very Bearish,"2,741.40",-9.64,"23 Jun, 2026","3,033.80",Jul 27 | 15:59
NIFTY MIDCAP100,B03,BSE Limited,Stock,Very Bearish,"3,536.80",-8.66,"25 Jun, 2026","3,872.10",Jul 27 | 15:59
NIFTY MIDCAP100,APP03,Hitachi Energy,Stock,Very Bearish,"31,550.00",-7.88,"01 Jul, 2026","34,250.00",Jul 27 | 15:52
NIFTY MIDCAP100,IRC,IRCTC,Stock,Very Bearish,494.00,-7.49,"12 May, 2026",534.00,Jul 27 | 15:59
