MC_Code,shortName,StockName,nsCode,currPrice,prevPrice,change,pChange,volume,open,high,low
,JPPOWER,JPPOWER,JPPOWER,22.95,19.13,3.82,19.97,1285571409,19.23,22.95,19.18
,IDEA,IDEA,IDEA,14.2,14.14,0.06,0.42,580574851,14.2,14.29,14.07
,SUZLON,SUZLON,SUZLON,57.75,54.58,3.17,5.81,227745007,54.85,58.1,54.42
,EASEMYTRIP,EASEMYTRIP,EASEMYTRIP,7.43,8.0,-0.57,-7.13,201197402,8.0,8.29,7.22
,OLAELEC,OLAELEC,OLAELEC,39.35,37.58,1.77,4.71,133987597,37.62,39.49,37.46
,ZEEL,ZEEL,ZEEL,90.84,82.78,8.06,9.74,122229243,83.7,92.99,83.18
,COALINDIA,COALINDIA,COALINDIA,463.6,458.15,5.45,1.19,117042535,429.0,468.3,428.4
,HCC,HCC,HCC,23.34,21.94,1.4,6.38,103334152,22.06,23.7,21.99
,IFCI,IFCI,IFCI,68.23,64.4,3.83,5.95,88863769,64.55,68.7,64.2
,PINELABS,PINELABS,PINELABS,146.5,137.94,8.56,6.21,86728367,140.65,147.31,134.73
,ADANIPOWER,ADANIPOWER,ADANIPOWER,249.43,244.53,4.9,2.0,85859567,247.6,252.65,245.5
,YESBANK,YESBANK,YESBANK,22.74,22.83,-0.09,-0.39,83642012,22.82,22.97,22.72
,HFCL,HFCL,HFCL,173.2,161.8,11.4,7.05,79961509,162.49,176.44,161.19
,RPOWER,RPOWER,RPOWER,27.71,26.69,1.02,3.82,75780779,26.65,28.21,26.61
,GTLINFRA,GTLINFRA,GTLINFRA,1.38,1.35,0.03,2.22,70896793,1.36,1.39,1.34
,HDFCBANK,HDFCBANK,HDFCBANK,759.15,778.9,-19.75,-2.54,63680153,769.5,773.9,756.9
,TATSILV,TATSILV,TATSILV,25.4,25.49,-0.09,-0.35,61632372,25.78,25.78,25.15
,ATGL,ATGL,ATGL,813.2,713.1,100.1,14.04,57324845,719.8,830.0,714.05
,JINDWORLD,JINDWORLD,JINDWORLD,30.6,30.15,0.45,1.49,57021656,31.5,34.5,30.2
,RTNPOWER,RTNPOWER,RTNPOWER,9.89,9.26,0.63,6.8,54210519,9.26,9.9,9.24
