MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
ITC,ITC,ITC,305.1,317.5,305.1,316.25,304.45,11.80,3.88,31199038
TM4,TM4,Tech Mahindra,1414.0,1464.0,1405.2,1459.8,1408.1,51.70,3.67,3334783
MU01,MS24,Maruti Suzuki,13090.0,13548.0,13090.0,13257.0,12892.0,365.00,2.83,754798
CI29,CI11,Coal India,469.85,485.7,464.05,479.9,467.0,12.90,2.76,18063862
RI,RI,Reliance,1392.0,1433.8,1391.3,1425.4,1388.9,36.50,2.63,30542143
BTV,BA08,Bharti Airtel,1848.0,1900.4,1845.4,1888.1,1843.8,44.30,2.40,7713013
MM,MM,M&M,3100.0,3192.0,3092.0,3152.3,3088.1,64.20,2.08,3917359
SPI,SPI,Sun Pharma,1756.0,1789.8,1750.0,1778.7,1747.3,31.40,1.80,9809449
NI,NI,Nestle,1445.0,1470.0,1436.1,1465.6,1440.0,25.60,1.78,2753356
TT,TT,TATA Cons. Prod,1147.7,1171.2,1147.7,1168.0,1147.7,20.30,1.77,1346355
EM,EM,Eicher Motors,7106.0,7294.0,7099.0,7189.5,7071.5,118.00,1.67,522596
LT,LT,Larsen,4060.0,4126.0,4051.3,4096.1,4037.7,58.40,1.45,2175030
MPS,MPS,Adani Ports,1645.0,1672.0,1644.9,1661.1,1637.6,23.50,1.44,2345365
IT,IT,Infosys,1158.5,1178.2,1156.8,1167.5,1152.1,15.40,1.34,8303109
TCS,TCS,TCS,2451.0,2487.9,2447.6,2474.7,2444.7,30.00,1.23,2835961
HL,HU,HUL,2305.0,2349.7,2291.0,2314.4,2289.5,24.90,1.09,1778765
KMF,KMB,Kotak Mahindra,378.0,386.05,377.55,382.0,377.95,4.05,1.07,7913344
C,C,Cipla,1312.0,1322.0,1307.8,1317.6,1306.5,11.10,0.85,986556
GI01,GI01,Grasim,2798.0,2838.6,2777.0,2803.2,2783.0,20.20,0.73,976666
HSL01,HSL01,HDFC Life,592.0,602.95,589.6,594.4,590.15,4.25,0.72,6869287
BAF,BAF,Bajaj Finance,925.0,937.0,916.6,930.0,923.65,6.35,0.69,5438997
UTI10,AB16,Axis Bank,1295.0,1309.2,1279.0,1296.4,1289.0,7.40,0.57,6228275
AE01,AE13,Adani Enterpris,2427.6,2443.8,2388.0,2425.9,2412.4,13.50,0.56,4656967
TEL,TM03,TMPV,351.0,363.65,351.0,352.7,350.8,1.90,0.54,10581537
TI01,TI01,Titan Company,4419.9,4472.4,4410.2,4439.8,4417.0,22.80,0.52,702730
BA06,BA10,Bajaj Auto,9510.0,9709.5,9496.0,9543.5,9495.5,48.00,0.51,261656
SLI03,SLI03,SBI Life Insura,1808.6,1829.5,1792.9,1816.2,1808.3,7.90,0.44,1431080
PGC,PGC,Power Grid Corp,320.1,323.8,318.25,320.35,319.0,1.35,0.42,10372929
BE03,BE03,Bharat Elec,437.05,442.8,435.25,437.55,435.75,1.80,0.41,9507163
TIS,TIS,Tata Steel,216.1,217.0,211.36,215.88,215.05,0.83,0.39,32800573
Z01,Z,Eternal,263.3,265.4,253.0,254.03,253.07,0.96,0.38,152137971
STF,STF,Shriram Finance,965.0,975.3,954.9,956.85,953.25,3.60,0.38,5829309
HCL02,HCL02,HCL Tech,1200.0,1210.8,1192.1,1200.2,1196.0,4.20,0.35,4777201
MHI,MHI,Max Healthcare,1009.9,1029.1,1003.0,1006.6,1004.75,1.85,0.18,1870409
UTC,UTC01,UltraTechCement,11870.0,12060.0,11817.0,11833.0,11817.0,16.00,0.14,361932
ONG,ONG,ONGC,303.9,307.5,299.75,301.4,301.3,0.10,0.03,27267649
