pattern_id,userid,instrument_type,instrument,exchange,pattern_name,comment,time_frame,sc_id,p_status,is_closed,is_deleted,end_date,updated_at,created_at,meta_data,analyst_name,analyst_image,updated_at_epoch,created_at_epoch,chartType,displayLock,scanproflg
1720,21,equity,Persistent Systems,nse,Horizontal Trendline,Bullish Reversal,4 hours,PS15,Closed,Y,0,2026-08-21,2026-08-28 10:54:11,2026-07-30 09:57:00,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Persistent Systems"",""sc_symbol"":""PERSISTENT"",""sc_scripcode"":""533179"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""5630.40"",""pattern_type"":""buy"",""cmp"":""5833.00"",""price_key"":""stk_PS15_N"",""target_price"":null,""target_return_prcnt"":""15.39"",""stoploss_price"":null,""stoploss_prcnt"":""4.89"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178538561922.png""},""rationale"":""The breakout above the horizontal trendline signals buyers have regained control, favoring further upside."",""action_type"":""add"",""created_at"":""2026-07-30 09:57:00"",""updated_at"":""2026-07-30 09:57:00""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178789465089.png""},""rationale"":""Previous swing high breakout."",""action_type"":""close"",""created_at"":""2026-08-28 10:54:11"",""updated_at"":""2026-08-28 10:54:11""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787894651,1785385620,mc_pro_plus,N,3
1756,21,equity,Brigade Enterprises,nse,Ascending Triangle,Bullish Reversal,1 day,BE08,Closed,Y,0,2026-09-04,2026-08-28 09:47:31,2026-08-10 12:38:44,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Brigade Enterprises"",""sc_symbol"":""BRIGADE"",""sc_scripcode"":""532929"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""611.70"",""pattern_type"":""buy"",""cmp"":""653.80"",""price_key"":""stk_BE08_N"",""target_price"":null,""target_return_prcnt"":""10.35"",""stoploss_price"":null,""stoploss_prcnt"":""7.14"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178634572369.png""},""rationale"":""Ascending Triangle pattern has broken above resistance, confirming the bullish reversal and signaling strong buying momentum."",""action_type"":""add"",""created_at"":""2026-08-10 12:38:44"",""updated_at"":""2026-08-10 12:38:44""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178721966838.png""},""rationale"":""Previous high breakout."",""action_type"":""update"",""created_at"":""2026-08-20 15:24:30"",""updated_at"":""2026-08-20 15:24:30""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178789065065.png""},""rationale"":""7.43% up"",""action_type"":""close"",""created_at"":""2026-08-28 09:47:31"",""updated_at"":""2026-08-28 09:47:31""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787890651,1786345724,mc_pro_plus,N,3
1770,21,equity,Container Corporation of India,nse,Falling Trendline,Previous Swing High Breakout,1 day,CCI,Closed,Y,0,2026-10-02,2026-08-28 09:39:32,2026-08-14 10:49:16,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Container Corporation of India"",""sc_symbol"":""CONCOR"",""sc_scripcode"":""531344"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""531.70"",""pattern_type"":""buy"",""cmp"":""508.40"",""price_key"":""stk_CCI_N"",""target_price"":null,""target_return_prcnt"":""15.67"",""stoploss_price"":null,""stoploss_prcnt"":""6.71"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178668475497.png""},""rationale"":""Price has broken above the falling trendline and the previous swing high, confirming a bullish reversal and strengthening the upside momentum."",""action_type"":""add"",""created_at"":""2026-08-14 10:49:16"",""updated_at"":""2026-08-14 10:49:16""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178668475497.png""},""rationale"":""Negated!"",""action_type"":""close"",""created_at"":""2026-08-28 09:39:32"",""updated_at"":""2026-08-28 09:39:32""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787890172,1786684756,mc_pro_plus,N,3
1739,21,equity,Punjab National Bank,nse,Horizontal Trendline,Previous Swing High Breakout,4 hours,PNB05,Closed,Y,0,2026-08-28,2026-08-27 11:20:57,2026-08-05 09:36:48,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Punjab National Bank"",""sc_symbol"":""PNB"",""sc_scripcode"":""532461"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""115.00"",""pattern_type"":""buy"",""cmp"":""116.48"",""price_key"":""stk_PNB05_N"",""target_price"":null,""target_return_prcnt"":""6.09"",""stoploss_price"":null,""stoploss_prcnt"":""4.35"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178590280711.png""},""rationale"":""Price has cleared the horizontal resistance and followed through by breaking the previous swing high, confirming strong bullish momentum."",""action_type"":""add"",""created_at"":""2026-08-05 09:36:48"",""updated_at"":""2026-08-05 09:36:48""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178780985572.png""},""rationale"":""1.68% Not moving as expected."",""action_type"":""close"",""created_at"":""2026-08-27 11:20:57"",""updated_at"":""2026-08-27 11:20:57""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787809857,1785902808,mc_pro_plus,N,3
1779,21,equity,IFCI,nse,Inverted Head& Shoulder,Bullish Reversal,2 hours,IFC,Closed,Y,0,2026-09-18,2026-08-27 09:45:18,2026-08-18 10:52:47,"{""chart_type"":""mc_pro_plus"",""sc_name"":""IFCI"",""sc_symbol"":""IFCI"",""sc_scripcode"":""500106"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""80.94"",""pattern_type"":""buy"",""cmp"":""87.01"",""price_key"":""stk_IFC_N"",""target_price"":null,""target_return_prcnt"":""11.19"",""stoploss_price"":null,""stoploss_prcnt"":""7.34"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178703056670.png""},""rationale"":""The Inverted Head & Shoulders pattern has broken above the neckline, confirming the bullish reversal and signaling strengthening upward momentum."",""action_type"":""add"",""created_at"":""2026-08-18 10:52:47"",""updated_at"":""2026-08-18 10:52:47""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178780411711.png""},""rationale"":""9% up"",""action_type"":""close"",""created_at"":""2026-08-27 09:45:18"",""updated_at"":""2026-08-27 09:45:18""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787804118,1787030567,mc_pro_plus,N,3
1795,21,equity,Divis Laboratories,nse,Symmetrical Triangle,Bullish Continuation,30 mins,DL03,Closed,Y,0,2026-09-25,2026-08-26 09:59:26,2026-08-25 09:54:30,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Divis Laboratories"",""sc_symbol"":""DIVISLAB"",""sc_scripcode"":""532488"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""8601.50"",""pattern_type"":""buy"",""cmp"":""8905.00"",""price_key"":""stk_DL03_N"",""target_price"":null,""target_return_prcnt"":""2.88"",""stoploss_price"":null,""stoploss_prcnt"":""1.46"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178763186888.png""},""rationale"":""The Symmetrical Triangle breakout shows bullish continuation, with price moving above the resistance and maintaining the broader uptrend."",""action_type"":""add"",""created_at"":""2026-08-25 09:54:30"",""updated_at"":""2026-08-25 09:54:30""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178771856424.png""},""rationale"":""3.63% up"",""action_type"":""close"",""created_at"":""2026-08-26 09:59:26"",""updated_at"":""2026-08-26 09:59:26""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787718566,1787631870,mc_pro_plus,N,3
1762,21,equity,Bharat Heavy Electricals,nse,Symmetrical Triangle,Bullish Reversal,1 hour,BHE,Closed,Y,0,2026-09-18,2026-08-25 14:40:41,2026-08-12 15:00:35,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Bharat Heavy Electricals"",""sc_symbol"":""BHEL"",""sc_scripcode"":""500103"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""419.30"",""pattern_type"":""buy"",""cmp"":""413.50"",""price_key"":""stk_BHE_N"",""target_price"":null,""target_return_prcnt"":""5.41"",""stoploss_price"":null,""stoploss_prcnt"":""1.98"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178652703411.png""},""rationale"":""After a fall, price consolidated into a Symmetrical Triangle and has now broken out, signaling a potential bullish reversal."",""action_type"":""add"",""created_at"":""2026-08-12 15:00:35"",""updated_at"":""2026-08-12 15:00:35""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178652703411.png""},""rationale"":""Negated!"",""action_type"":""close"",""created_at"":""2026-08-25 14:40:41"",""updated_at"":""2026-08-25 14:40:41""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787649041,1786527035,mc_pro_plus,N,3
1780,21,equity,Multi Commodity Exchange of India,nse,Horizontal Trendline,Resistance Breakout,4 hours,MCE,Closed,Y,0,2026-09-25,2026-08-25 09:25:47,2026-08-18 13:41:11,"{""chart_type"":""mc_pro_plus"",""sc_name"":""Multi Commodity Exchange of India"",""sc_symbol"":""MCX"",""sc_scripcode"":""534091"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""3053.90"",""pattern_type"":""buy"",""cmp"":""3278.70"",""price_key"":""stk_MCE_N"",""target_price"":null,""target_return_prcnt"":""13.69"",""stoploss_price"":null,""stoploss_prcnt"":""5.33"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178704067049.png""},""rationale"":""After a fall, price consolidated sideways below resistance and has now broken above it, signaling a potential bullish reversal and renewed momentum."",""action_type"":""add"",""created_at"":""2026-08-18 13:41:11"",""updated_at"":""2026-08-18 13:41:11""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178763014558.png""},""rationale"":""7.50% up"",""action_type"":""close"",""created_at"":""2026-08-25 09:25:47"",""updated_at"":""2026-08-25 09:25:47""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787630147,1787040671,mc_pro_plus,N,3
1767,21,equity,The Tata Power Company,nse,Symmetrical Triangle,Bullish Reversal,1 hour,TPC,Closed,Y,0,2026-09-04,2026-08-24 14:31:24,2026-08-13 13:20:59,"{""chart_type"":""mc_pro_plus"",""sc_name"":""The Tata Power Company"",""sc_symbol"":""TATAPOWER"",""sc_scripcode"":""500400"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""382.05"",""pattern_type"":""buy"",""cmp"":""372.55"",""price_key"":""stk_TPC_N"",""target_price"":null,""target_return_prcnt"":""3.39"",""stoploss_price"":null,""stoploss_prcnt"":""1.06"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178660745892.png""},""rationale"":""After a fall, price consolidated sideways before breaking above resistance, signaling the start of a potential bullish trend."",""action_type"":""add"",""created_at"":""2026-08-13 13:20:59"",""updated_at"":""2026-08-13 13:20:59""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178660745892.png""},""rationale"":""Negated!"",""action_type"":""close"",""created_at"":""2026-08-24 14:31:24"",""updated_at"":""2026-08-24 14:31:24""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787562084,1786607459,mc_pro_plus,N,3
1740,21,equity,360 ONE WAM,nse,Horizontal Trendline,Bullish Breakout,2 hours,IIFLW54277,Closed,Y,0,2026-08-28,2026-08-24 13:57:33,2026-08-05 09:45:36,"{""chart_type"":""mc_pro_plus"",""sc_name"":""360 ONE WAM"",""sc_symbol"":""360ONE"",""sc_scripcode"":""542772"",""instrument_type_code"":""stock"",""entry_condition"":""equals"",""entry_price"":""1186.70"",""pattern_type"":""buy"",""cmp"":""1203.80"",""price_key"":""stk_IIFLW54277_N"",""target_price"":null,""target_return_prcnt"":""5.76"",""stoploss_price"":null,""stoploss_prcnt"":""4.61"",""ind_id"":""-1"",""expiry_date"":null,""timeline"":[{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178590333515.png""},""rationale"":""After multiple failed attempts, price has finally broken above the horizontal resistance, confirming renewed bullish momentum."",""action_type"":""add"",""created_at"":""2026-08-05 09:45:36"",""updated_at"":""2026-08-05 09:45:36""},{""pattern_img"":{""1200x600"":""https://images.moneycontrol.com/technical_picks_cms/178756005223.png""},""rationale"":""Not moving as expected."",""action_type"":""close"",""created_at"":""2026-08-24 13:57:33"",""updated_at"":""2026-08-24 13:57:33""}]}",Brijesh Bhatia,https://images.moneycontrol.com/technical_picks_cms/174590992182.png,1787560053,1785903336,mc_pro_plus,N,3
