MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
IA05,IA04,Interglobe Avi,4550.0,4555.0,4381.2,4405.0,4570.0,-165.00,-3.61,1359472
EM,EM,Eicher Motors,7350.0,7440.5,7131.5,7177.0,7419.0,-242.00,-3.26,1464680
BA06,BA10,Bajaj Auto,10650.0,10750.0,10388.5,10460.0,10808.5,-348.50,-3.22,483158
PGC,PGC,Power Grid Corp,303.0,303.0,285.45,290.55,300.15,-9.60,-3.20,77407363
ONG,ONG,ONGC,275.95,276.05,261.55,265.4,274.05,-8.65,-3.16,74403401
TIS,TIS,Tata Steel,215.69,215.7,206.7,208.02,214.7,-6.68,-3.11,67467374
MHI,MHI,Max Healthcare,1002.95,1002.95,955.0,965.1,993.45,-28.35,-2.85,15388949
NTP,NTP,NTPC,400.0,401.65,385.1,386.9,398.15,-11.25,-2.83,17003143
BAF,BAF,Bajaj Finance,915.1,937.8,895.3,908.25,931.15,-22.90,-2.46,46752428
SPI,SPI,Sun Pharma,1844.3,1852.8,1785.3,1799.2,1844.3,-45.10,-2.45,10058572
MM,MM,M&M,3119.6,3150.8,3005.1,3045.6,3121.6,-76.00,-2.43,11402867
HSL01,HSL01,HDFC Life,614.0,614.0,588.8,594.8,609.6,-14.80,-2.43,11094751
JVS,JSW01,JSW Steel,1309.5,1312.2,1270.3,1278.0,1309.3,-31.30,-2.39,3129836
Z01,Z,Eternal,256.75,257.1,249.41,250.58,256.51,-5.93,-2.31,51989116
TT,TT,TATA Cons. Prod,1204.6,1211.0,1168.4,1178.4,1204.6,-26.20,-2.17,9836874
RI,RI,Reliance,1364.0,1369.0,1317.0,1321.2,1350.5,-29.30,-2.17,42634247
HL,HU,HUL,2133.5,2207.8,2118.1,2153.5,2198.4,-44.90,-2.04,17701621
H,HI,Hindalco,1176.0,1176.0,1122.0,1126.7,1149.7,-23.00,-2.00,11987286
BE03,BE03,Bharat Elec,413.3,419.1,409.9,410.75,419.1,-8.35,-1.99,26559872
HDF01,HDF01,HDFC Bank,746.05,760.5,737.75,744.55,758.65,-14.10,-1.86,101299431
SLI03,SLI03,SBI Life Insura,1862.4,1864.0,1820.5,1830.1,1864.5,-34.40,-1.84,2094924
MU01,MS24,Maruti Suzuki,13456.0,13508.0,13050.0,13127.0,13364.0,-237.00,-1.77,963291
UTC,UTC01,UltraTechCement,11600.0,11779.0,11338.0,11482.0,11689.0,-207.00,-1.77,1776975
TEL,TM03,TMPV,400.95,408.0,390.7,393.9,400.95,-7.05,-1.76,31210075
ITC,ITC,ITC,292.0,292.4,285.9,286.9,291.95,-5.05,-1.73,31930439
STF,STF,Shriram Finance,961.0,975.55,942.9,947.15,963.2,-16.05,-1.67,11248568
JFS,JFS,Jio Financial,244.0,245.15,238.05,238.95,242.89,-3.94,-1.62,22534996
TI01,TI01,Titan Company,4116.2,4163.3,4059.0,4074.9,4137.9,-63.00,-1.52,2001419
GI01,GI01,Grasim,3175.0,3190.3,3111.4,3122.4,3170.0,-47.60,-1.50,1635193
BF04,BF04,Bajaj Finserv,1801.0,1817.6,1776.9,1783.6,1809.1,-25.50,-1.41,1445842
UTI10,AB16,Axis Bank,1296.1,1312.6,1277.4,1286.6,1304.1,-17.50,-1.34,15215715
ICI02,ICI02,ICICI Bank,1275.1,1287.8,1247.9,1256.4,1272.7,-16.30,-1.28,31007884
BTV,BA08,Bharti Airtel,1860.0,1860.0,1818.5,1829.0,1852.2,-23.20,-1.25,52886264
C,C,Cipla,1411.0,1429.2,1382.7,1401.0,1418.2,-17.20,-1.21,9540984
AE01,AE13,Adani Enterpris,2987.8,2995.0,2926.8,2937.4,2973.1,-35.70,-1.20,4040865
DRL,DRL,Dr Reddys Labs,1318.8,1328.6,1297.5,1303.5,1319.0,-15.50,-1.18,5424483
AHE,AHE,Apollo Hospital,8176.5,8325.0,8146.0,8176.5,8272.5,-96.00,-1.16,1042419
KMF,KMB,Kotak Mahindra,388.85,392.55,381.25,384.2,388.7,-4.50,-1.16,40109830
CI29,CI11,Coal India,458.9,474.0,455.9,457.9,463.05,-5.15,-1.11,97895486
TCS,TCS,TCS,2291.0,2334.0,2235.0,2258.9,2284.2,-25.30,-1.11,16331582
MPS,MPS,Adani Ports,1836.4,1840.7,1796.4,1804.6,1824.5,-19.90,-1.09,3554087
L,T04,Trent,4260.0,4335.7,4190.0,4224.0,4248.6,-24.60,-0.58,1184705
NI,NI,Nestle,1431.4,1444.1,1408.5,1421.5,1427.5,-6.00,-0.42,13063475
SBI,SBI,SBI,967.8,973.7,960.3,964.4,967.8,-3.40,-0.35,22292535
API,AP31,Asian Paints,2676.1,2748.2,2631.6,2671.6,2671.9,-0.30,-0.01,5062328
