Category,MC_Code,BSE_Code,StockName,nsCode,currPrice,lastUpdatedTime
52WeekLow,BBR,AIC03,Agarwal Ind,/transport-logistics/agarwalindustrialcorporation/AIC03,427.15,"30 Apr, 2026|15:47"
52WeekLow,AIS03,AIS02,ANI Integrated ,/engineering/aniintegratedservices/AIS02,54.2,"30 Apr, 2026|15:43"
52WeekLow,BCI02,BCI02,Blue Chip,/finance-investments/bluechipindia/BCI02,1.92,"30 Apr, 2026|15:57"
52WeekLow,HCL02,HCL02,HCL Tech,/computers-software/hcltechnologies/HCL02,1200.0,"30 Apr, 2026|15:59"
52WeekLow,IRS01,IRS02,Infollion,/diversified/infollionresearchservices/IRS02,213.5,"30 Apr, 2026|15:49"
52WeekLow,IML02,IML02,Interiors Mor,/miscellaneous/interiorsmore/IML02,157.0,"30 Apr, 2026|15:31"
52WeekLow,KHF01,KHF01,KHFM HOSPITALIT,/hotel-resort-restaurants/khfmhospitalityfacilitymanagementservices/KHF01,53.0,"30 Apr, 2026|15:57"
52WeekLow,LG,LG,Lexus Granito,/miscellaneous/lexusgranitoindia/LG,17.65,"30 Apr, 2026|15:40"
52WeekLow,NCJ,NCJ,Nimbus Projects,/computers-software-medium-small/nimbusprojects/NCJ,184.9,"30 Apr, 2026|15:52"
52WeekLow,PI30,PI32,Perfect Infra,/construction-contracting-civil/perfectinfraengineers/PI32,1.9,"29 Apr, 2026|15:31"
52WeekLow,VIP,VIP,VIP Industries,/household-personal-products/vipindustries/VIP,296.6,"30 Apr, 2026|15:56"
52WeekLow,WIL01,WIL01,Wakefit Inno,/household-personal-products/wakefitinnovations/WIL01,143.24,"30 Apr, 2026|15:59"
52WeekLow,WL02,WL02,Womancart,/retailing/womancart/WL02,127.25,"30 Apr, 2026|15:46"
52WeekLow,FIC,ZT02,Zensar Tech,/computers-software/zensartechnologies/ZT02,522.0,"30 Apr, 2026|15:56"
52WeekHigh,AS29,AS22,Accord Synergy,/telecommunications-service/accordsynergy/AS22,50.6,"30 Apr, 2026|15:31"
52WeekHigh,APL07,APL07,Accretion Pharm,/pharmaceuticals-drugs/accretionpharmaceuticals/APL07,108.65,"30 Apr, 2026|15:54"
52WeekHigh,AO05,AO05,Acutaas Chem,/speciality-chemicals/acutaaschemicals/AO05,2516.3,"30 Apr, 2026|15:59"
52WeekHigh,MPS,MPS,Adani Ports,/infrastructure-general/adaniportsspecialeconomiczone/MPS,1650.0,"30 Apr, 2026|15:59"
52WeekHigh,AI52,AI43,AGI Infra,/construction-contracting-civil/agiinfra/AI43,395.0,"30 Apr, 2026|15:59"
52WeekHigh,AEL04,AEL03,Aimtron Electro,/electronics-components/aimtronelectronics/AEL03,1099.0,"30 Apr, 2026|15:57"
52WeekHigh,ATS01,ATS01,Anlon Tech,/engineering/anlontechnologysolutions/ATS01,519.0,"30 Apr, 2026|15:40"
52WeekHigh,AI40,AI40,Apar Ind,/electric-equipment/aparindustries/AI40,12447.0,"30 Apr, 2026|15:49"
52WeekHigh,AHW,AHW,Asian Hotel (W),/hotels/asianhotelswest/AHW,361.73,"30 Apr, 2026|15:56"
52WeekHigh,BRI,BRI02,BCPL Railway In,/transport-logistics/bcplrailwayinfrastructure/BRI02,78.98,"30 Apr, 2026|15:51"
52WeekHigh,MR,CPC02,Chennai Petro,/refineries/chennaipetroleumcorporation/CPC02,1135.0,"30 Apr, 2026|15:59"
52WeekHigh,CTI03,CTI03,Citius TransNet,/transport-infrastructure/citiustransnetinvestmenttrust/CTI03,106.25,"30 Apr, 2026|15:59"
52WeekHigh,CMEESL,CMEESL,Clean Max Envir,/renewables/cleanmaxenviroenergysolutions/CMEESL,1095.0,"30 Apr, 2026|15:55"
52WeekHigh,CI29,CI11,Coal India,/mining-minerals/coalindia/CI11,484.45,"30 Apr, 2026|15:59"
52WeekHigh,CCC03,CCC03,Committed Cargo,/logistics/committedcargocare/CCC03,269.0,"30 Apr, 2026|15:42"
52WeekHigh,CR02,CR02,Cupid,/miscellaneous/cupid/CR02,116.0,"30 Apr, 2026|15:59"
52WeekHigh,DSM,DSM,Dhampur Sugar,/sugar/dhampursugarmills/DSM,144.81,"30 Apr, 2026|15:59"
52WeekHigh,DHJ,DHJ,Divine Hira Jew,/diamond--jewellery/divinehirajewellers/DHJ,315.9,"30 Apr, 2026|15:40"
52WeekHigh,DPEL,DPEL,Divine Power,/metals-non-ferrous/divinepowerenergy/DPEL,497.05,"30 Apr, 2026|15:40"
52WeekHigh,ABB01,AP29,GE Power India,/power-transmission-equipment/gepowerindia/AP29,575.95,"30 Apr, 2026|15:55"
52WeekHigh,GAC01,GAC01,Guj Alkali,/chemicals/gujaratalkalieschemicals/GAC01,735.95,"30 Apr, 2026|15:59"
52WeekHigh,GKSSL,GKSSL,Gujarat Kidney,/hospital-healthcare-services/gujaratkidneysuperspeciality/GKSSL,118.8,"30 Apr, 2026|15:59"
52WeekHigh,GI26,GI34,Hardwyn,/aluminium/hardwynindia/GI34,27.5,"30 Apr, 2026|15:56"
52WeekHigh,HFC,HFC,HFCL,/telecommunications-equipment/hfcl/HFC,106.8,"30 Apr, 2026|15:59"
