MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
MPS,MPS,Adani Ports,1726.7,1727.7,1658.4,1664.1,1719.7,-55.60,-3.23,5395211
HSL01,HSL01,HDFC Life,557.0,558.85,544.7,545.4,556.7,-11.30,-2.03,4394541
STF,STF,Shriram Finance,1038.0,1051.0,1019.5,1027.2,1044.7,-17.50,-1.68,5425880
UTC,UTC01,UltraTechCement,11800.0,11861.0,11730.0,11847.0,11998.0,-151.00,-1.26,291418
JFS,JFS,Jio Financial,248.75,249.9,245.1,246.95,249.48,-2.53,-1.01,15570324
SLI03,SLI03,SBI Life Insura,1882.2,1910.0,1862.6,1877.5,1894.9,-17.40,-0.92,1513264
IA05,IA04,Interglobe Avi,5210.0,5258.0,5194.0,5230.5,5276.5,-46.00,-0.87,549497
BF04,BF04,Bajaj Finserv,1918.3,1933.4,1892.3,1909.4,1924.4,-15.00,-0.78,752615
BE03,BE03,Bharat Elec,386.0,387.5,382.7,384.9,387.55,-2.65,-0.68,16521484
TCS,TCS,TCS,2440.0,2495.0,2423.0,2431.8,2446.6,-14.80,-0.60,4901582
C,C,Cipla,1478.8,1483.8,1464.1,1466.4,1474.3,-7.90,-0.54,833068
UTI10,AB16,Axis Bank,1229.0,1232.2,1220.2,1228.9,1235.4,-6.50,-0.53,6878684
HL,HU,HUL,2120.0,2132.6,2088.0,2107.9,2117.8,-9.90,-0.47,2602039
JVS,JSW01,JSW Steel,1279.1,1304.5,1261.5,1270.8,1276.6,-5.80,-0.45,923153
API,AP31,Asian Paints,2758.1,2767.9,2666.2,2746.2,2758.4,-12.20,-0.44,2387024
ITC,ITC,ITC,286.1,288.4,283.75,285.05,286.25,-1.20,-0.42,18283697
Z01,Z,Eternal,307.0,312.25,305.0,310.65,311.8,-1.15,-0.37,32431887
ICI02,ICI02,ICICI Bank,1431.1,1442.2,1422.6,1433.9,1437.9,-4.00,-0.28,14141173
GI01,GI01,Grasim,3115.0,3115.5,3085.5,3104.8,3113.0,-8.20,-0.26,301353
KMF,KMB,Kotak Mahindra,385.7,390.2,385.7,389.4,390.2,-0.80,-0.21,12205963
L,T04,Trent,3020.2,3042.6,2982.0,2999.2,3005.2,-6.00,-0.20,806910
TIS,TIS,Tata Steel,188.01,188.99,186.1,186.92,187.27,-0.35,-0.19,13769746
TT,TT,TATA Cons. Prod,1096.1,1108.9,1090.4,1094.2,1096.1,-1.90,-0.17,1677784
BAF,BAF,Bajaj Finance,1046.0,1068.0,1035.1,1053.5,1054.4,-0.90,-0.09,9866564
IT,IT,Infosys,1168.0,1187.7,1151.3,1155.1,1155.6,-0.50,-0.04,22630218
