MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
EM,EM,Eicher Motors,7392.0,7392.5,6942.5,7073.5,7426.0,-352.50,-4.75,2474671
IT,IT,Infosys,1030.0,1030.4,996.0,1000.4,1036.7,-36.30,-3.50,24128263
TT,TT,TATA Cons. Prod,1089.0,1097.7,1065.1,1075.6,1112.8,-37.20,-3.34,5430865
TCS,TCS,TCS,2090.0,2104.3,2018.8,2031.5,2097.9,-66.40,-3.17,6848411
W,W,Wipro,175.0,175.4,170.05,170.39,175.48,-5.09,-2.90,26845383
HCL02,HCL02,HCL Tech,1102.5,1105.7,1068.6,1071.8,1102.4,-30.60,-2.78,3794233
TM4,TM4,Tech Mahindra,1438.0,1443.8,1398.9,1404.7,1433.8,-29.10,-2.03,2421536
MHI,MHI,Max Healthcare,1149.0,1153.65,1125.0,1129.25,1149.9,-20.65,-1.80,2457312
HL,HU,HUL,2151.0,2151.3,2114.2,2118.2,2151.3,-33.10,-1.54,2364422
DRL,DRL,Dr Reddys Labs,1375.0,1375.0,1347.1,1357.1,1375.7,-18.60,-1.35,2446438
CI29,CI11,Coal India,445.6,446.85,437.95,439.05,444.85,-5.80,-1.30,4363382
ITC,ITC,ITC,291.5,291.6,285.5,286.95,290.7,-3.75,-1.29,18180676
HSL01,HSL01,HDFC Life,583.7,584.95,571.15,575.85,583.25,-7.40,-1.27,3716670
ICI02,ICI02,ICICI Bank,1402.0,1402.0,1366.1,1375.2,1387.6,-12.40,-0.89,18398057
SBI,SBI,SBI,1040.0,1044.0,1025.05,1026.9,1036.1,-9.20,-0.89,11161643
KMF,KMB,Kotak Mahindra,395.5,397.0,389.9,392.25,395.5,-3.25,-0.82,24824891
UTI10,AB16,Axis Bank,1357.7,1375.0,1343.6,1345.7,1356.8,-11.10,-0.82,7781221
API,AP31,Asian Paints,2658.0,2672.1,2630.3,2635.7,2656.9,-21.20,-0.80,1821479
TIS,TIS,Tata Steel,189.5,190.4,187.05,188.06,189.57,-1.51,-0.80,33686235
MM,MM,M&M,3105.0,3122.9,3061.8,3068.8,3093.0,-24.20,-0.78,3882185
H,HI,Hindalco,957.0,966.6,948.8,956.6,963.8,-7.20,-0.75,8514541
UTC,UTC01,UltraTechCement,11317.0,11377.0,11219.0,11253.0,11336.0,-83.00,-0.73,331714
SPI,SPI,Sun Pharma,1885.0,1892.9,1859.4,1862.5,1874.8,-12.30,-0.66,2352774
RI,RI,Reliance,1306.9,1306.9,1290.0,1293.9,1301.0,-7.10,-0.55,15695263
LT,LT,Larsen,4183.0,4193.8,4134.1,4143.4,4165.2,-21.80,-0.52,1539094
JVS,JSW01,JSW Steel,1232.0,1238.7,1221.5,1226.4,1232.4,-6.00,-0.49,1242580
HDF01,HDF01,HDFC Bank,806.1,806.1,792.75,797.95,798.9,-0.95,-0.12,45778356
JFS,JFS,Jio Financial,237.0,238.32,235.26,236.44,236.71,-0.27,-0.11,9951114
