MC_Code,shortName,StockName,open,high,low,currPrice,prevPrice,change,pChange,volume
BAF,BAF,Bajaj Finance,1095.0,1151.5,1083.6,1141.2,1053.5,87.70,8.32,40814590
BF04,BF04,Bajaj Finserv,1932.0,2036.6,1930.0,2029.1,1909.4,119.70,6.27,3731886
JFS,JFS,Jio Financial,247.5,257.06,247.0,256.46,246.95,9.51,3.85,42840807
MM,MM,M&M,3379.9,3457.0,3243.3,3398.5,3283.7,114.80,3.50,6131873
MPS,MPS,Adani Ports,1674.0,1708.1,1650.0,1696.5,1664.1,32.40,1.95,4703646
STF,STF,Shriram Finance,1029.2,1054.6,1029.1,1046.7,1027.2,19.50,1.90,6318223
TEL,TM03,TMPV,335.55,341.95,334.5,339.75,334.2,5.55,1.66,8527463
TIS,TIS,Tata Steel,188.25,191.84,186.31,189.69,186.92,2.77,1.48,34249584
RI,RI,Reliance,1295.0,1309.7,1293.6,1307.8,1292.9,14.90,1.15,8624996
BTV,BA08,Bharti Airtel,1969.0,1976.4,1947.4,1972.0,1956.8,15.20,0.78,6529385
BA06,BA10,Bajaj Auto,11475.0,11590.0,11329.5,11520.5,11432.0,88.50,0.77,214380
BE03,BE03,Bharat Elec,385.0,390.6,385.0,387.85,384.9,2.95,0.77,17114563
NTP,NTP,NTPC,344.1,348.25,343.55,347.25,344.85,2.40,0.70,8519119
HSL01,HSL01,HDFC Life,548.7,550.9,544.05,548.5,545.4,3.10,0.57,11438476
TI01,TI01,Titan Company,4850.0,4886.0,4820.9,4875.2,4850.0,25.20,0.52,1003314
UTC,UTC01,UltraTechCement,11850.0,12009.0,11799.0,11903.0,11847.0,56.00,0.47,390471
C,C,Cipla,1473.4,1478.8,1462.3,1473.2,1466.4,6.80,0.46,1223370
H,HI,Hindalco,979.8,988.0,971.05,974.45,970.4,4.05,0.42,5579336
ONG,ONG,ONGC,241.58,242.96,238.17,242.53,241.59,0.94,0.39,10070729
MU01,MS24,Maruti Suzuki,14250.0,14348.0,14124.0,14234.0,14188.0,46.00,0.32,535417
DRL,DRL,Dr Reddys Labs,1152.0,1154.3,1141.7,1148.1,1144.8,3.30,0.29,1085841
SLI03,SLI03,SBI Life Insura,1885.0,1898.9,1870.6,1882.0,1877.5,4.50,0.24,723852
KMF,KMB,Kotak Mahindra,390.2,391.85,388.0,390.3,389.4,0.90,0.23,7014637
L,T04,Trent,3008.0,3026.7,2990.9,3005.9,2999.2,6.70,0.22,605222
SBI,SBI,SBI,1028.1,1034.3,1023.5,1027.4,1025.3,2.10,0.20,10921417
ICI02,ICI02,ICICI Bank,1434.3,1441.9,1431.4,1435.4,1433.9,1.50,0.10,8752440
UTI10,AB16,Axis Bank,1226.2,1239.7,1226.0,1229.5,1228.9,0.60,0.05,7487936
API,AP31,Asian Paints,2773.9,2774.9,2732.4,2747.3,2746.2,1.10,0.04,891738
LT,LT,Larsen,3962.9,3973.1,3923.2,3938.9,3937.7,1.20,0.03,1753377
