Date,Trend,Signal,Comment,IndicatorSummary,ScannerName,ScannerCode,Category,MC_StkName,MC_Code_Used,LTP_MC,NSE_SYMBOL,SERIES,PREV_CLOSE,OPEN,HIGH,LOW,CLOSE,AVG_PRICE,VOLUME,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,Ind1_Name,Ind1_Value,Ind2_Name,Ind2_Value,Ind3_Name,Ind3_Value,IndicatorFile,MatchType,ConfidenceScore,LTP_Close_Pct
04-Sep-2026,Bearish,MFI Bearish Crossovers (Weekly),MFI Bearish Crossovers (Weekly),MFI Indicator value: 77.09 | change %: 1.93,MFI Bearish Crossovers (Weekly),OHLC_W_I_MFIBELAVE,Indicator Scans,20 Microns,2M,222.03,20MICRONS,EQ,217.82,218.91,224.9,216.5,222.49,221.03,174812,386.39,4145, 82174, 47.01,MFI Indicator value,77.09,change %,1.93,,,mfi.csv,MC_Mapping,100,0.2%
04-Sep-2026,Bearish,Bearish Trend,"Trend: Bearish | Since: 27 Aug, 2026 | From: ₹42.00",,,,,21st Cen Mgt,TCM,38.13,21STCENMGM,EQ,38.1,38.49,38.7,37.36,38.13,38.01,2056,0.78,44, 1530, 74.42,,,,,,,bearish.csv,MC_Mapping,100,0.0%
04-Sep-2026,Bearish,Bearish Trend,"Trend: Bearish | Since: 03 Sep, 2026 | From: ₹1,155.00",,,,,360 ONE WAM,IIFLW54277,1137.0,360ONE,EQ,1155.0,1149.1,1156.1,1127.1,1137.0,1140.54,603451,6882.6,32281, 311039, 51.54,,,,,,,bearish.csv,MC_Mapping,100,0.0%
04-Sep-2026,Bearish,Bearish Trend,Stochastic %K crossed below %D line — Bearish crossover,"change %: -1.56 | Low Price value: 1,127.10 | change absolute: -18.00",Swing Breakdown,OHLC_D_I_10DSTOCHBEAR,Breakout Scan,,IIFLW54277,1137.0,360ONE,EQ,1155.0,1149.1,1156.1,1127.1,1137.0,1140.54,603451,6882.6,32281, 311039, 51.54,change %,-1.56,Low Price value,"1,127.10",change absolute,-18.00,bearish_breakout.csv,MC_Mapping,100,0.0%
04-Sep-2026,Bearish,Bearish Trend,Stock giving breakdown using Bearish Turtle trading method today,"change %: -1.56 | Low Price value: 1,128.60 | change absolute: -18.00",Bearish Turtle Trading,OHLC_20D_P_CLBLWPWL,Breakout Scan,360 ONE WAM,IIFLW54277,1137.0,360ONE,EQ,1155.0,1149.1,1156.1,1127.1,1137.0,1140.54,603451,6882.6,32281, 311039, 51.54,change %,-1.56,Low Price value,"1,128.60",change absolute,-18.00,bearish_breakout.csv,MC_Mapping,100,0.0%
04-Sep-2026,Bearish,Bearish Trend,Three Candlestick Pattern,"change %: -1.56 | Close Price value: 1,137.00 | change absolute: -63.00",Bearish Three evening Star (Weekly),OHLC_W_P_3EVESTAR,Candle Stick Patterns,360 ONE WAM,IIFLW54277,1137.0,360ONE,EQ,1155.0,1149.1,1156.1,1127.1,1137.0,1140.54,603451,6882.6,32281, 311039, 51.54,change %,-1.56,Close Price value,"1,137.00",change absolute,-63.00,candlestick_bearish.csv,MC_Mapping,100,0.0%
04-Sep-2026,Bearish,Momentum Reversal - Bearish Signal,Momentum Reversal - Bearish Signal,change %: -1.56 | MACD Indicator value: 8.36,Momentum Reversal - Bearish Signal,OHLC_D_I_MACDREVBEAR,Indicator Scans,360 ONE WAM,IIFLW54277,1137.0,360ONE,EQ,1155.0,1149.1,1156.1,1127.1,1137.0,1140.54,603451,6882.6,32281, 311039, 51.54,change %,-1.56,MACD Indicator value,8.36,,,macd.csv,MC_Mapping,100,0.0%
04-Sep-2026,Bearish,MFI Bearish Crossovers (Weekly),MFI Bearish Crossovers (Weekly),MFI Indicator value: 48.30 | change %: -1.56,MFI Bearish Crossovers (Weekly),OHLC_W_I_MFIBELAVE,Indicator Scans,360 ONE WAM,IIFLW54277,1137.0,360ONE,EQ,1155.0,1149.1,1156.1,1127.1,1137.0,1140.54,603451,6882.6,32281, 311039, 51.54,MFI Indicator value,48.30,change %,-1.56,,,mfi.csv,MC_Mapping,100,0.0%
04-Sep-2026,Bearish,MFI Bearish Crossovers in bearish Zone (Weekly),MFI Bearish Crossovers in bearish Zone (Weekly),MFI Indicator value: 48.30 | change %: -1.56,MFI Bearish Crossovers in bearish Zone (Weekly),OHLC_W_I_MFI50COBEAR,Indicator Scans,360 ONE WAM,IIFLW54277,1137.0,360ONE,EQ,1155.0,1149.1,1156.1,1127.1,1137.0,1140.54,603451,6882.6,32281, 311039, 51.54,MFI Indicator value,48.30,change %,-1.56,,,mfi.csv,MC_Mapping,100,0.0%
04-Sep-2026,Bearish,Bearish Trend,Price crossed below Moving Average — Bearish signal,"Change Percent: -1.56 | 50-DMA Indicator value: 1,144.02",50 DMA Breakdown,OHLC_D_I_50DMABEAR,Moving Average Scan,360 ONE WAM,IIFLW54277,1137.0,360ONE,EQ,1155.0,1149.1,1156.1,1127.1,1137.0,1140.54,603451,6882.6,32281, 311039, 51.54,Change Percent,-1.56,50-DMA Indicator value,"1,144.02",,,moving_average_bearish.csv,MC_Mapping,100,0.0%
