Date,Trend,Signal,Comment,IndicatorSummary,ScannerName,ScannerCode,Category,MC_StkName,MC_Code_Used,LTP_MC,NSE_SYMBOL,SERIES,PREV_CLOSE,OPEN,HIGH,LOW,CLOSE,AVG_PRICE,VOLUME,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,Ind1_Name,Ind1_Value,Ind2_Name,Ind2_Value,Ind3_Name,Ind3_Value,IndicatorFile,MatchType,ConfidenceScore,LTP_Close_Pct
07-May-2026,Bearish,Momentum Reversal - Bearish Signal,Momentum Reversal - Bearish Signal,change %: 1.45 | MACD Indicator value: 10.58,Momentum Reversal - Bearish Signal,OHLC_D_I_MACDREVBEAR,Indicator Scans,20 Microns,2M,184.97,20MICRONS,EQ,182.32,183.8,186.7,182.32,184.2,184.72,89735,165.76,1810, 51904, 57.84,change %,1.45,MACD Indicator value,10.58,,,macd.csv,MC_Mapping,100,0.4%
07-May-2026,Bearish,MFI Bearish Crossovers (Daily),MFI (14) indicator went below its average line in the current session,MFI Indicator value: 66.34 | change %: 1.45,MFI Bearish Crossovers (Daily),OHLC_D_I_MFIBELAVE,Indicator Scans,20 Microns,2M,184.97,20MICRONS,EQ,182.32,183.8,186.7,182.32,184.2,184.72,89735,165.76,1810, 51904, 57.84,MFI Indicator value,66.34,change %,1.45,,,mfi.csv,MC_Mapping,100,0.4%
07-May-2026,Bearish,Momentum Reversal - Bearish Signal,Momentum Reversal - Bearish Signal,change %: 2.49 | MACD Indicator value: 32.90,Momentum Reversal - Bearish Signal,OHLC_D_I_MACDREVBEAR,Indicator Scans,360 ONE WAM,IIFLW54277,1111.1,360ONE,EQ,1084.1,1084.1,1118.0,1083.0,1111.7,1104.5,809803,8944.28,25234, 392227, 48.43,change %,2.49,MACD Indicator value,32.90,,,macd.csv,MC_Mapping,100,0.1%
07-May-2026,Bearish,Bearish Trend,Single Candlestick Pattern,change %: 1.66 | Close Price value: 17.72 | change absolute: 0.29,Hanging Man (Daily),OHLC_D_P_HANGMAN,Candle Stick Patterns,3i Infotech,I11,17.72,3IINFOLTD,EQ,17.43,17.79,17.79,17.43,17.67,17.6,240910,42.41,1239, 160058, 66.44,change %,1.66,Close Price value,17.72,change absolute,0.29,candlestick_bearish.csv,MC_Mapping,100,0.3%
07-May-2026,Bearish,Bearish Trend,Single Candlestick Pattern,change %: 1.66 | Close Price value: 17.72 | change absolute: 0.26,Hanging Man (Weekly),OHLC_W_P_HANGMAN,Candle Stick Patterns,3i Infotech,I11,17.72,3IINFOLTD,EQ,17.43,17.79,17.79,17.43,17.67,17.6,240910,42.41,1239, 160058, 66.44,change %,1.66,Close Price value,17.72,change absolute,0.26,candlestick_bearish.csv,MC_Mapping,100,0.3%
07-May-2026,Bearish,Momentum Reversal - Bearish Signal,Momentum Reversal - Bearish Signal,change %: 1.66 | MACD Indicator value: 1.04,Momentum Reversal - Bearish Signal,OHLC_D_I_MACDREVBEAR,Indicator Scans,3i Infotech,I11,17.72,3IINFOLTD,EQ,17.43,17.79,17.79,17.43,17.67,17.6,240910,42.41,1239, 160058, 66.44,change %,1.66,MACD Indicator value,1.04,,,macd.csv,MC_Mapping,100,0.3%
07-May-2026,Bearish,Bearish Trend,Single Candlestick Pattern,change %: 0.77 | Close Price value: 342.00 | change absolute: 2.60,Hanging Man (Daily),OHLC_D_P_HANGMAN,Candle Stick Patterns,5paisa Capita,C96,342.0,5PAISA,EQ,339.4,343.0,343.85,334.4,339.95,339.77,46928,159.45,1349, 18510, 39.44,change %,0.77,Close Price value,342.00,change absolute,2.60,candlestick_bearish.csv,MC_Mapping,100,0.6%
07-May-2026,Bearish,Momentum Reversal - Bearish Signal,Momentum Reversal - Bearish Signal,change %: 0.77 | MACD Indicator value: 22.45,Momentum Reversal - Bearish Signal,OHLC_D_I_MACDREVBEAR,Indicator Scans,5paisa Capita,C96,342.0,5PAISA,EQ,339.4,343.0,343.85,334.4,339.95,339.77,46928,159.45,1349, 18510, 39.44,change %,0.77,MACD Indicator value,22.45,,,macd.csv,MC_Mapping,100,0.6%
07-May-2026,Bearish,Bearish Trend,RSI Power Breakdown,change %: -0.67 | Low Price value: 740.15 | change absolute: -6.50,RSI Power Breakdown,OHLC_D_I_RSIPOWBD,Breakout Scan,63 Moons Tech,WT01,735.95,63MOONS,EQ,740.9,743.6,759.0,732.85,741.0,747.08,93901,701.52,4504, 31796, 33.86,change %,-0.67,Low Price value,740.15,change absolute,-6.50,bearish_breakout.csv,MC_Mapping,100,0.7%
07-May-2026,Bearish,Bearish Trend,2 Candlestick Bearish Pattern,change %: -0.67 | Close Price value: 735.95 | change absolute: -4.95,Bearish Engulfing (Daily),OHLC_D_P_ENGBEAR,Candle Stick Patterns,63 Moons Tech,WT01,735.95,63MOONS,EQ,740.9,743.6,759.0,732.85,741.0,747.08,93901,701.52,4504, 31796, 33.86,change %,-0.67,Close Price value,735.95,change absolute,-4.95,candlestick_bearish.csv,MC_Mapping,100,0.7%
