Date,Trend,ScannerName,ScannerCode,Category,MC_nsCode,MC_StkId,MC_StkName,LTP_MC,NSE_SYMBOL,SERIES,PREV_CLOSE,OPEN,HIGH,LOW,CLOSE,AVG_PRICE,VOLUME,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,IndicatorFile,MatchType
08-Apr-2026,Bearish,,,,,,Cipla,1215.9,CIPLA,EQ,1202.4,1220.0,1223.0,1204.5,1215.9,1214.77,2476674,30085.82,64463, 1404698, 56.72,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,HDFC Life,598.3,HDFCLIFE,EQ,581.7,595.0,608.55,592.05,598.3,601.76,5911479,35572.99,120848, 3863732, 65.36,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Bajaj Finserv,1784.6,BAJAJFINSV,EQ,1684.4,1751.5,1809.0,1751.5,1784.6,1785.87,2059323,36776.81,114101, 1024694, 49.76,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Max Healthcare,941.15,MAXHEALTH,EQ,932.4,942.45,953.0,939.3,941.15,944.83,3351069,31662.01,53147, 1983623, 59.19,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,TMPV,334.75,TMPV,EQ,308.7,321.0,337.0,318.95,334.75,331.61,20930060,69405.34,195660, 8143895, 38.91,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,M&M,3210.1,M&M,EQ,3006.6,3125.0,3231.0,3109.0,3210.1,3203.75,4227961,135453.3,162425, 2059584, 48.71,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Kotak Mahindra,380.15,KOTAKBANK,EQ,362.95,377.0,381.15,369.45,380.15,376.64,30162218,113604.3,236895, 20215003, 67.02,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,UltraTechCement,11603.0,ULTRACEMCO,EQ,10936.0,11400.0,11776.0,11349.0,11603.0,11639.49,612764,71322.58,86582, 376897, 61.51,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Bharti Airtel,1861.6,BHARTIARTL,EQ,1830.3,1864.0,1871.5,1840.2,1861.6,1858.28,11587604,215329.72,301017, 6836138, 59.00,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Reliance,1347.8,RELIANCE,EQ,1304.6,1349.0,1350.6,1326.2,1347.8,1343.02,21817543,293014.23,434059, 10468433, 47.98,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Dr Reddys Labs,1191.4,DRREDDY,EQ,1196.1,1210.0,1219.9,1185.4,1191.4,1193.37,2063229,24622.0,76501, 1084493, 52.56,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,ICICI Bank,1309.2,ICICIBANK,EQ,1245.5,1310.0,1333.5,1292.4,1309.2,1307.02,25148651,328697.93,267068, 14746595, 58.64,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Bajaj Finance,915.05,BAJFINANCE,EQ,855.1,890.0,926.0,881.0,915.05,913.7,13826150,126329.59,214092, 7503023, 54.27,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Sun Pharma,1714.6,SUNPHARMA,EQ,1718.0,1730.0,1749.2,1685.5,1714.6,1706.01,4859877,82910.2,142829, 3219144, 66.24,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,Yes Bank,19.04,YESBANK,EQ,18.13,18.88,19.1,18.68,19.04,18.9,117741157,22249.42,95439, 47245261, 40.13,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,IDFC First Bank,65.87,IDFCFIRSTB,EQ,61.19,63.99,66.21,63.0,65.87,64.7,42736119,27650.3,84245, 16812131, 39.34,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Exide Ind,314.15,EXIDEIND,EQ,297.25,307.0,317.75,303.0,314.15,313.25,2826346,8853.64,32734, 1146786, 40.57,bearish.csv,Name_Exact
08-Apr-2026,Bearish,,,,,,M&M Financial,296.7,M&MFIN,EQ,277.5,289.0,300.45,284.15,296.7,295.66,6892985,20379.53,97871, 3729304, 54.10,bearish.csv,PriceFallback(±0.00)
08-Apr-2026,Bearish,,,,,,Rail Vikas,274.94,RVNL,EQ,261.26,275.0,276.48,271.15,274.94,273.81,7152702,19584.67,54523, 2157615, 30.17,bearish.csv,PriceFallback(±0.00)
