Date,Trend,Signal,Comment,IndicatorSummary,ScannerName,ScannerCode,Category,MC_StkName,MC_Code_Used,LTP_MC,NSE_SYMBOL,SERIES,PREV_CLOSE,OPEN,HIGH,LOW,CLOSE,AVG_PRICE,VOLUME,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,Ind1_Name,Ind1_Value,Ind2_Name,Ind2_Value,Ind3_Name,Ind3_Value,IndicatorFile,MatchType,ConfidenceScore,LTP_Close_Pct
08-Jun-2026,Bearish,Bearish Trend,2 Candlestick Bearish Pattern,change %: -5.63 | Close Price value: 184.74 | change absolute: -11.03,Bearish Engulfing (Daily),OHLC_D_P_ENGBEAR,Candle Stick Patterns,20 Microns,2M,184.74,20MICRONS,EQ,195.77,195.9,195.9,184.08,185.14,187.8,348412,654.3,6280, 159026, 45.64,change %,-5.63,Close Price value,184.74,change absolute,-11.03,candlestick_bearish.csv,MC_Mapping,100,0.2%
08-Jun-2026,Bearish,Bearish Trend,2 Candlestick Bearish Pattern,change %: -5.63 | Close Price value: 184.74 | change absolute: -11.03,Bearish Engulfing (Weekly),OHLC_W_P_ENGBEAR,Candle Stick Patterns,20 Microns,2M,184.74,20MICRONS,EQ,195.77,195.9,195.9,184.08,185.14,187.8,348412,654.3,6280, 159026, 45.64,change %,-5.63,Close Price value,184.74,change absolute,-11.03,candlestick_bearish.csv,MC_Mapping,100,0.2%
08-Jun-2026,Bearish,MFI Bearish Crossovers (Daily),MFI (14) indicator went below its average line in the current session,MFI Indicator value: 80.86 | change %: -5.63,MFI Bearish Crossovers (Daily),OHLC_D_I_MFIBELAVE,Indicator Scans,20 Microns,2M,184.74,20MICRONS,EQ,195.77,195.9,195.9,184.08,185.14,187.8,348412,654.3,6280, 159026, 45.64,MFI Indicator value,80.86,change %,-5.63,,,mfi.csv,MC_Mapping,100,0.2%
08-Jun-2026,Bearish,Bearish Trend,Price crossed below Moving Average — Bearish signal,Change Percent: -5.63 | 200-DMA Indicator value: 192.49,200 DMA Breakdown,OHLC_D_I_200DMABEAR,Moving Average Scan,20 Microns,2M,184.74,20MICRONS,EQ,195.77,195.9,195.9,184.08,185.14,187.8,348412,654.3,6280, 159026, 45.64,Change Percent,-5.63,200-DMA Indicator value,192.49,,,moving_average_bearish.csv,MC_Mapping,100,0.2%
08-Jun-2026,Bearish,Bearish Trend,Stocks breaking down 5-day moving average,change %: -5.63 | 5-SMA Indicator value: 188.49,5 DMA Breakdown,OHLC_D_I_BLW5DMA,Moving Average Scan,20 Microns,2M,184.74,20MICRONS,EQ,195.77,195.9,195.9,184.08,185.14,187.8,348412,654.3,6280, 159026, 45.64,change %,-5.63,5-SMA Indicator value,188.49,,,moving_average_bearish.csv,MC_Mapping,100,0.2%
08-Jun-2026,Bearish,RSI Bearish Crossovers (Daily),"RSI (14,9) indicator went below its average line in the current session",RSI Indicator value: 52.64 | change %: -5.63,RSI Bearish Crossovers (Daily),OHLC_D_I_RSIBELAVE,Indicator Scans,20 Microns,2M,184.74,20MICRONS,EQ,195.77,195.9,195.9,184.08,185.14,187.8,348412,654.3,6280, 159026, 45.64,RSI Indicator value,52.64,change %,-5.63,,,rsi.csv,MC_Mapping,100,0.2%
08-Jun-2026,Bearish,Bearish Trend,"Trend: Very Bearish | Since: 01 Jun, 2026 | From: ₹1,078.80",,,,,360 ONE WAM,IIFLW54277,1054.9,360ONE,EQ,1073.9,1068.0,1068.9,1047.7,1054.9,1058.31,344987,3651.02,22298, 147541, 42.77,,,,,,,bearish.csv,MC_Mapping,100,0.0%
08-Jun-2026,Bearish,Bearish Trend,Stock breaking support along with Sell signal in directional indicator,"change %: -1.78 | Close Price value: 1,054.80 | change absolute: -2.20",Perfect Sell,OHLC_D_I_ADBBPSELL,Breakout Scan,360 ONE WAM,IIFLW54277,1054.8,360ONE,EQ,1073.9,1068.0,1068.9,1047.7,1054.9,1058.31,344987,3651.02,22298, 147541, 42.77,change %,-1.78,Close Price value,"1,054.80",change absolute,-2.20,bearish_breakout.csv,MC_Mapping,100,0.0%
08-Jun-2026,Bearish,Bearish Trend,Stochastic %K crossed below %D line — Bearish crossover,"change %: -1.78 | Low Price value: 1,047.70 | change absolute: -19.10",Swing Breakdown,OHLC_D_I_10DSTOCHBEAR,Breakout Scan,,IIFLW54277,1054.8,360ONE,EQ,1073.9,1068.0,1068.9,1047.7,1054.9,1058.31,344987,3651.02,22298, 147541, 42.77,change %,-1.78,Low Price value,"1,047.70",change absolute,-19.10,bearish_breakout.csv,MC_Mapping,100,0.0%
08-Jun-2026,Bearish,Bearish Trend,Stock giving breakdown using Bearish Turtle trading method today,"change %: -1.78 | Low Price value: 1,049.20 | change absolute: -19.10",Bearish Turtle Trading,OHLC_20D_P_CLBLWPWL,Breakout Scan,360 ONE WAM,IIFLW54277,1054.8,360ONE,EQ,1073.9,1068.0,1068.9,1047.7,1054.9,1058.31,344987,3651.02,22298, 147541, 42.77,change %,-1.78,Low Price value,"1,049.20",change absolute,-19.10,bearish_breakout.csv,MC_Mapping,100,0.0%
08-Jun-2026,Bearish,Momentum Reversal - Bearish Signal,Momentum Reversal - Bearish Signal,change %: -1.78 | MACD Indicator value: 2.98,Momentum Reversal - Bearish Signal,OHLC_D_I_MACDREVBEAR,Indicator Scans,360 ONE WAM,IIFLW54277,1054.8,360ONE,EQ,1073.9,1068.0,1068.9,1047.7,1054.9,1058.31,344987,3651.02,22298, 147541, 42.77,change %,-1.78,MACD Indicator value,2.98,,,macd.csv,MC_Mapping,100,0.0%
