Date,Trend,Signal,Comment,IndicatorSummary,ScannerName,ScannerCode,Category,MC_StkName,MC_Code_Used,LTP_MC,NSE_SYMBOL,SERIES,PREV_CLOSE,OPEN,HIGH,LOW,CLOSE,AVG_PRICE,VOLUME,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,Ind1_Name,Ind1_Value,Ind2_Name,Ind2_Value,Ind3_Name,Ind3_Value,IndicatorFile,MatchType,ConfidenceScore,LTP_Close_Pct
24-Aug-2026,Bearish,Bearish Trend,Range Breakout to the upside — Bullish breakout,"change %: -0.77 | Close Price value: 1,189.80 | change absolute: -9.20",Outside Bar (Daily),OHLC_D_P_OUTBARBULL,Candle Stick Patterns,360 ONE WAM,IIFLW54277,1189.8,360ONE,EQ,1199.0,1202.0,1215.2,1189.8,1189.8,1205.26,712864,8591.86,55743, 434850, 61.00,change %,-0.77,Close Price value,"1,189.80",change absolute,-9.20,candlestick_bearish.csv,MC_Mapping,100,0.0%
24-Aug-2026,Bearish,RSI Bearish Crossovers (Daily),"RSI (14,9) indicator went below its average line in the current session",RSI Indicator value: 58.54 | change %: -0.77,RSI Bearish Crossovers (Daily),OHLC_D_I_RSIBELAVE,Indicator Scans,360 ONE WAM,IIFLW54277,1189.8,360ONE,EQ,1199.0,1202.0,1215.2,1189.8,1189.8,1205.26,712864,8591.86,55743, 434850, 61.00,RSI Indicator value,58.54,change %,-0.77,,,rsi.csv,MC_Mapping,100,0.0%
24-Aug-2026,Bearish,Bearish Trend,Three Candlestick Pattern,change %: 4.99 | Close Price value: 23.36 | change absolute: 1.11,3 Undisclosed Bearish Window (Daily),OHLC_D_P_3UNWINBEAR,Candle Stick Patterns,3i Infotech,I11,23.36,3IINFOLTD,BE,23.36,24.52,24.52,24.52,24.52,24.52,339855,83.33,527, -, -,change %,4.99,Close Price value,23.36,change absolute,1.11,candlestick_bearish.csv,MC_Mapping,100,5.0%
24-Aug-2026,Bearish,Bearish Trend,2 Candlestick Bearish Pattern,change %: 4.99 | Close Price value: 23.36 | change absolute: -3.59,Bearish Engulfing (Weekly),OHLC_W_P_ENGBEAR,Candle Stick Patterns,3i Infotech,I11,23.36,3IINFOLTD,BE,23.36,24.52,24.52,24.52,24.52,24.52,339855,83.33,527, -, -,change %,4.99,Close Price value,23.36,change absolute,-3.59,candlestick_bearish.csv,MC_Mapping,100,5.0%
24-Aug-2026,Bearish,Bearish Trend,Range Breakout to the upside — Bullish breakout,change %: 4.99 | Close Price value: 23.36 | change absolute: 1.11,Outside Bar (Daily),OHLC_D_P_OUTBARBULL,Candle Stick Patterns,3i Infotech,I11,23.36,3IINFOLTD,BE,23.36,24.52,24.52,24.52,24.52,24.52,339855,83.33,527, -, -,change %,4.99,Close Price value,23.36,change absolute,1.11,candlestick_bearish.csv,MC_Mapping,100,5.0%
24-Aug-2026,Bearish,Bearish Trend,"Trend: Bearish | Since: 19 Aug, 2026 | From: ₹33,505.00",,,,,3M India,B3M,33885.0,3MINDIA,EQ,33640.0,33640.0,34065.0,33530.0,33885.0,33789.04,1835,620.03,1341, 930, 50.68,,,,,,,bearish.csv,MC_Mapping,100,0.0%
24-Aug-2026,Bearish,Bearish Trend,Three Candlestick Pattern,change %: -1.89 | Close Price value: 377.00 | change absolute: -7.25,Bearish Three evening Star (Weekly),OHLC_W_P_3EVESTAR,Candle Stick Patterns,5paisa Capita,C96,377.0,5PAISA,EQ,384.25,384.0,385.55,373.5,374.8,378.37,51363,194.34,2470, 25784, 50.20,change %,-1.89,Close Price value,377.00,change absolute,-7.25,candlestick_bearish.csv,MC_Mapping,100,0.6%
24-Aug-2026,Bearish,Bearish Trend,"Trend: Very Bearish | Since: 14 Aug, 2026 | From: ₹498.20",,,,,Aadhar Housing,AHFL,466.45,AADHARHFC,EQ,462.55,462.9,470.0,459.3,466.45,465.22,275698,1282.6,17290, 140044, 50.80,,,,,,,bearish.csv,MC_Mapping,100,0.0%
24-Aug-2026,Bearish,Bearish Trend,"Trend: Bearish | Since: 19 Aug, 2026 | From: ₹8.45",,,,,Aakash Explorat,AES01,8.77,AAKASH,EQ,8.71,8.7,8.94,8.62,8.77,8.79,109891,9.66,405, 84265, 76.68,,,,,,,bearish.csv,MC_Mapping,100,0.0%
24-Aug-2026,Bearish,Bearish Trend,"Trend: Very Bearish | Since: 29 Jul, 2026 | From: ₹75.00",,,,,Aaradhya Dispos,ADL03,69.95,AARADHYA,SM,69.95,69.95,69.95,69.95,69.95,69.95,1200,0.84,1, 1200, 100.00,,,,,,,bearish.csv,MC_Mapping,100,0.0%
24-Aug-2026,Bearish,Bearish Trend,"Trend: Very Bearish | Since: 24 Aug, 2026 | From: ₹78.10",,,,,Aarey Drugs,ADP,78.1,AAREYDRUGS,EQ,81.2,80.2,80.61,77.71,78.1,78.68,42321,33.3,558, 29387, 69.44,,,,,,,bearish.csv,MC_Mapping,100,0.0%
24-Aug-2026,Bearish,Bearish Trend,Three Candlestick Pattern,change %: -0.10 | Close Price value: 137.50 | change absolute: -0.14,Double Inside Bar (Weekly) Bearish,OHLC_W_P_MULTIINBAR,Candle Stick Patterns,Aaron Industrie,AI69,137.5,AARON,EQ,137.64,137.64,140.59,136.75,137.18,138.13,6853,9.47,304, 5051, 73.70,change %,-0.10,Close Price value,137.50,change absolute,-0.14,candlestick_bearish.csv,MC_Mapping,100,0.2%
24-Aug-2026,Bearish,Bearish Trend,Price crossed below Moving Average — Bearish signal,Change Percent: -2.03 | 20-DMA Indicator value: 48.13,20 DMA Breakdown,OHLC_D_I_20DMABEAR,Moving Average Scan,Aartech Solonic,AS31,47.31,AARTECH,BE,48.29,48.0,48.89,46.5,47.45,47.58,57468,27.34,315, -, -,Change Percent,-2.03,20-DMA Indicator value,48.13,,,moving_average_bearish.csv,MC_Mapping,100,0.3%
