MC_Code,MC_StockName,MC_ShortName,MC_UrlCode,Source,NSE_Symbol,BSE_Code,ISIN,Full_Name,Series,Sector,LTP,API_Status
DRL01,Dr Reddys Labs NCD,Dr Reddys NCD,,stock_ideas,,,,Dr Reddys Labs NCD,,Pharmaceuticals,NT*,FOUND
NCI,Ondeo Nalco India,Ondeo Nalco,,stock_ideas,,,,Ondeo Nalco India,,Chemicals,217.50,FOUND
JRA,Jyoti Resins and Adhesives,Jyoti Resins,JRA,stock_ideas,,,,Jyoti Resins and Adhesives,,Chemicals,NT*,FOUND
RI12,HAMPTON SKY REALTY,HAMPTON SKY,RPI04,stock_ideas,,,,Ritesh Properties and Industries,,Textiles - Hosiery/Knitwear,NT*,FOUND
BF02,Bharat Agri Fert & Realty,Bharat Agri,BF02,stock_ideas,,,,Bharat Agri Fert & Realty,,Fertilisers,NT*,FOUND
AHR01,Abhinav Capital Services,Abhinav Capital,ACS04,stock_ideas,,,,Abhinav Capital Services,,Finance - General,NT*,FOUND
TCM,21st Cen Mgt,,,bearish.csv,21STCENMGM,526921,INE253B01015,21st Century Management,EQ,Finance - General,29.17,FOUND
IIFLW54277,360 ONE WAM,360ONE,,technical_picks_inactive.csv,360ONE,542772,INE466L01038,360 ONE WAM,EQ,Finance - Others,971.70,FOUND
I11,3i Infotech,,,bullish.csv,3IINFOLTD,532628,INE748C01038,3i Infotech,EQ,Computers - Software,15.70,FOUND
B3M,3M India,3M India,MI42,stock_ideas,3MINDIA,523395,INE470A01017,3M India,EQ,Diversified,31595.00,FOUND
PAI04,Pudumjee Ind,,,bullish.csv,3PLAND,516092,INE105C01023,3p Land Holdings,EQ,Paper,34.66,FOUND
AME02,A2Z Infra Eng,,,bullish.csv,A2ZINFRA,533292,INE619I01012,A2Z Infra Engineering ,BE,Power - Transmission & Equipment,17.23,FOUND
ATL04,AAA,,,bullish.csv,AAATECH,543671,INE0D0U01013,AAA Technologies,EQ,Software,98.25,FOUND
AHFL,Aadhar Housing Finance,Aadhar Housing ,AHFL,stock_ideas,AADHARHFC,544176,INE883F01010,Aadhar Housing Finance,EQ,Finance - Housing,471.30,FOUND
AMT01,Aakaar Medical,,,bullish.csv,AAKAAR,-,INE1GYP01013,Aakaar Medical Technologies,ST,Medical Equipment/Supplies/Accessories,55.90,FOUND
AES01,Aakash Explorat,,,bearish.csv,AAKASH,0,INE087Z01024,Aakash Exploration Services,BE,Engineering - Heavy,8.24,FOUND
ADL03,Aaradhya Dispos,,ADL03,52wk,AARADHYA,-,INE124401014,Aaradhya Disposal,SM,Paper & Forest Products,95.00,FOUND
ADP,Aarey Drugs,,,bearish.csv,AAREYDRUGS,524412,INE198H01019,Aarey Drugs and Pharmaceuticals,EQ,Pharmaceuticals,62.16,FOUND
KS20,Aarnav Fashions,,,bearish.csv,AARNAV,539562,INE750R01016,Aarnav Fashions,EQ,Finance - General,23.40,FOUND
AS31,Aartech Solonics,Aartech Solonic,AS27,stock_ideas,AARTECH,542580,INE01C001026,Aartech Solonics,EQ,Electronics - Components,46.80,FOUND
AD,Aarti Drugs,,,bullish.csv,AARTIDRUGS,524348,INE767A01016,Aarti Drugs,EQ,Pharmaceuticals,361.55,FOUND
AI,Aarti Industries,Aarti Ind,AI45,stock_ideas,AARTIIND,524208,INE769A01020,Aarti Industries,EQ,Chemicals,421.70,FOUND
AP32,Aarti Pharmalabs,AARTIPHARM,,technical_picks_inactive.csv,AARTIPHARM,543748,INE0LRU01027,Aarti Pharmalabs,EQ,Medical Equipment/Supplies/Accessories,688.25,FOUND
ASL09,Aarti Surfactan,,,bullish.csv,AARTISURF,543210,INE09EO01013,Aarti Surfactants,EQ,Diversified Chemicals,391.30,FOUND
AE18,Aarvi Encon,,,bullish.csv,AARVI,0,INE754X01016,Aarvi Encon,EQ,Diversified,131.17,FOUND
AH11,Aatmaj Health,,,bullish.csv,AATMAJ,0,INE0OB201016,Aatmaj Healthcare,SM,Hospital & Healthcare Services,20.15,FOUND
AF32,AAVAS Financiers,AAVAS,,technical_picks_inactive.csv,AAVAS,541988,INE216P01012,AAVAS Financiers ,EQ,Finance - General,1209.30,FOUND
ABB,ABB India,,ABB,52wk,ABB,500002,INE117A01022,ABB India,EQ,Infrastructure - General,6565.00,FOUND
KP,Abbott India,Abbott India,AI51,stock_ideas,ABBOTINDIA,500488,INE358A01014,Abbott India,EQ,Pharmaceuticals,25850.00,FOUND
ABC07,Aditya Birla Capital,ABCAPITAL,,technical_picks_inactive.csv,ABCAPITAL,540691,INE674K01013,Aditya Birla Capital,EQ,Finance - Investments,338.40,FOUND
